osmid,oneway,lanes,name,highway,maxspeed,reversed,length,bridge,geometry
260559082,True,2,一干河东路,secondary,30,False,325.835,,"LINESTRING (120.5542425 31.8764819, 120.5554536 31.8792258)"
1192728245,True,3,人民东路,secondary,,False,10.287,,"LINESTRING (120.5542425 31.8764819, 120.5541394 31.8765118)"
951598190,True,3,人民中路,secondary,,False,10.665,,"LINESTRING (120.5541006 31.8764327, 120.5542047 31.8763955)"
971356151,True,3,东环路,secondary,100,False,9.528,,"LINESTRING (120.5541394 31.8765118, 120.5541006 31.8764327)"
"[262738795, 1192728244, 1192728245]",True,3,人民东路,secondary,,False,651.5820000000001,yes,"LINESTRING (120.5541394 31.8765118, 120.553641 31.8766625, 120.5532709 31.8767673, 120.5507649 31.8774691, 120.5480404 31.8781999, 120.5475741 31.8783144)"
262556724,False,,海关路,tertiary,,True,339.952,,"LINESTRING (120.5487578 31.8812017, 120.5475741 31.8783144)"
262729103,False,,长泾路,tertiary,,True,449.203,,"LINESTRING (120.5487578 31.8812017, 120.5532516 31.8798756)"
262556724,False,,海关路,tertiary,,False,21.062,,"LINESTRING (120.5475008 31.8781355, 120.5475741 31.8783144)"
"[951598190, 1192728246, 1192728247]",True,3,人民中路,secondary,,False,651.318,yes,"LINESTRING (120.5475008 31.8781355, 120.5532311 31.876657, 120.5536169 31.8765532, 120.5541006 31.8764327)"
262556724,False,,海关路,tertiary,,False,339.952,,"LINESTRING (120.5475741 31.8783144, 120.5487578 31.8812017)"
262556724,False,,海关路,tertiary,,True,21.062,,"LINESTRING (120.5475741 31.8783144, 120.5475008 31.8781355)"
260559082,True,2,一干河东路,secondary,30,False,186.802,,"LINESTRING (120.5554536 31.8792258, 120.5561591 31.8807953)"
262729103,False,,长泾路,tertiary,,False,15.596,,"LINESTRING (120.5554536 31.8792258, 120.5552976 31.8792719)"
260550628,True,2,一干河东路,secondary,30,False,325.812,,"LINESTRING (120.5552976 31.8792719, 120.5541394 31.8765118)"
262729103,False,,长泾路,tertiary,,False,189.475,,"LINESTRING (120.5552976 31.8792719, 120.5534021 31.8798312)"
262729103,False,,长泾路,tertiary,,True,15.596,,"LINESTRING (120.5552976 31.8792719, 120.5554536 31.8792258)"
262988927,True,3,东环路,secondary,100,False,10.249,,"LINESTRING (120.5542047 31.8763955, 120.5542425 31.8764819)"
262729103,False,,长泾路,tertiary,,False,449.203,,"LINESTRING (120.5532516 31.8798756, 120.5487578 31.8812017)"
262729103,False,,长泾路,tertiary,,True,15.043,,"LINESTRING (120.5532516 31.8798756, 120.5533469 31.8798475, 120.5534021 31.8798312)"
262729103,False,,长泾路,tertiary,,True,189.475,,"LINESTRING (120.5534021 31.8798312, 120.5552976 31.8792719)"
262729103,False,,长泾路,tertiary,,False,15.043,,"LINESTRING (120.5534021 31.8798312, 120.5533469 31.8798475, 120.5532516 31.8798756)"
260550628,True,2,一干河东路,secondary,30,False,187.416,,"LINESTRING (120.5560301 31.8808384, 120.5552976 31.8792719)"
777499110,False,,,trunk_link,,False,13.089,,"LINESTRING (120.5560301 31.8808384, 120.5561591 31.8807953)"
777499110,False,,,trunk_link,,True,13.089,,"LINESTRING (120.5561591 31.8807953, 120.5560301 31.8808384)"
