osmid,oneway,lanes,highway,reversed,length,geometry,bridge
210438412,True,3,secondary,False,15.296,"LINESTRING (85.6669859 41.8657602, 85.6668108 41.865804)",
963318077,True,3,secondary,False,148.002,"LINESTRING (85.6669859 41.8657602, 85.6673 41.8670705)",
963318077,True,3,secondary,False,15.573,"LINESTRING (85.6669502 41.8656227, 85.6669859 41.8657602)",
642785667,False,,tertiary,False,335.441,"LINESTRING (85.672785 41.8591897, 85.6687474 41.8594295)",
871925113,False,,residential,True,159.536,"LINESTRING (85.672785 41.8591897, 85.6733449 41.8605625)",
642785678,False,2,tertiary,True,352.646,"LINESTRING (85.6733449 41.8605625, 85.6690914 41.8607122)",
871925113,False,,residential,False,159.536,"LINESTRING (85.6733449 41.8605625, 85.672785 41.8591897)",
871925113,False,,residential,True,134.343,"LINESTRING (85.6733449 41.8605625, 85.6738248 41.8617166)",
642785667,False,,tertiary,True,14.723,"LINESTRING (85.6652001 41.8595484, 85.6653778 41.8595522)",
642785667,False,,tertiary,False,279.391,"LINESTRING (85.6687474 41.8594295, 85.6653778 41.8595522)",
642785667,False,,tertiary,True,335.441,"LINESTRING (85.6687474 41.8594295, 85.672785 41.8591897)",
642785678,False,2,tertiary,False,352.646,"LINESTRING (85.6690914 41.8607122, 85.6733449 41.8605625)",
642785678,False,2,tertiary,True,280.578,"LINESTRING (85.6690914 41.8607122, 85.6657053 41.8607973)",
871920697,False,,residential,False,226.541,"LINESTRING (85.6690914 41.8607122, 85.6696078 41.862628, 85.6696437 41.8627069)",
642785678,False,2,tertiary,False,11.766,"LINESTRING (85.6655633 41.8608009, 85.6657053 41.8607973)",
"[204163489, 963318076, 963318092]",True,3,secondary,False,142.597,"LINESTRING (85.6655633 41.8608009, 85.6654558 41.8605166, 85.6653122 41.8599119, 85.6652001 41.8595484)",yes
871920697,False,,residential,True,233.386,"LINESTRING (85.6705492 41.8646945, 85.6696437 41.8627069)",
871920697,False,,residential,False,233.386,"LINESTRING (85.6696437 41.8627069, 85.6705492 41.8646945)",
871920698,False,,residential,False,363.337,"LINESTRING (85.6696437 41.8627069, 85.6738248 41.8617166)",
871920697,False,,residential,True,226.541,"LINESTRING (85.6696437 41.8627069, 85.6696078 41.862628, 85.6690914 41.8607122)",
871920698,False,,residential,True,363.337,"LINESTRING (85.6738248 41.8617166, 85.6696437 41.8627069)",
871925113,False,,residential,False,134.343,"LINESTRING (85.6738248 41.8617166, 85.6733449 41.8605625)",
210438412,True,3,secondary,False,206.34,"LINESTRING (85.6693499 41.8651736, 85.6669859 41.8657602)",
925274645,False,,residential,False,149.84,"LINESTRING (85.6693499 41.8651736, 85.6699356 41.8664486)",
963317999,False,,residential,False,228.939,"LINESTRING (85.6673 41.8670705, 85.6699356 41.8664486)",
925274645,False,,residential,True,149.84,"LINESTRING (85.6699356 41.8664486, 85.6693499 41.8651736)",
963317999,False,,residential,True,228.939,"LINESTRING (85.6699356 41.8664486, 85.6673 41.8670705)",
642785678,False,2,tertiary,False,280.578,"LINESTRING (85.6657053 41.8607973, 85.6690914 41.8607122)",
642785678,False,2,tertiary,True,11.766,"LINESTRING (85.6657053 41.8607973, 85.6655633 41.8608009)",
963318077,True,3,secondary,False,546.375,"LINESTRING (85.6657053 41.8607973, 85.6669502 41.8656227)",
925274652,True,3,secondary,False,15.32,"LINESTRING (85.6667753 41.8656676, 85.6669502 41.8656227)",
963318076,True,3,secondary,False,550.382,"LINESTRING (85.6667753 41.8656676, 85.6655633 41.8608009)",
963318076,True,3,secondary,False,15.449,"LINESTRING (85.6668108 41.865804, 85.6667753 41.8656676)",
642785667,False,,tertiary,False,14.723,"LINESTRING (85.6653778 41.8595522, 85.6652001 41.8595484)",
642785667,False,,tertiary,True,279.391,"LINESTRING (85.6653778 41.8595522, 85.6687474 41.8594295)",
"[204163490, 963318077, 963318078]",True,3,secondary,False,141.08,"LINESTRING (85.6653778 41.8595522, 85.6654706 41.859905, 85.6656235 41.8604864, 85.6657053 41.8607973)",yes
