osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,bridge
41125713,昌吉路,tertiary,False,False,82.181,,,"LINESTRING (121.1587553 31.2971487, 121.1578904 31.2971422)",
379894766,昌吉路,tertiary,False,True,11.04,,,"LINESTRING (121.1587553 31.2971487, 121.1588713 31.297143)",
188386700,墨玉路,primary,True,False,156.11,,,"LINESTRING (121.1588713 31.297143, 121.1588114 31.298546)",
379894766,昌吉路,tertiary,False,False,11.04,,,"LINESTRING (121.1588713 31.297143, 121.1587553 31.2971487)",
379894767,昌吉路,tertiary,False,True,92.65,2,30,"LINESTRING (121.1588713 31.297143, 121.1598464 31.2971482)",
321257206,,residential,False,True,370.08900000000006,,,"LINESTRING (121.1582163 31.301622, 121.1559292 31.3016003, 121.1558164 31.301543, 121.1556884 31.3014128, 121.1556427 31.3013242, 121.1556701 31.3003295)",
321257214,阜康西路,unclassified,False,False,280.83,,,"LINESTRING (121.1556701 31.3003295, 121.1586258 31.3003446)",
321257206,,residential,False,False,370.089,,,"LINESTRING (121.1556701 31.3003295, 121.1556427 31.3013242, 121.1556884 31.3014128, 121.1558164 31.301543, 121.1559292 31.3016003, 121.1582163 31.301622)",
"[27913890, 321257211, 321257214]",阜康西路,unclassified,False,True,304.71299999999997,,,"LINESTRING (121.1556701 31.3003295, 121.1546339 31.3003294, 121.1542712 31.300328, 121.152463 31.3003211)",yes
321257214,阜康西路,unclassified,False,True,280.83,,,"LINESTRING (121.1586258 31.3003446, 121.1556701 31.3003295)",
424217531,阜康西路,unclassified,False,False,10.196,,,"LINESTRING (121.1586258 31.3003446, 121.1587331 31.300343)",
424217544,墨玉路,primary,True,False,355.60800000000006,,,"LINESTRING (121.1586258 31.3003446, 121.1586613 31.2993761, 121.1587005 31.298661, 121.158753 31.297528, 121.1587553 31.2971487)",
424120527,阜康西路,unclassified,False,False,61.105,,,"LINESTRING (121.1587331 31.300343, 121.1593762 31.3003485)",
424217531,阜康西路,unclassified,False,True,10.196,,,"LINESTRING (121.1587331 31.300343, 121.1586258 31.3003446)",
424120527,阜康西路,unclassified,False,True,11.202,,,"LINESTRING (121.1611073 31.3003633, 121.1609894 31.3003623)",
323664877,静普路,residential,False,True,355.328,,,"LINESTRING (121.1523885 31.2971262, 121.152463 31.3003211)",
41125713,昌吉路,tertiary,False,True,404.11800000000005,,,"LINESTRING (121.1523885 31.2971262, 121.1526493 31.2971264, 121.1529909 31.2971268, 121.1562769 31.2971299, 121.1566417 31.2971327)",
323664877,静普路,residential,False,False,355.328,,,"LINESTRING (121.152463 31.3003211, 121.1523885 31.2971262)",
"[27913890, 321257211, 321257214]",阜康西路,unclassified,False,False,304.71299999999997,,,"LINESTRING (121.152463 31.3003211, 121.1542712 31.300328, 121.1546339 31.3003294, 121.1556701 31.3003295)",yes
27913890,阜康西路,unclassified,False,True,32.381,,,"LINESTRING (121.152463 31.3003211, 121.1522926 31.3003213, 121.1521222 31.3003198)",
27913890,阜康西路,unclassified,False,False,32.381,,,"LINESTRING (121.1521222 31.3003198, 121.1522926 31.3003213, 121.152463 31.3003211)",
699548293,,unclassified,False,False,29.622,1,15,"LINESTRING (121.1574443 31.2971388, 121.1574448 31.2974052)",
41125713,昌吉路,tertiary,False,False,76.262,,,"LINESTRING (121.1574443 31.2971388, 121.15736 31.2971381, 121.1566417 31.2971327)",
41125713,昌吉路,tertiary,False,True,30.007,,,"LINESTRING (121.1574443 31.2971388, 121.1576954 31.2971407, 121.1577601 31.2971412)",
699548293,,unclassified,False,True,38.628,1,15,"LINESTRING (121.1576014 31.2981956, 121.1576014 31.2981513, 121.1575731 31.2981272, 121.1574663 31.2981272, 121.1574459 31.2981044, 121.1574457 31.2979554)",
699548293,,unclassified,False,False,48.948,1,15,"LINESTRING (121.1574448 31.2974052, 121.1574455 31.2978454)",
699548293,,unclassified,False,True,29.622,1,15,"LINESTRING (121.1574448 31.2974052, 121.1574443 31.2971388)",
699548294,,unclassified,False,False,31.986,,,"LINESTRING (121.1574448 31.2974052, 121.1574852 31.2973676, 121.1575056 31.2973555, 121.1577412 31.2973555, 121.1577546 31.2973637)",
699548294,,unclassified,False,True,7.906,,,"LINESTRING (121.1578056 31.2980252, 121.1578054 31.2979541)",
41125713,昌吉路,tertiary,False,True,12.381,,,"LINESTRING (121.1577601 31.2971412, 121.1578904 31.2971422)",
699548295,,unclassified,False,False,24.746,,,"LINESTRING (121.1577601 31.2971412, 121.1577546 31.2973637)",
41125713,昌吉路,tertiary,False,False,30.007,,,"LINESTRING (121.1577601 31.2971412, 121.1576954 31.2971407, 121.1574443 31.2971388)",
699548295,,unclassified,False,True,24.746,,,"LINESTRING (121.1577546 31.2973637, 121.1577601 31.2971412)",
699548294,,unclassified,False,False,57.410000000000004,,,"LINESTRING (121.1577546 31.2973637, 121.1577632 31.2973689, 121.157804 31.2973703, 121.1578052 31.2978427)",
699548294,,unclassified,False,True,31.986000000000004,,,"LINESTRING (121.1577546 31.2973637, 121.1577412 31.2973555, 121.1575056 31.2973555, 121.1574852 31.2973676, 121.1574448 31.2974052)",
41125713,昌吉路,tertiary,False,False,12.381,,,"LINESTRING (121.1578904 31.2971422, 121.1577601 31.2971412)",
41125713,昌吉路,tertiary,False,True,82.181,,,"LINESTRING (121.1578904 31.2971422, 121.1587553 31.2971487)",
699548296,,unclassified,False,False,78.79599999999999,,,"LINESTRING (121.1578904 31.2971422, 121.1578935 31.2973139, 121.1585218 31.2973206)",
699548296,,unclassified,False,True,78.79599999999999,,,"LINESTRING (121.1585218 31.2973206, 121.1578935 31.2973139, 121.1578904 31.2971422)",
699548294,,unclassified,False,False,7.906,,,"LINESTRING (121.1578054 31.2979541, 121.1578056 31.2980252)",
699548294,,unclassified,False,True,12.387,,,"LINESTRING (121.1578054 31.2979541, 121.1578052 31.2978427)",
699548297,,unclassified,False,False,34.177,,,"LINESTRING (121.1578054 31.2979541, 121.1574457 31.2979554)",
699548293,,unclassified,False,True,12.231,1,15,"LINESTRING (121.1574457 31.2979554, 121.1574455 31.2978454)",
699548297,,unclassified,False,True,34.177,,,"LINESTRING (121.1574457 31.2979554, 121.1578054 31.2979541)",
699548293,,unclassified,False,False,38.628,1,15,"LINESTRING (121.1574457 31.2979554, 121.1574459 31.2981044, 121.1574663 31.2981272, 121.1575731 31.2981272, 121.1576014 31.2981513, 121.1576014 31.2981956)",
699548293,,unclassified,False,False,12.231,1,15,"LINESTRING (121.1574455 31.2978454, 121.1574457 31.2979554)",
699548293,,unclassified,False,True,48.948,1,15,"LINESTRING (121.1574455 31.2978454, 121.1574448 31.2974052)",
699548298,,unclassified,False,False,34.178,,,"LINESTRING (121.1574455 31.2978454, 121.1578052 31.2978427)",
699548294,,unclassified,False,False,12.387,,,"LINESTRING (121.1578052 31.2978427, 121.1578054 31.2979541)",
699548298,,unclassified,False,True,34.178,,,"LINESTRING (121.1578052 31.2978427, 121.1574455 31.2978454)",
699548294,,unclassified,False,True,57.410000000000004,,,"LINESTRING (121.1578052 31.2978427, 121.157804 31.2973703, 121.1577632 31.2973689, 121.1577546 31.2973637)",
41125713,昌吉路,tertiary,False,False,404.11800000000005,,,"LINESTRING (121.1566417 31.2971327, 121.1562769 31.2971299, 121.1529909 31.2971268, 121.1526493 31.2971264, 121.1523885 31.2971262)",
41125713,昌吉路,tertiary,False,True,76.262,,,"LINESTRING (121.1566417 31.2971327, 121.15736 31.2971381, 121.1574443 31.2971388)",
699548302,,unclassified,False,False,145.21099999999998,,,"LINESTRING (121.1566417 31.2971327, 121.1566402 31.297334, 121.1561596 31.2973287, 121.1560528 31.2974038, 121.1560245 31.2974964, 121.1560229 31.2976508, 121.1559664 31.2977541, 121.1559133 31.2978203, 121.1559098 31.2978722, 121.1559475 31.2979447)",
