osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,tunnel,bridge
587820068,True,解放东路,primary,False,32.543,"LINESTRING (120.201738 30.2481416, 120.2020367 30.2480035)",,,,
553662487,True,钱江路,secondary,False,275.244,"LINESTRING (120.201738 30.2481416, 120.200716 30.2467721, 120.2005548 30.2465268, 120.2002498 30.2460283)",,,,
14275978,True,新业路,primary,False,18.997,"LINESTRING (120.208585 30.2495496, 120.2087231 30.2494273)",2,,,
979747406,True,,primary,False,19.396,"LINESTRING (120.208585 30.2495496, 120.20878 30.2495043)",,60,,
"[336821424, 336821426, 336821421]",True,富春路,secondary,False,481.255,"LINESTRING (120.208585 30.2495496, 120.2082441 30.2491682, 120.2072894 30.2481001, 120.2068449 30.2475858, 120.2061015 30.2467722, 120.2058735 30.2465108, 120.2055314 30.2461186)",,,yes,
587820063,True,解放东路,primary,False,30.816,"LINESTRING (120.2021452 30.2481819, 120.2018553 30.2483006)",,,,
593992385,True,钱江路,secondary,False,244.066,"LINESTRING (120.2021452 30.2481819, 120.2022717 30.2483728, 120.2024222 30.248585, 120.2034872 30.2500455)",,,,
336821421,True,富春路,secondary,False,20.479,"LINESTRING (120.2055314 30.2461186, 120.2054136 30.2459651)",,,,
587820063,True,解放东路,primary,False,200.346,"LINESTRING (120.2055314 30.2461186, 120.2054144 30.2461926, 120.2053691 30.2462224, 120.2038684 30.247206)",,,,
996851892,True,解放东路,primary,False,17.553,"LINESTRING (120.2054136 30.2459651, 120.2055638 30.2458752)",,,,
336821424,True,富春路,secondary,False,17.684,"LINESTRING (120.208693 30.2496784, 120.208585 30.2495496)",,,,
157967582,True,新业路,primary,False,214.94400000000002,"LINESTRING (120.208693 30.2496784, 120.2084858 30.2498183, 120.2076409 30.2503765, 120.2069285 30.2508671)",2,,,
184451539,False,市民街,unclassified,False,235.354,"LINESTRING (120.202247 30.245437, 120.2036773 30.2471555)",,,,
553662487,True,钱江路,secondary,False,20.965,"LINESTRING (120.2018553 30.2483006, 120.201738 30.2481416)",,,,
294207955,False,民心路,tertiary,True,240.397,"LINESTRING (120.2069285 30.2508671, 120.2083186 30.2526649)",,,,
157967582,True,新业路,primary,False,213.228,"LINESTRING (120.2069285 30.2508671, 120.205331 30.2519437, 120.2051827 30.2520514)",2,,,
294207954,False,丹桂路,unclassified,True,22.02,"LINESTRING (120.2102326 30.2514284, 120.2104184 30.2513124)",,,,
336821424,True,富春路,secondary,False,244.409,"LINESTRING (120.2102326 30.2514284, 120.208693 30.2496784)",,,,
294207954,False,丹桂路,unclassified,False,229.571,"LINESTRING (120.2102326 30.2514284, 120.2101195 30.2515015, 120.2083186 30.2526649)",,,,
157967582,True,新业路,primary,False,30.175,"LINESTRING (120.2051827 30.2520514, 120.2049503 30.252234)",2,,,
