osmid,name,highway,oneway,reversed,length,lanes,geometry
946831722,北京东路 辅道,tertiary,True,False,54.36,,"LINESTRING (118.3941323 35.0924774, 118.3936058 35.0927085)"
226390836,北京东路,trunk,True,False,213.947,2,"LINESTRING (118.3941323 35.0924774, 118.3935648 35.0925985, 118.3919151 35.093112)"
289188442,北京东路,trunk,True,False,217.253,2,"LINESTRING (118.391863 35.0929979, 118.3934981 35.0924878, 118.3940507 35.092227)"
946831723,,trunk_link,True,False,39.667,,"LINESTRING (118.4001304 35.0918462, 118.3997258 35.0919791)"
"[935677741, 398634622]",北京东路,trunk,True,False,305.445,2,"LINESTRING (118.4001304 35.0918462, 118.3992185 35.0918815, 118.3974148 35.0919223, 118.3967792 35.0919826)"
935677744,北京东路 辅道,tertiary,True,False,268.308,,"LINESTRING (118.3997258 35.0919791, 118.3974467 35.0920224, 118.3967792 35.0919826)"
244663693,北京东路,trunk,True,False,213.032,2,"LINESTRING (118.3987967 35.0917877, 118.401137 35.0917279)"
946831724,,trunk_link,True,False,40.872,,"LINESTRING (118.3987967 35.0917877, 118.3992205 35.0916658)"
935677743,北京东路 辅道,tertiary,True,False,37.868,,"LINESTRING (118.3992205 35.0916658, 118.3996364 35.0916528)"
946831725,,trunk_link,True,False,40.029,,"LINESTRING (118.4007164 35.0916223, 118.401137 35.0917279)"
946831726,,trunk_link,True,False,38.972,,"LINESTRING (118.4022783 35.0917801, 118.4018957 35.0919377)"
398634622,北京东路,trunk,True,False,195.57,2,"LINESTRING (118.4022783 35.0917801, 118.4014806 35.0917976, 118.4011078 35.0918084, 118.4001304 35.0918462)"
935677744,北京东路 辅道,tertiary,True,False,197.478,,"LINESTRING (118.4018957 35.0919377, 118.3997258 35.0919791)"
398634622,北京东路,trunk,True,False,33.908,2,"LINESTRING (118.4026507 35.0917681, 118.4022783 35.0917801)"
1064807393,智诚路,secondary,False,True,109.576,,"LINESTRING (118.3936058 35.0927085, 118.3940471 35.0936254)"
