osmid,bridge,oneway,highway,reversed,length,geometry,lanes,ref,name
"[300919618, 1135624605]",yes,True,motorway_link,False,703.6440000000001,"LINESTRING (116.1816967 24.8254881, 116.1818367 24.8263373, 116.1818629 24.8264959, 116.1820266 24.8270875, 116.1822116 24.827494, 116.1824611 24.8277155, 116.182681 24.8279005, 116.1828822 24.8280296, 116.1830914 24.8282194, 116.1832175 24.8284604, 116.1832684 24.8286966, 116.1832389 24.8289984, 116.1830807 24.8292856, 116.1828446 24.8295266, 116.182512 24.8296678, 116.1821017 24.8296995, 116.1817449 24.8296605, 116.1814245 24.8296041, 116.1810093 24.8294861)",,,
"[1135624602, 1135624606]",yes,True,motorway,False,375.169,"LINESTRING (116.1816967 24.8254881, 116.1817528 24.8263683, 116.1818978 24.8272847, 116.1822626 24.8288158)",2,G25,长深高速
300919578,,False,trunk,False,8.158,"LINESTRING (116.1796407 24.8288572, 116.1796488 24.8289302)",,G205,
300919578,,False,trunk,True,80.394,"LINESTRING (116.1796407 24.8288572, 116.1796275 24.8281343)",,G205,
300919632,,True,motorway_link,False,155.792,"LINESTRING (116.1796407 24.8288572, 116.1801557 24.8290033, 116.1805782 24.8291688, 116.181069 24.8293818)",,,
300919578,,False,trunk,False,88.41,"LINESTRING (116.1796488 24.8289302, 116.1798701 24.8296995)",,G205,
300919578,,False,trunk,True,8.158,"LINESTRING (116.1796488 24.8289302, 116.1796407 24.8288572)",,G205,
677124619,,True,tertiary,False,22.596,"LINESTRING (116.1796488 24.8289302, 116.1794262 24.8289083)",,,
300919632,,True,motorway_link,False,479.589,"LINESTRING (116.181069 24.8293818, 116.1813694 24.8295449, 116.1818522 24.8296411, 116.1822358 24.8296411, 116.182555 24.8295802, 116.1828124 24.8294512, 116.1830378 24.8292272, 116.1831585 24.8289984, 116.1832067 24.8287501, 116.1831772 24.8285651, 116.1831245 24.8283861, 116.1830002 24.8282219, 116.1828232 24.8281123, 116.1826622 24.8280855, 116.1824879 24.8281367, 116.1823377 24.8282584, 116.1822814 24.8285042, 116.1822626 24.8288158)",,,
"[1135624604, 300919653]",yes,True,motorway_link,False,513.973,"LINESTRING (116.181069 24.8293818, 116.1813785 24.8294324, 116.1816135 24.8294153, 116.1818296 24.8293248, 116.1819514 24.8291503, 116.182011 24.8289657, 116.1819885 24.8287935, 116.1817881 24.8280365, 116.1816399 24.8270426, 116.1815676 24.8264023, 116.1815518 24.825493)",,,
