osmid,oneway,lanes,highway,reversed,length,geometry,name,bridge
334481007,True,3,primary,False,11.703,"LINESTRING (120.5660052 30.6355931, 120.5660404 30.6354923)",,
949554013,True,2,primary,False,41.554,"LINESTRING (120.5660742 30.635956, 120.5660836 30.6358027, 120.5660052 30.6355931)",,
334482239,False,,tertiary,True,586.1659999999999,"LINESTRING (120.5660404 30.6354923, 120.5650644 30.635475, 120.5599145 30.6354123)",,
1015292837,False,,unclassified,False,239.954,"LINESTRING (120.560896 30.6288928, 120.5609346 30.6310505)",人民路,
1015292842,False,,tertiary,True,244.323,"LINESTRING (120.560896 30.6288928, 120.5583425 30.6288928)",,
"[1015292841, 1015292842, 339556469]",False,,tertiary,False,112.963,"LINESTRING (120.560896 30.6288928, 120.5616848 30.6288888, 120.5619807 30.6288807, 120.5620764 30.6288831)",,yes
1015292836,False,,tertiary,True,11.064,"LINESTRING (120.5583597 30.6310299, 120.5583384 30.6311277)",永兴路,
1068907219,True,3,primary,False,246.376,"LINESTRING (120.5583597 30.6310299, 120.5609346 30.6310505)",振兴东路,
1015292836,False,,tertiary,False,237.641,"LINESTRING (120.5583597 30.6310299, 120.5583532 30.6300837, 120.5583425 30.6288928)",永兴路,
334482240,True,3,primary,False,203.033,"LINESTRING (120.5583384 30.6311277, 120.5562187 30.6310426)",振兴东路,
1015292836,False,,tertiary,False,11.064,"LINESTRING (120.5583384 30.6311277, 120.5583597 30.6310299)",永兴路,
"[1015292835, 1015292836, 335013709]",False,,tertiary,True,143.582,"LINESTRING (120.5578168 30.6276834, 120.5580734 30.6282685, 120.5581351 30.6284185, 120.5583425 30.6288928)",永兴路,yes
1015292842,False,,tertiary,False,244.323,"LINESTRING (120.5583425 30.6288928, 120.560896 30.6288928)",,
"[1015292835, 1015292836, 335013709]",False,,tertiary,False,143.582,"LINESTRING (120.5583425 30.6288928, 120.5581351 30.6284185, 120.5580734 30.6282685, 120.5578168 30.6276834)",永兴路,yes
1015292836,False,,tertiary,True,237.641,"LINESTRING (120.5583425 30.6288928, 120.5583532 30.6300837, 120.5583597 30.6310299)",永兴路,
1015292842,False,,tertiary,True,178.254,"LINESTRING (120.5583425 30.6288928, 120.5577742 30.6289016, 120.5564975 30.6290862)",,
1015292837,False,,unclassified,True,239.954,"LINESTRING (120.5609346 30.6310505, 120.560896 30.6288928)",人民路,
"[1068907226, 1068907219, 1068907227]",True,3,primary,False,331.238,"LINESTRING (120.5609346 30.6310505, 120.5619377 30.6310577, 120.5625305 30.6310633, 120.5643964 30.6310783)",振兴东路,yes
339556469,False,,tertiary,True,221.993,"LINESTRING (120.5643965 30.6288743, 120.5620764 30.6288831)",,
339556471,False,,residential,True,245.074,"LINESTRING (120.5643965 30.6288743, 120.5643964 30.6310783)",,
339556469,False,,tertiary,False,221.993,"LINESTRING (120.5620764 30.6288831, 120.5643965 30.6288743)",,
"[1015292841, 1015292842, 339556469]",False,,tertiary,True,112.963,"LINESTRING (120.5620764 30.6288831, 120.5619807 30.6288807, 120.5616848 30.6288888, 120.560896 30.6288928)",,yes
1015292842,False,,tertiary,False,178.254,"LINESTRING (120.5564975 30.6290862, 120.5577742 30.6289016, 120.5583425 30.6288928)",,
339556471,False,,residential,False,245.074,"LINESTRING (120.5643964 30.6310783, 120.5643965 30.6288743)",,
339556471,False,,residential,True,9.13,"LINESTRING (120.5643964 30.6310783, 120.5643976 30.6311604)",,
339556471,False,,residential,False,9.13,"LINESTRING (120.5643976 30.6311604, 120.5643964 30.6310783)",,
"[334482240, 1068907225, 1068907228]",True,3,primary,False,579.753,"LINESTRING (120.5643976 30.6311604, 120.5625759 30.6311506, 120.5619625 30.6311473, 120.5583384 30.6311277)",振兴东路,yes
334482239,False,,tertiary,False,586.1659999999999,"LINESTRING (120.5599145 30.6354123, 120.5650644 30.635475, 120.5660404 30.6354923)",,
685766829,True,,unclassified,False,600.936,"LINESTRING (120.5562187 30.6310426, 120.5599145 30.6354123)",,
