osmid,name,highway,oneway,reversed,length,geometry,ref,junction,lanes
369132340,,residential,False,True,167.838,"LINESTRING (119.1336337 28.0781888, 119.1330276 28.0796003)",,,
369132340,,residential,False,False,103.33000000000001,"LINESTRING (119.1336337 28.0781888, 119.1336499 28.0780384, 119.1339429 28.0773044)",,,
369132340,,residential,False,True,94.609,"LINESTRING (119.1342633 28.0765019, 119.1339429 28.0773044)",,,
792300624,贤良街,tertiary,False,False,95.148,"LINESTRING (119.1342633 28.0765019, 119.1333545 28.0762032)",,,
792300624,贤良街,tertiary,False,True,112.458,"LINESTRING (119.1342633 28.0765019, 119.135345 28.0768365)",,,
260166270,华楼街,tertiary,False,True,16.099,"LINESTRING (119.1416447 28.0761173, 119.1417984 28.076168)",,,
260166270,华楼街,tertiary,False,False,298.41200000000003,"LINESTRING (119.1416447 28.0761173, 119.1411281 28.0759468, 119.138776 28.0752257)",,,
260166270,华楼街,tertiary,False,False,16.099,"LINESTRING (119.1417984 28.076168, 119.1416447 28.0761173)",,,
792300611,,residential,True,False,282.752,"LINESTRING (119.1417984 28.076168, 119.1408259 28.0785617)",,,
792300624,贤良街,tertiary,False,False,16.271,"LINESTRING (119.1408259 28.0785617, 119.1406702 28.0785113)",,,
792300611,,residential,True,False,208.638,"LINESTRING (119.1408259 28.0785617, 119.1402157 28.0800267, 119.1399768 28.0802615)",,,
304987541,,residential,False,True,92.841,"LINESTRING (119.1323314 28.0786565, 119.1326795 28.0778801)",,,
260166291,龙翔路,tertiary,False,False,101.972,"LINESTRING (119.135971 28.0752706, 119.1363178 28.0744061)",,,
260166291,龙翔路,tertiary,False,True,96.699,"LINESTRING (119.135971 28.0752706, 119.1356431 28.0760907)",,,
792300617,,residential,False,False,206.64499999999998,"LINESTRING (119.135971 28.0752706, 119.1350475 28.0749715, 119.1347811 28.0748031, 119.1340318 28.0745693)",,,
792300617,,residential,False,True,158.569,"LINESTRING (119.132508 28.074094, 119.1340318 28.0745693)",,,
260166270,华楼街,tertiary,False,False,69.271,"LINESTRING (119.1343578 28.0738041, 119.133691 28.0735993)",,,
260166270,华楼街,tertiary,False,True,203.617,"LINESTRING (119.1343578 28.0738041, 119.1363178 28.0744061)",,,
792300618,,residential,False,False,90.899,"LINESTRING (119.1343578 28.0738041, 119.1340318 28.0745693)",,,
