osmid,oneway,lanes,name,highway,reversed,length,ref,bridge,geometry
467636843,True,3,颍淮大道,primary,False,12.589,,,"LINESTRING (115.8043578 32.8846462, 115.8043134 32.8845393)"
"[361852788, 832463398, 832463399]",True,3,西湖大道,primary,False,391.389,G105,yes,"LINESTRING (115.8043578 32.8846462, 115.8028936 32.8848613, 115.8025344 32.884914, 115.8002291 32.8852531)"
464999869,True,3,颍淮大道,primary,False,404.481,,,"LINESTRING (115.8057753 32.8882089, 115.8044026 32.8847588)"
833748994,False,,双清路,tertiary,True,6.56,,,"LINESTRING (115.8057753 32.8882089, 115.8058445 32.8881987)"
"[207807337, 833748994, 833748993]",False,,双清路,tertiary,False,432.584,,yes,"LINESTRING (115.8057753 32.8882089, 115.8037726 32.8884969, 115.8034015 32.8885512, 115.8012093 32.8888673)"
464999948,False,,一品街,tertiary,False,267.043,,,"LINESTRING (115.8012093 32.8888673, 115.8005863 32.8865234)"
"[833748993, 833748994, 207807337]",False,,双清路,tertiary,True,432.584,,yes,"LINESTRING (115.8012093 32.8888673, 115.8034015 32.8885512, 115.8037726 32.8884969, 115.8057753 32.8882089)"
367464567,True,3,颍淮大道,primary,False,11.641,,,"LINESTRING (115.8044325 32.8845285, 115.8044606 32.8846305)"
361852788,True,3,西湖大道,primary,False,9.757,G105,,"LINESTRING (115.8044606 32.8846305, 115.8043578 32.8846462)"
467636841,True,,颍淮大道,primary,False,14.037,,,"LINESTRING (115.8044606 32.8846305, 115.804508 32.8847503)"
833748994,False,,双清路,tertiary,False,6.56,,,"LINESTRING (115.8058445 32.8881987, 115.8057753 32.8882089)"
298596598,True,3,西湖大道,primary,False,11.186,G105,,"LINESTRING (115.8043134 32.8845393, 115.8044325 32.8845285)"
467636843,True,3,颍淮大道,primary,False,11.527,,,"LINESTRING (115.8043134 32.8845393, 115.8042889 32.8844377)"
287780932,False,,,residential,False,238.101,,,"LINESTRING (115.797493 32.8849295, 115.7977541 32.8848928, 115.7985906 32.8847753, 115.7994552 32.8846538, 115.8000079 32.8845761)"
