osmid,highway,oneway,reversed,length,name,lanes,geometry,maxspeed
46829111,residential,False,False,89.258,,,"LINESTRING (114.1603369 22.5638037, 114.1612061 22.5638127)",
46829119,residential,False,False,46.757,,,"LINESTRING (114.1603369 22.5638037, 114.160327 22.5642241)",
46829119,residential,False,True,15.434,,,"LINESTRING (114.1603369 22.5638037, 114.1603369 22.5636649)",
46829111,residential,False,True,89.258,,,"LINESTRING (114.1612061 22.5638127, 114.1603369 22.5638037)",
46829119,residential,False,False,47.357,,,"LINESTRING (114.1612061 22.5638127, 114.1612198 22.563387)",
46829119,residential,False,True,37.567,,,"LINESTRING (114.1612061 22.5638127, 114.1611952 22.5641504)",
46829119,residential,False,True,5.728,,,"LINESTRING (114.1603257 22.5642756, 114.160327 22.5642241)",
974023685,tertiary,True,False,7.344,聚财路,,"LINESTRING (114.1655038 22.5668733, 114.1654751 22.5668128)",
513597396,tertiary,True,False,150.197,国威路,2,"LINESTRING (114.1655038 22.5668733, 114.165346 22.5668706, 114.1653004 22.5668699, 114.1641165 22.5668499, 114.1640413 22.5668487)",
996937217,tertiary,True,False,6.228,仙湖路,,"LINESTRING (114.1613079 22.5668026, 114.1613091 22.5667466)",
593692068,tertiary,True,False,125.00399999999999,国威路,2,"LINESTRING (114.1613079 22.5668026, 114.1611898 22.5668006, 114.1611422 22.5667998, 114.1600907 22.5667821)",
513597397,tertiary,True,False,5.381,聚财路,2,"LINESTRING (114.1613352 22.5654255, 114.1613802 22.5654007)",
1050674539,tertiary,True,False,126.85000000000001,仙湖路,,"LINESTRING (114.1613352 22.5654255, 114.1613374 22.5653148, 114.1613379 22.5652904, 114.1613537 22.5644927, 114.1613543 22.5644604, 114.1613578 22.5642849)",
271420745,residential,False,True,130.537,,,"LINESTRING (114.16128 22.5696296, 114.1600863 22.5692257)",
46829115,tertiary,True,False,180.61100000000002,仙湖路,2,"LINESTRING (114.16128 22.5696296, 114.1612699 22.5695283, 114.1612926 22.5680059)",
46829115,tertiary,True,False,84.16,仙湖路,2,"LINESTRING (114.1618189 22.5701832, 114.1613805 22.56982, 114.1613154 22.5697222, 114.16128 22.5696296)",
