osmid,oneway,highway,reversed,length,ref,name,lanes,geometry,bridge,tunnel
"[633180213, 1175037853, 1175037854]",True,tertiary,False,206.086,,,,"LINESTRING (121.6235499 29.8608743, 121.6232716 29.8609341, 121.6229673 29.8609996, 121.6214756 29.8613203)",yes,
241040727,True,secondary,False,8.099,,,,"LINESTRING (121.6169789 29.8619628, 121.6170029 29.8620326)",,
633180214,True,tertiary,False,212.75199999999998,,,,"LINESTRING (121.6169789 29.8619628, 121.6188687 29.8615937, 121.6189212 29.8618226)",,
241040727,True,secondary,False,139.129,,,,"LINESTRING (121.6170635 29.8622156, 121.6174347 29.8634247)",,
302177785,True,unclassified,False,57.251,,,,"LINESTRING (121.6192784 29.8630955, 121.6194196 29.8635956)",,
302177988,True,unclassified,False,5.999,,,,"LINESTRING (121.6192784 29.8630955, 121.619217 29.8631042)",,
302177786,True,unclassified,False,4.627,,,,"LINESTRING (121.619217 29.8631042, 121.619206 29.8630637)",,
302177988,True,unclassified,False,175.016,,,,"LINESTRING (121.619217 29.8631042, 121.6187762 29.8631895, 121.617451 29.8634671)",,
757781826,True,primary,False,8.784,G329,宁东路,4,"LINESTRING (121.6223515 29.8644959, 121.6222628 29.8645139)",,
302177792,True,unclassified,False,18.186,,,,"LINESTRING (121.6222628 29.8645139, 121.6222196 29.8643547)",,
757781826,True,primary,False,244.135,G329,宁东路,4,"LINESTRING (121.6222628 29.8645139, 121.619828 29.8651157)",,
