osmid,ref,highway,oneway,reversed,length,geometry,bridge,name
671490400,X132,secondary,False,False,88.08800000000001,"LINESTRING (105.0390866 30.1459226, 105.0390799 30.1461159, 105.0392732 30.1466909)",,
671490400,X132,secondary,False,False,75.569,"LINESTRING (105.0392732 30.1466909, 105.0394544 30.1473522)",,
671490400,X132,secondary,False,True,88.08800000000001,"LINESTRING (105.0392732 30.1466909, 105.0390799 30.1461159, 105.0390866 30.1459226)",,
"[808305376, 808305379, 808305380, 808305373, 808305375]",,unclassified,False,False,600.1189999999999,"LINESTRING (105.0392732 30.1466909, 105.0387329 30.1466534, 105.0385286 30.1466344, 105.0382532 30.1466139, 105.0375339 30.146485, 105.0373518 30.1467636, 105.036951 30.1471414, 105.036806 30.14725, 105.0367167 30.1473168, 105.036698 30.1473976, 105.0367307 30.1475793, 105.036968 30.1478641, 105.037367 30.1481563, 105.037688 30.1485081, 105.038071 30.1488837, 105.0385006 30.1493158, 105.0386493 30.1494522)",yes,
"[671490400, 808305378, 638227230]",X132,secondary,False,"[False, True]",246.007,"LINESTRING (105.0386493 30.1494522, 105.0392696 30.1478333, 105.0393532 30.1476152, 105.0394544 30.1473522)",yes,x139
"[808305376, 808305379, 808305380, 808305373, 808305375]",,unclassified,False,True,600.119,"LINESTRING (105.0386493 30.1494522, 105.0385006 30.1493158, 105.038071 30.1488837, 105.037688 30.1485081, 105.037367 30.1481563, 105.036968 30.1478641, 105.0367307 30.1475793, 105.036698 30.1473976, 105.0367167 30.1473168, 105.036806 30.14725, 105.036951 30.1471414, 105.0373518 30.1467636, 105.0375339 30.146485, 105.0382532 30.1466139, 105.0385286 30.1466344, 105.0387329 30.1466534, 105.0392732 30.1466909)",yes,
671490400,X132,secondary,False,True,75.569,"LINESTRING (105.0394544 30.1473522, 105.0392732 30.1466909)",,
568079753,,unclassified,False,False,414.376,"LINESTRING (105.0394544 30.1473522, 105.0397708 30.1474461, 105.040023 30.1475026, 105.0401538 30.1475834, 105.0402472 30.1476803, 105.040406 30.1479024, 105.0405787 30.1480437, 105.0409477 30.1483466, 105.0410224 30.1488999, 105.0411345 30.1492996, 105.0412979 30.1494006, 105.0416202 30.1495783, 105.0417416 30.1496389, 105.041863 30.1498731, 105.0419704 30.1500386)",,
"[671490400, 808305378, 638227230]",X132,secondary,False,"[False, True]",246.007,"LINESTRING (105.0394544 30.1473522, 105.0393532 30.1476152, 105.0392696 30.1478333, 105.0386493 30.1494522)",yes,x139
568079753,,unclassified,False,True,414.37600000000003,"LINESTRING (105.0419704 30.1500386, 105.041863 30.1498731, 105.0417416 30.1496389, 105.0416202 30.1495783, 105.0412979 30.1494006, 105.0411345 30.1492996, 105.0410224 30.1488999, 105.0409477 30.1483466, 105.0405787 30.1480437, 105.040406 30.1479024, 105.0402472 30.1476803, 105.0401538 30.1475834, 105.040023 30.1475026, 105.0397708 30.1474461, 105.0394544 30.1473522)",,
