osmid,oneway,highway,reversed,length,geometry,lanes,name,bridge
192081961,False,living_street,False,82.993,"LINESTRING (121.3799733 28.3793731, 121.3806982 28.3797608)",,,
192081961,False,living_street,True,57.12,"LINESTRING (121.3799733 28.3793731, 121.3794743 28.3791064)",,,
192081965,False,living_street,True,34.682,"LINESTRING (121.3799733 28.3793731, 121.3801745 28.3791163)",,,
192081966,False,residential,False,89.362,"LINESTRING (121.3794765 28.3778071, 121.3789516 28.3784648)",,,
192081967,False,residential,False,116.391,"LINESTRING (121.3794765 28.3778071, 121.3784928 28.3772184)",,,
192081967,False,residential,True,85.413,"LINESTRING (121.3794765 28.3778071, 121.3801984 28.3782391)",,,
192081966,False,residential,True,89.362,"LINESTRING (121.3789516 28.3784648, 121.3794765 28.3778071)",,,
704123143,False,residential,False,115.738,"LINESTRING (121.3789516 28.3784648, 121.3779799 28.3778711)",,,
704123143,False,residential,True,86.574,"LINESTRING (121.3789516 28.3784648, 121.3795663 28.3788404, 121.3797026 28.3788336)",,,
192081963,True,tertiary,False,20.282,"LINESTRING (121.3850193 28.3755219, 121.3849416 28.375691)",2,锦屏路,
192081958,False,unclassified,False,88.235,"LINESTRING (121.3784928 28.3772184, 121.3779799 28.3778711)",,,
192081958,False,unclassified,True,118.417,"LINESTRING (121.3784928 28.3772184, 121.3791811 28.3763424)",,,
192081967,False,residential,False,82.431,"LINESTRING (121.3784928 28.3772184, 121.3777961 28.3768015)",,,
192081967,False,residential,True,116.391,"LINESTRING (121.3784928 28.3772184, 121.3794765 28.3778071)",,,
519369491,False,residential,False,41.553,"LINESTRING (121.3768412 28.3790292, 121.3770706 28.3787147)",,,
519369491,False,residential,True,6.492,"LINESTRING (121.3768412 28.3790292, 121.3768031 28.379077)",,,
192079331,True,primary,False,13.855,"LINESTRING (121.3849416 28.375691, 121.3848126 28.3756396)",,人民东路,
192081963,True,tertiary,False,473.86,"LINESTRING (121.3849416 28.375691, 121.383739 28.3771382, 121.3825213 28.3786061, 121.3820801 28.3791293)",2,锦屏路,
192081958,False,unclassified,True,88.235,"LINESTRING (121.3779799 28.3778711, 121.3784928 28.3772184)",,,
704123143,False,residential,True,115.738,"LINESTRING (121.3779799 28.3778711, 121.3789516 28.3784648)",,,
"[704123121, 704123122, 704123143]",False,residential,False,269.05199999999996,"LINESTRING (121.3779799 28.3778711, 121.3772489 28.3774245, 121.3771202 28.3774103, 121.3769745 28.3774308, 121.376894 28.3774591, 121.3768511 28.3774969, 121.3765182 28.3778353, 121.3764442 28.3779106, 121.3758748 28.378422)",,,yes
192081962,False,living_street,False,81.992,"LINESTRING (121.3801984 28.3782391, 121.3797026 28.3788336)",,,
192081962,False,living_street,True,111.597,"LINESTRING (121.3801984 28.3782391, 121.3808733 28.37743)",,,
192081967,False,residential,False,85.413,"LINESTRING (121.3801984 28.3782391, 121.3794765 28.3778071)",,,
"[192081960, 704123144, 704123143]",False,residential,False,139.446,"LINESTRING (121.3813527 28.3798221, 121.3812033 28.3797326, 121.3809346 28.3795716, 121.3801745 28.3791163)",,,yes
472433798,True,tertiary,False,575.2660000000001,"LINESTRING (121.3813527 28.3798221, 121.3827313 28.3781844, 121.3839053 28.3767889, 121.3848126 28.3756396)",2,锦屏路,
192081965,False,living_street,False,34.682,"LINESTRING (121.3801745 28.3791163, 121.3799733 28.3793731)",,,
192081965,False,living_street,True,191.741,"LINESTRING (121.3801745 28.3791163, 121.38133 28.3777235)",,,
704123143,False,residential,False,55.853,"LINESTRING (121.3801745 28.3791163, 121.3797026 28.3788336)",,,
