osmid,tunnel,highway,oneway,reversed,length,geometry
"[727392709, 727392710]",yes,unclassified,False,False,248.692,"LINESTRING (113.7331643 34.8149542, 113.7337182 34.8151499, 113.7337907 34.8151719, 113.7338725 34.8151862, 113.7339959 34.8152039, 113.734083 34.8152391, 113.7341984 34.815314, 113.734484 34.8155881, 113.7346101 34.8156839, 113.7347294 34.8157533, 113.7354569 34.8160871)"
727393067,,unclassified,False,False,448.6820000000001,"LINESTRING (113.7357473 34.8122145, 113.7359042 34.8124963, 113.735982 34.8127474, 113.7361054 34.8131372, 113.7361363 34.8133398, 113.7361684 34.8136018, 113.7361912 34.8137967, 113.7361953 34.8139586, 113.7361842 34.8143433, 113.7361167 34.8146655, 113.73601 34.8150055, 113.7358725 34.8153483, 113.7357254 34.8156403, 113.7355878 34.8158854, 113.7354569 34.8160871)"
"[727392709, 727392710]",yes,unclassified,False,True,248.692,"LINESTRING (113.7354569 34.8160871, 113.7347294 34.8157533, 113.7346101 34.8156839, 113.734484 34.8155881, 113.7341984 34.815314, 113.734083 34.8152391, 113.7339959 34.8152039, 113.7338725 34.8151862, 113.7337907 34.8151719, 113.7337182 34.8151499, 113.7331643 34.8149542)"
727393067,,unclassified,False,True,448.6820000000001,"LINESTRING (113.7354569 34.8160871, 113.7355878 34.8158854, 113.7357254 34.8156403, 113.7358725 34.8153483, 113.73601 34.8150055, 113.7361167 34.8146655, 113.7361842 34.8143433, 113.7361953 34.8139586, 113.7361912 34.8137967, 113.7361684 34.8136018, 113.7361363 34.8133398, 113.7361054 34.8131372, 113.735982 34.8127474, 113.7359042 34.8124963, 113.7357473 34.8122145)"
