osmid,name,highway,oneway,reversed,length,bridge,geometry,lanes,ref,tunnel
125856632,解放路,trunk_link,False,False,9.997,,"LINESTRING (104.6283508 35.5813703, 104.6284511 35.5814081)",,,
"[150033840, 28563425, 101826340]",解放路,secondary,False,False,399.72,yes,"LINESTRING (104.6283508 35.5813703, 104.6274181 35.5810183, 104.6262016 35.5805592, 104.6256337 35.5803308, 104.6255141 35.5802816, 104.6243669 35.5798142)",,,
101826380,中华路,tertiary,False,False,240.915,,"LINESTRING (104.6243669 35.5798142, 104.6236349 35.5818974)",,,
150033840,解放路,secondary,False,False,332.3,,"LINESTRING (104.6243669 35.5798142, 104.6233252 35.5793874, 104.6223173 35.5789508, 104.6214295 35.5784719, 104.6211633 35.5783581)",,,
"[150033840, 28563425, 101826340]",解放路,secondary,False,True,399.72,yes,"LINESTRING (104.6243669 35.5798142, 104.6255141 35.5802816, 104.6256337 35.5803308, 104.6262016 35.5805592, 104.6274181 35.5810183, 104.6283508 35.5813703)",,,
443765238,中华路,tertiary,True,False,238.945,,"LINESTRING (104.6243669 35.5798142, 104.6244013 35.5794929, 104.6249549 35.5777229)",,,
101826361,,residential,False,False,46.751,,"LINESTRING (104.6228069 35.5841717, 104.6233019 35.584293)",,,
101826380,中华路,tertiary,False,True,64.387,,"LINESTRING (104.6228069 35.5841717, 104.6230116 35.5836171)",,,
101826361,,residential,False,True,46.751,,"LINESTRING (104.6233019 35.584293, 104.6228069 35.5841717)",,,
150033840,解放路,secondary,False,False,16.416,,"LINESTRING (104.6195174 35.5779102, 104.6193364 35.5778991)",,,
150033840,解放路,secondary,False,True,159.235,,"LINESTRING (104.6195174 35.5779102, 104.6204786 35.5780542, 104.6208488 35.5781851, 104.6211633 35.5783581)",,,
150033840,解放路,secondary,False,False,159.235,,"LINESTRING (104.6211633 35.5783581, 104.6208488 35.5781851, 104.6204786 35.5780542, 104.6195174 35.5779102)",,,
150033840,解放路,secondary,False,True,332.3,,"LINESTRING (104.6211633 35.5783581, 104.6214295 35.5784719, 104.6223173 35.5789508, 104.6233252 35.5793874, 104.6243669 35.5798142)",,,
150033871,,tertiary,False,True,357.214,,"LINESTRING (104.6211633 35.5783581, 104.6206827 35.5795436, 104.6204922 35.5815017)",,,
150033871,,tertiary,False,False,100.177,,"LINESTRING (104.620314 35.5833338, 104.6204014 35.5824357)",,,
407849924,,secondary,False,False,65.231,,"LINESTRING (104.620314 35.5833338, 104.6210353 35.5833284)",,,
407849924,,secondary,False,True,110.407,,"LINESTRING (104.620314 35.5833338, 104.6201019 35.5833317, 104.6190932 35.5833215)",,,
101826380,中华路,tertiary,False,False,64.387,,"LINESTRING (104.6230116 35.5836171, 104.6228069 35.5841717)",,,
101826380,中华路,tertiary,False,True,199.357,,"LINESTRING (104.6230116 35.5836171, 104.6236349 35.5818974)",,,
407849924,,secondary,False,True,157.96499999999997,,"LINESTRING (104.6230116 35.5836171, 104.6218237 35.5833398, 104.6217002 35.5833264, 104.6215474 35.5833245, 104.6213139 35.5833263)",,,
