osmid,oneway,highway,reversed,length,bridge,geometry,lanes,name,ref
"[93683256, 189082581]",True,trunk,False,601.6469999999999,yes,"LINESTRING (118.8204656 32.3222455, 118.8203984 32.3232487, 118.8203861 32.3236197, 118.820403 32.3238707, 118.8204718 32.3244272, 118.8205666 32.3249439, 118.8206897 32.3254997, 118.8208088 32.3260124, 118.8208517 32.3264165, 118.8208584 32.3267185, 118.820822 32.3270983, 118.8207881 32.3273155, 118.8206967 32.3276107)",,,
"[763480314, 763480315, 763480316]",True,trunk_link,False,507.03299999999996,yes,"LINESTRING (118.8204656 32.3222455, 118.8204994 32.3227755, 118.8204864 32.3234633, 118.8205752 32.3241934, 118.8206966 32.3249195, 118.8207573 32.3251089, 118.8207612 32.3251201, 118.820804 32.3252391, 118.8210515 32.326056, 118.8213131 32.3266716, 118.8213376 32.3267108)",,,
"[189082584, 189082594, 189082589]",True,trunk_link,False,668.7759999999998,yes,"LINESTRING (118.8180909 32.3240459, 118.8185332 32.3242907, 118.8186806 32.3243933, 118.8192636 32.3247893, 118.8194881 32.3249418, 118.8197765 32.325197, 118.8198373 32.3252605, 118.8199643 32.3253933, 118.8200517 32.3255041, 118.8201824 32.3256699, 118.8202641 32.3258133, 118.8203438 32.3259533, 118.8204088 32.3261034, 118.8204491 32.3261966, 118.8205235 32.3264393, 118.8205529 32.3265843, 118.8205767 32.3267017, 118.8205785 32.3268305, 118.8205803 32.3269607, 118.8205666 32.3271407, 118.8205602 32.3272255, 118.8205254 32.3274562, 118.8204887 32.3276199, 118.8204544 32.3277732, 118.8203155 32.328143, 118.8202733 32.3282542, 118.8199413 32.3291286)",2,,
763480312,True,primary,False,241.756,,"LINESTRING (118.8180909 32.3240459, 118.8184718 32.3243403, 118.8197438 32.325706)",,六合大道,
763480311,True,primary,False,411.24899999999997,,"LINESTRING (118.8183157 32.3247714, 118.8169376 32.3234972, 118.8168701 32.3234232, 118.8165269 32.3231175, 118.8155038 32.3221527, 118.8153759 32.3220321)",,六合大道,
"[189082597, 189082581]",True,trunk,False,184.132,yes,"LINESTRING (118.8206967 32.3276107, 118.8205952 32.3279054, 118.8204008 32.3283265, 118.8201424 32.3288879, 118.8199413 32.3291286)",,,
"[189082601, 189082612]",True,trunk_link,False,223.515,yes,"LINESTRING (118.8206967 32.3276107, 118.8206969 32.3279229, 118.820752 32.3280729, 118.820867 32.3281954, 118.8210495 32.3282631, 118.8211995 32.3282736, 118.8213795 32.3282208, 118.8215171 32.3281215, 118.8216071 32.3279884, 118.8215653 32.3278001, 118.8212949 32.3274357)",1,,
406696583,True,secondary,False,374.591,,"LINESTRING (118.8191304 32.3263281, 118.8180892 32.3250005, 118.8167746 32.3236147)",,,
321087126,True,tertiary,False,218.872,,"LINESTRING (118.8167746 32.3236147, 118.815074 32.3249598)",,通湖路,
884879601,False,tertiary,True,8.822,,"LINESTRING (118.8167746 32.3236147, 118.8167108 32.3235565)",,浦六路,
321075317,False,residential,True,86.228,,"LINESTRING (118.8125901 32.3232922, 118.8129902 32.3233836, 118.8132958 32.3234819, 118.8134534 32.3235485)",,,
321075317,False,residential,True,7.741,,"LINESTRING (118.8150478 32.3248938, 118.815074 32.3249598)",,,
685027473,True,tertiary,False,215.708,,"LINESTRING (118.8150478 32.3248938, 118.8167108 32.3235565)",,,
321075317,False,residential,False,217.235,,"LINESTRING (118.8150478 32.3248938, 118.8149288 32.3246539, 118.8147098 32.3243615, 118.8144503 32.3241353, 118.814115 32.3238817, 118.81375 32.3236738, 118.8134534 32.3235485)",,,
321075317,False,residential,False,7.741,,"LINESTRING (118.815074 32.3249598, 118.8150478 32.3248938)",,,
763480311,True,primary,False,31.02,,"LINESTRING (118.8186232 32.3248729, 118.8183157 32.3247714)",,六合大道,
409226998,False,tertiary,True,36.342,,"LINESTRING (118.8156837 32.3218342, 118.8153759 32.3220321)",,龙城路,
409226998,False,tertiary,False,106.993,,"LINESTRING (118.8156837 32.3218342, 118.8158249 32.3217283, 118.8158525 32.3217076, 118.8161804 32.3214617, 118.8165353 32.3211955)",,龙城路,
763480312,True,primary,False,300.371,,"LINESTRING (118.8156837 32.3218342, 118.8158054 32.3219495, 118.8158417 32.3219839, 118.8163111 32.3224222, 118.8177267 32.3236858, 118.8178542 32.3238167)",,六合大道,
1174943971,True,trunk,False,379.781,,"LINESTRING (118.8212949 32.3274357, 118.8210691 32.327228, 118.8186232 32.3248729)",3,江北大道快速路,G328
409226998,False,tertiary,True,106.993,,"LINESTRING (118.8165353 32.3211955, 118.8161804 32.3214617, 118.8158525 32.3217076, 118.8158249 32.3217283, 118.8156837 32.3218342)",,龙城路,
763480315,True,trunk_link,False,8.828,,"LINESTRING (118.8213376 32.3267108, 118.8213817 32.3267809)",,,
321075317,False,residential,False,86.22800000000001,,"LINESTRING (118.8134534 32.3235485, 118.8132958 32.3234819, 118.8129902 32.3233836, 118.8125901 32.3232922)",,,
321075317,False,residential,True,217.235,,"LINESTRING (118.8134534 32.3235485, 118.81375 32.3236738, 118.814115 32.3238817, 118.8144503 32.3241353, 118.8147098 32.3243615, 118.8149288 32.3246539, 118.8150478 32.3248938)",,,
884879600,False,residential,False,219.66000000000003,,"LINESTRING (118.8134534 32.3235485, 118.813727 32.3233237, 118.8142688 32.3228659, 118.8147182 32.3225187, 118.8151417 32.3221826)",,龙城路,
409226998,False,tertiary,False,27.647,,"LINESTRING (118.8151417 32.3221826, 118.8152342 32.3221232, 118.8153759 32.3220321)",,龙城路,
884879600,False,residential,True,219.66,,"LINESTRING (118.8151417 32.3221826, 118.8147182 32.3225187, 118.8142688 32.3228659, 118.813727 32.3233237, 118.8134534 32.3235485)",,龙城路,
884879601,False,tertiary,False,212.321,,"LINESTRING (118.8151417 32.3221826, 118.8155776 32.3225551, 118.8167108 32.3235565)",,浦六路,
884879601,False,tertiary,False,8.822,,"LINESTRING (118.8167108 32.3235565, 118.8167746 32.3236147)",,浦六路,
884879601,False,tertiary,True,212.321,,"LINESTRING (118.8167108 32.3235565, 118.8155776 32.3225551, 118.8151417 32.3221826)",,浦六路,
763480312,True,primary,False,33.826,,"LINESTRING (118.8178542 32.3238167, 118.8180909 32.3240459)",,六合大道,
409226998,False,tertiary,False,36.342,,"LINESTRING (118.8153759 32.3220321, 118.8156837 32.3218342)",,龙城路,
409226998,False,tertiary,True,27.647,,"LINESTRING (118.8153759 32.3220321, 118.8152342 32.3221232, 118.8151417 32.3221826)",,龙城路,
