osmid,ref,highway,oneway,reversed,length,geometry,tunnel
619367467,G342,trunk,False,True,417.78599999999994,"LINESTRING (117.7203431 35.8402195, 117.7202429 35.8402831, 117.7200812 35.8403859, 117.7186407 35.8414159, 117.7180284 35.8418893, 117.7175966 35.8422479, 117.7170693 35.8428561)",
"[905791080, 905791082, 905791083]",,residential,False,False,434.133,"LINESTRING (117.7203431 35.8402195, 117.7206149 35.8414375, 117.7206696 35.8416707, 117.7212003 35.8440614)",yes
619367467,G342,trunk,False,True,187.472,"LINESTRING (117.7170693 35.8428561, 117.7155793 35.8440324)",
619367467,G342,trunk,False,False,417.786,"LINESTRING (117.7170693 35.8428561, 117.7175966 35.8422479, 117.7180284 35.8418893, 117.7186407 35.8414159, 117.7200812 35.8403859, 117.7202429 35.8402831, 117.7203431 35.8402195)",
619367467,G342,trunk,False,False,187.472,"LINESTRING (117.7155793 35.8440324, 117.7170693 35.8428561)",
"[905791080, 905791082, 905791083]",,residential,False,True,434.1329999999999,"LINESTRING (117.7212003 35.8440614, 117.7206696 35.8416707, 117.7206149 35.8414375, 117.7203431 35.8402195)",yes
