osmid,oneway,highway,reversed,length,name,geometry,junction,bridge
804739038,True,tertiary,False,66.955,,"LINESTRING (125.1413151 42.8839901, 125.1418298 42.8835207)",,
229633398,True,secondary,False,28.231,复兴街,"LINESTRING (125.1413151 42.8839901, 125.1414763 42.8840237, 125.1416021 42.8841169)",,
804739019,False,residential,True,8.39,,"LINESTRING (125.1416021 42.8841169, 125.1415288 42.8841699)",,
229633398,True,secondary,False,172.52300000000002,复兴街,"LINESTRING (125.1416021 42.8841169, 125.1425366 42.8851636, 125.142771 42.8854105)",,
229633173,True,secondary,False,46.295,,"LINESTRING (125.1368089 42.8848086, 125.1369235 42.8849155, 125.1369667 42.8850319, 125.1369292 42.8851893)",roundabout,
"[229633216, 229633378, 229633398]",True,secondary,False,380.122,"['复兴街', '向阳路', '连心桥']","LINESTRING (125.1368089 42.8848086, 125.1372781 42.884819, 125.1375321 42.8847924, 125.1396734 42.8843071, 125.1411887 42.8840212, 125.1413151 42.8839901)",,yes
229633155,True,primary,False,221.435,人民大街,"LINESTRING (125.1361241 42.8849277, 125.1361711 42.8846927, 125.1361983 42.884347, 125.1361076 42.8840079, 125.1359443 42.8836156, 125.1355878 42.8830183)",,
229633173,True,secondary,False,65.831,,"LINESTRING (125.1361241 42.8849277, 125.1362467 42.8848084, 125.1364014 42.8847477, 125.1365992 42.8847385, 125.1368089 42.8848086)",roundabout,
608780265,False,residential,True,287.741,,"LINESTRING (125.1361241 42.8849277, 125.1357865 42.8847748, 125.1326534 42.8847002)",,
229633173,True,secondary,False,58.542,,"LINESTRING (125.1369292 42.8851893, 125.1368139 42.885302, 125.1366666 42.885363, 125.1365067 42.8853792, 125.1363182 42.8853407)",roundabout,
"[229633321, 229633171, 229633223]",True,secondary,False,505.43399999999997,"['向阳桥', '人民大街']","LINESTRING (125.1369292 42.8851893, 125.1368335 42.8854173, 125.1367881 42.8855569, 125.13744 42.8878858, 125.1378943 42.8895395, 125.1379046 42.8896384)",,yes
229633173,True,secondary,False,52.788000000000004,,"LINESTRING (125.1363182 42.8853407, 125.1361416 42.8852121, 125.1360877 42.8850717, 125.1361241 42.8849277)",roundabout,
229633363,True,secondary,False,171.62,复兴街,"LINESTRING (125.142771 42.8854105, 125.1424322 42.8851579, 125.1415288 42.8841699)",,
229633396,True,secondary,False,137.041,人民大街,"LINESTRING (125.1380047 42.8908759, 125.1379922 42.8907698, 125.1377329 42.88966)",,
229633171,True,secondary,False,91.909,人民大街,"LINESTRING (125.1379046 42.8896384, 125.1380637 42.8904567)",,
426913911,False,tertiary,False,612.7849999999999,滨河北路,"LINESTRING (125.1379046 42.8896384, 125.1381136 42.8896252, 125.1383723 42.8896606, 125.1387333 42.889746, 125.1391 42.8898793, 125.1396344 42.8901938, 125.1403821 42.8906978, 125.1405299 42.8908415, 125.1405071 42.8909248, 125.1403934 42.8910248, 125.1401092 42.8911956, 125.1396998 42.8914267, 125.1394241 42.8915934, 125.1391398 42.8917371, 125.1388954 42.8917579, 125.1386736 42.8916704, 125.1386282 42.8915371, 125.1383638 42.8905145, 125.138287 42.8904646, 125.1380637 42.8904567)",,
426913911,False,tertiary,True,14.193,滨河北路,"LINESTRING (125.1379046 42.8896384, 125.1377329 42.88966)",,
426913911,False,tertiary,False,14.193,滨河北路,"LINESTRING (125.1377329 42.88966, 125.1379046 42.8896384)",,
"[229633396, 229633357, 229633206]",True,secondary,False,496.225,"['向阳桥', '人民大街']","LINESTRING (125.1377329 42.88966, 125.1377044 42.8895528, 125.1372747 42.8879004, 125.1365794 42.88565, 125.1364887 42.8855303, 125.1363182 42.8853407)",,yes
426923896,False,residential,False,324.372,,"LINESTRING (125.1396475 42.8837907, 125.1386927 42.8835946, 125.1369975 42.883233, 125.1357883 42.883094)",,
229633159,True,primary,False,209.77599999999998,人民大街,"LINESTRING (125.1357883 42.883094, 125.1358535 42.8831968, 125.1362437 42.8838749, 125.1364433 42.8844201, 125.136534 42.8845398, 125.1368089 42.8848086)",,
426923896,False,residential,True,324.372,,"LINESTRING (125.1357883 42.883094, 125.1369975 42.883233, 125.1386927 42.8835946, 125.1396475 42.8837907)",,
497264108,False,residential,True,89.123,,"LINESTRING (125.1329347 42.883539, 125.1318883 42.8833055)",,
497264105,False,residential,False,131.311,,"LINESTRING (125.1329347 42.883539, 125.1327919 42.8842941, 125.1326534 42.8847002)",,
497264108,False,residential,False,124.79599999999999,,"LINESTRING (125.1329347 42.883539, 125.1339316 42.883746, 125.1340427 42.8836755, 125.1342138 42.883453)",,
497264108,False,residential,True,121.939,,"LINESTRING (125.1355878 42.8830183, 125.1342138 42.883453)",,
497264108,False,residential,False,121.939,,"LINESTRING (125.1342138 42.883453, 125.1355878 42.8830183)",,
