osmid,name,highway,oneway,reversed,length,lanes,ref,geometry
675792350,文化路,residential,False,True,7.365,,,"LINESTRING (126.5949454 45.9743782, 126.5950407 45.9743783)"
1051415469,南二道街,tertiary,False,False,171.421,,,"LINESTRING (126.6006559 45.9729608, 126.6003737 45.9744899)"
1051415469,南二道街,tertiary,False,True,11.889,,,"LINESTRING (126.6006559 45.9729608, 126.6006737 45.9728546)"
30324856,萧红大道,trunk,True,False,427.7289999999999,2,G102,"LINESTRING (126.6006559 45.9729608, 126.5988919 45.9727618, 126.5984008 45.9727186, 126.5981506 45.9727022, 126.5979425 45.9726955, 126.59768 45.9726909, 126.5970205 45.9726962, 126.5952488 45.9727116, 126.5951502 45.9727182)"
239567848,义昌路,residential,False,False,6.473,,,"LINESTRING (126.5952435 45.9761069, 126.5953271 45.9761032)"
1051415478,南大街,trunk,True,False,193.598,,G222,"LINESTRING (126.5952435 45.9761069, 126.5949454 45.9743782)"
1051415469,南二道街,tertiary,False,False,98.76,,,"LINESTRING (126.6001982 45.9758614, 126.6000295 45.9767418)"
1051415469,南二道街,tertiary,False,True,38.326,,,"LINESTRING (126.6001982 45.9758614, 126.6002425 45.9755181)"
239567848,义昌路,residential,False,True,377.387,,,"LINESTRING (126.6001982 45.9758614, 126.5973601 45.9760129, 126.5953271 45.9761032)"
675792349,建新路,residential,False,False,77.567,,,"LINESTRING (126.6002425 45.9755181, 126.6012431 45.9754628)"
1051415469,南二道街,tertiary,False,False,38.326,,,"LINESTRING (126.6002425 45.9755181, 126.6001982 45.9758614)"
1051415469,南二道街,tertiary,False,True,114.779,,,"LINESTRING (126.6002425 45.9755181, 126.6003737 45.9744899)"
675792350,文化路,residential,False,True,123.417,,,"LINESTRING (126.6003737 45.9744899, 126.6019691 45.9745404)"
1051415469,南二道街,tertiary,False,False,114.779,,,"LINESTRING (126.6003737 45.9744899, 126.6002425 45.9755181)"
1051415469,南二道街,tertiary,False,True,171.421,,,"LINESTRING (126.6003737 45.9744899, 126.6006559 45.9729608)"
675792350,文化路,residential,False,False,412.462,,,"LINESTRING (126.6003737 45.9744899, 126.597521 45.9743804, 126.5950407 45.9743783)"
675792351,建设南路,residential,False,False,351.679,,,"LINESTRING (126.6000295 45.9767418, 126.5954971 45.9770276)"
1051415469,南二道街,tertiary,False,False,118.601,,,"LINESTRING (126.6000295 45.9767418, 126.5998167 45.9777981)"
1051415469,南二道街,tertiary,False,True,98.76,,,"LINESTRING (126.6000295 45.9767418, 126.6001982 45.9758614)"
