osmid,oneway,lanes,name,highway,reversed,length,width,geometry
203237443,True,2,金宇路,primary,False,10.505,,"LINESTRING (116.617785 35.4307532, 116.6179008 35.4307579)"
244170126,True,,,primary,False,51.618,,"LINESTRING (116.617785 35.4307532, 116.6178118 35.4302895)"
693842691,True,,吴泰闸路,secondary,False,11.752,,"LINESTRING (116.6180594 35.4254306, 116.6181891 35.4254308)"
693842694,True,,,primary,False,8.561,,"LINESTRING (116.6180879 35.425504, 116.6180594 35.4254306)"
693842690,True,,,primary,False,8.197,,"LINESTRING (116.6181891 35.4254308, 116.6181784 35.425504)"
693842695,True,4,吴泰闸路,secondary,False,8.2,13,"LINESTRING (116.6181784 35.425504, 116.6180879 35.425504)"
693842696,True,,,primary,False,540.419,,"LINESTRING (116.6181784 35.425504, 116.6181596 35.4259597, 116.618114 35.4267618, 116.6180926 35.4272929, 116.6180631 35.4278021, 116.6180363 35.4284163, 116.6180148 35.428908, 116.6179907 35.4293932, 116.6179746 35.4298675, 116.6179436 35.4303602)"
203237443,True,2,金宇路,primary,False,47.225,,"LINESTRING (116.6179008 35.4307579, 116.618422 35.4307619)"
244170141,True,,火炬北路,primary,False,8.515,,"LINESTRING (116.6179008 35.4307579, 116.6178944 35.4308343)"
244170141,True,,火炬北路,primary,False,45.002,,"LINESTRING (116.6178944 35.4308343, 116.6178828 35.4312389)"
543502350,True,2,金宇路,primary,False,10.37,,"LINESTRING (116.6178944 35.4308343, 116.6177807 35.4308236)"
372836969,True,,火炬北路,primary,False,7.838,,"LINESTRING (116.6177807 35.4308236, 116.617785 35.4307532)"
543502350,True,2,金宇路,primary,False,55.631,,"LINESTRING (116.6177807 35.4308236, 116.6171667 35.4308214)"
372699307,True,,吴泰闸路,secondary,False,340.423,,"LINESTRING (116.6143024 35.4254176, 116.6180594 35.4254306)"
693842696,True,,,primary,False,44.433,,"LINESTRING (116.6179436 35.4303602, 116.617929 35.4305931, 116.6179008 35.4307579)"
968840863,True,,,primary_link,False,63.65,,"LINESTRING (116.6179436 35.4303602, 116.6180438 35.4305144, 116.6181926 35.4306412, 116.618422 35.4307619)"
244170126,True,,,primary,False,532.712,,"LINESTRING (116.6178118 35.4302895, 116.6180879 35.425504)"
203237443,True,2,金宇路,primary,False,41.443,,"LINESTRING (116.6173276 35.4307505, 116.617785 35.4307532)"
968840864,True,,,primary_link,False,68.575,,"LINESTRING (116.6173276 35.4307505, 116.6174993 35.4306488, 116.6176374 35.4305352, 116.6177152 35.4304281, 116.6178118 35.4302895)"
372836969,True,,火炬北路,primary,False,47.802,,"LINESTRING (116.617765 35.4312533, 116.6177807 35.4308236)"
968840865,True,,,primary_link,False,75.156,,"LINESTRING (116.617765 35.4312533, 116.6176562 35.4310815, 116.6175194 35.4309679, 116.617392 35.4309023, 116.6171667 35.4308214)"
543502350,True,2,金宇路,primary,False,52.298,,"LINESTRING (116.6184716 35.4308384, 116.6178944 35.4308343)"
968840866,True,,,primary_link,False,72.089,,"LINESTRING (116.6184716 35.4308384, 116.6182302 35.4309111, 116.6180706 35.4310105, 116.6178828 35.4312389)"
