osmid,oneway,name,highway,reversed,length,lanes,maxspeed,bridge,geometry
187475295,True,爱民路,secondary,False,349.327,,,,"LINESTRING (119.4139338 30.8771727, 119.4175141 30.8778262)"
316829281,False,桃州南路,tertiary,False,197.665,,,,"LINESTRING (119.4139338 30.8771727, 119.4143366 30.875429)"
316829281,False,桃州南路,tertiary,True,21.205,,,,"LINESTRING (119.4139338 30.8771727, 119.4138885 30.8773594)"
187475295,True,爱民路,secondary,False,24.154,,,,"LINESTRING (119.4190203 30.8780894, 119.4192716 30.8781152)"
759826724,True,万桂山南路,primary,False,227.773,3,40,,"LINESTRING (119.4190203 30.8780894, 119.4192826 30.8760534)"
325248308,True,万桂山南路,primary,False,16.255,,,,"LINESTRING (119.4192716 30.8781152, 119.4192519 30.8782604)"
759826722,False,桃州北路,tertiary,True,10.218,,,,"LINESTRING (119.4126926 30.8828141, 119.4126827 30.8829056)"
"[1082138025, 1082138026, 316829281]",False,桃州南路,tertiary,False,240.71700000000004,,,yes,"LINESTRING (119.4126926 30.8828141, 119.4128674 30.8819623, 119.4129582 30.8815199, 119.4131301 30.8806821)"
316829281,False,桃州南路,tertiary,False,21.205,,,,"LINESTRING (119.4138885 30.8773594, 119.4139338 30.8771727)"
316829281,False,桃州南路,tertiary,True,192.272,,,,"LINESTRING (119.4138885 30.8773594, 119.4134995 30.879056)"
863711693,True,爱民路,secondary,False,227.686,,,,"LINESTRING (119.4138885 30.8773594, 119.4115585 30.8769193)"
1082138019,False,民安路,unclassified,False,18.792,,,,"LINESTRING (119.4115585 30.8769193, 119.4115929 30.8767529)"
"[1082138019, 1082138020, 330294373]",False,民安路,unclassified,True,187.27100000000002,,,yes,"LINESTRING (119.4115585 30.8769193, 119.411406 30.8775689, 119.4113027 30.8780093, 119.411171 30.8785703)"
330294374,False,东升路,unclassified,False,19.421,,,,"LINESTRING (119.4174801 30.8779984, 119.4175141 30.8778262)"
330294374,False,东升路,unclassified,True,187.59,,,,"LINESTRING (119.4174801 30.8779984, 119.4171195 30.8796568)"
863711693,True,爱民路,secondary,False,350.051,,,,"LINESTRING (119.4174801 30.8779984, 119.4138885 30.8773594)"
330294373,False,民安路,unclassified,False,180.703,,,,"LINESTRING (119.4107971 30.8801634, 119.411171 30.8785703)"
330294373,False,民安路,unclassified,True,103.722,,,,"LINESTRING (119.4107971 30.8801634, 119.4105774 30.8809362, 119.4104996 30.8810562)"
"[1082138024, 1082138044, 1082138023]",False,天官山路,residential,False,229.99300000000002,,,yes,"LINESTRING (119.4107971 30.8801634, 119.4119699 30.8804242, 119.4124081 30.8805216, 119.4129164 30.8806346, 119.4131301 30.8806821)"
316829281,False,桃州南路,tertiary,False,184.219,,,,"LINESTRING (119.4131301 30.8806821, 119.4134995 30.879056)"
