osmid,highway,junction,oneway,reversed,length,geometry,ref,name,bridge
318891709,trunk,roundabout,True,False,28.954,"LINESTRING (106.9285975 30.3575437, 106.9286673 30.3575683, 106.9287247 30.3576106, 106.9287638 30.3576662, 106.9287807 30.3577297)",,,
318891709,trunk,roundabout,True,False,41.302,"LINESTRING (106.9284796 30.3579405, 106.9284142 30.357915, 106.9283607 30.3578738, 106.9283239 30.3578206, 106.9283071 30.3577604, 106.928312 30.3576986, 106.928338 30.357641)",,,
318891996,trunk,,False,True,269.23400000000004,"LINESTRING (106.9284796 30.3579405, 106.9283107 30.3593153, 106.9283706 30.3596123, 106.9286328 30.3600512, 106.9287136 30.3601874, 106.9288018 30.3602364)",G350,,
318891709,trunk,roundabout,True,False,28.959,"LINESTRING (106.928338 30.357641, 106.9283856 30.3575904, 106.9284492 30.3575554, 106.9285223 30.3575392, 106.9285975 30.3575437)",,,
318891709,trunk,roundabout,True,False,43.353,"LINESTRING (106.9287807 30.3577297, 106.9287737 30.3577944, 106.9287436 30.357854, 106.9286934 30.3579024, 106.9286282 30.3579348, 106.9285544 30.357948, 106.9284796 30.3579405)",,,
318891705,trunk,,False,True,14.046,"LINESTRING (106.9235516 30.3626012, 106.9235579 30.3627274)",G350,利炉线,
"[318891705, 538400539, 538400540]",trunk,,False,False,676.673,"LINESTRING (106.9235516 30.3626012, 106.9235748 30.3621095, 106.9237189 30.3618133, 106.9240147 30.3614337, 106.9242132 30.3612393, 106.9246739 30.3610819, 106.9255543 30.3608505, 106.9284154 30.360929, 106.9287503 30.3607637, 106.9287491 30.3605105, 106.9288018 30.3602364)",G350,利炉线,yes
318891705,trunk,,False,False,14.046,"LINESTRING (106.9235579 30.3627274, 106.9235516 30.3626012)",G350,利炉线,
318891996,trunk,,False,False,269.23400000000004,"LINESTRING (106.9288018 30.3602364, 106.9287136 30.3601874, 106.9286328 30.3600512, 106.9283706 30.3596123, 106.9283107 30.3593153, 106.9284796 30.3579405)",G350,,
"[318891705, 538400539, 538400540]",trunk,,False,True,676.6730000000001,"LINESTRING (106.9288018 30.3602364, 106.9287491 30.3605105, 106.9287503 30.3607637, 106.9284154 30.360929, 106.9255543 30.3608505, 106.9246739 30.3610819, 106.9242132 30.3612393, 106.9240147 30.3614337, 106.9237189 30.3618133, 106.9235748 30.3621095, 106.9235516 30.3626012)",G350,利炉线,yes
