osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge
169766007,True,1,Primorje,residential,False,22.419,"LINESTRING (14.5379106 45.3070039, 14.5381873 45.3069512)",
"[571265590, 169765999]",False,,"['Palada', 'Primorje']",residential,True,326.85800000000006,"LINESTRING (14.5379106 45.3070039, 14.5377514 45.3070121, 14.5375697 45.3070273, 14.5372926 45.3070528, 14.5370007 45.3071007, 14.5367077 45.3071886, 14.5364922 45.3072371, 14.5363967 45.307249, 14.5362903 45.307243, 14.5360567 45.3071786, 14.5359656 45.3071408, 14.5358813 45.3071004, 14.5357499 45.3070239, 14.5355153 45.306876, 14.5352955 45.3066923, 14.5352403 45.30659, 14.5351649 45.3064504, 14.5350561 45.3061821, 14.5350855 45.3059724, 14.5351846 45.3058847)",
92809549,True,,Veberova ulica,residential,False,21.546,"LINESTRING (14.53915 45.306974, 14.5389473 45.3070286, 14.5388905 45.3070383)",
1107320680,False,2,Veberova ulica,residential,True,17.786,"LINESTRING (14.53915 45.306974, 14.5392994 45.3069453, 14.5393674 45.3069275)",
92809549,True,,Veberova ulica,residential,False,22.21,"LINESTRING (14.5381744 45.3070694, 14.5381089 45.3070407, 14.5380154 45.3070136, 14.5379106 45.3070039)",
720259771,True,1,,residential,False,14.41,"LINESTRING (14.5381744 45.3070694, 14.5381462 45.3070175, 14.5381556 45.3069826, 14.5381873 45.3069512)",
100053539,False,,Omladinska ulica,residential,False,175.785,"LINESTRING (14.5358261 45.307716, 14.5358986 45.3078375, 14.5360173 45.3079647, 14.5361359 45.3080377, 14.5363138 45.308069, 14.5365896 45.3080481, 14.5369959 45.3079793, 14.5372628 45.307948, 14.53742 45.3079334, 14.5375267 45.307971, 14.5377491 45.3080648)",
169766006,False,,Lokaj ulica,residential,False,116.022,"LINESTRING (14.5358261 45.307716, 14.5354279 45.3078067, 14.5351868 45.3078659, 14.5348503 45.3079408, 14.5345867 45.3079408, 14.5344129 45.3078816)",
169766006,False,,Lokaj ulica,residential,True,155.244,"LINESTRING (14.5358261 45.307716, 14.5367398 45.3074842, 14.5373129 45.3073713, 14.5374357 45.3073807, 14.5377019 45.3074703)",
169766006,False,,Lokaj ulica,residential,True,116.02199999999999,"LINESTRING (14.5344129 45.3078816, 14.5345867 45.3079408, 14.5348503 45.3079408, 14.5351868 45.3078659, 14.5354279 45.3078067, 14.5358261 45.307716)",
571265588,False,,Voj,residential,False,106.912,"LINESTRING (14.5344129 45.3078816, 14.5337062 45.308, 14.5331061 45.3081577)",
"[360488809, 571265589]",False,,"['Raskrižje', 'Gornja Zagrada']",residential,True,256.435,"LINESTRING (14.5344129 45.3078816, 14.5343701 45.3077179, 14.5344592 45.3075977, 14.5346378 45.3074851, 14.534721 45.307321, 14.5347431 45.3072491, 14.5347075 45.3070723, 14.5345402 45.3068572, 14.5343806 45.3066766, 14.5342863 45.3066416, 14.5341693 45.3065088, 14.5340995 45.3064475, 14.533876 45.3062441, 14.5336143 45.306079, 14.5337008 45.305956)",
100053494,False,,Senjska ulica,residential,False,26.382,"LINESTRING (14.5402157 45.3064973, 14.5401772 45.3066428, 14.5401868 45.3067318)",
752158130,False,,Senjska ulica,residential,True,109.73400000000001,"LINESTRING (14.5402157 45.3064973, 14.5400993 45.3065574, 14.5397704 45.306681, 14.5394457 45.3067778, 14.5391727 45.3068571, 14.5389479 45.3069117)",
