osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,width,junction,bridge
"[1032058769, 233091076]",True,2,D411,Ulica Ante Starčevića,primary,False,91.668,"LINESTRING (17.018563 43.2972622, 17.0182891 43.2974734, 17.0179322 43.2977758, 17.0178882 43.2978163, 17.017862 43.2978475, 17.0178374 43.2978911)",,,,
24760204,True,1,D411,Ulica Stjepana Radića,primary,False,9.622,"LINESTRING (17.0178182 43.2962819, 17.0178894 43.2963512)",,,,
126215477,True,,,Ulica kralja Petra Krešimira IV,residential,False,147.35,"LINESTRING (17.0166271 43.2972797, 17.0166796 43.2972339, 17.0170581 43.2968496, 17.0178182 43.2962819)",,,,
"[700725483, 370846916]",True,,D411,Ulica kralja Zvonimira,primary,False,305.42699999999996,"LINESTRING (17.0166271 43.2972797, 17.016029 43.296985, 17.015848 43.29687, 17.015706 43.29672, 17.015482 43.296445, 17.0153932 43.2962932, 17.0153427 43.2961517, 17.0152952 43.2959525, 17.015292 43.2958835, 17.0153012 43.2957958, 17.0153242 43.295713, 17.0154722 43.2953674, 17.0155454 43.2952033, 17.0156133 43.2950567, 17.0156674 43.2950022, 17.0156998 43.294979)",,,,
696019153,False,2,,Ulica kralja Petra Krešimira IV,residential,True,113.806,"LINESTRING (17.0166271 43.2972797, 17.0165883 43.2973192, 17.0158515 43.2981334)",50,,,
"[700723651, 706006973]",True,1,D411,,primary,False,12.883999999999999,"LINESTRING (17.0178374 43.2978911, 17.0178316 43.2979176, 17.0178178 43.2979385, 17.0178121 43.2979432, 17.0177967 43.2979561, 17.0177709 43.2979686, 17.0177451 43.2979753)",,4,roundabout,
452197929,True,,6197,Ulica Ante Starčevića,secondary,False,83.122,"LINESTRING (17.0196712 43.2963268, 17.0190157 43.2969023)",,,,
"[465366875, 24760205]",False,,,Jadranska ulica,residential,False,96.273,"LINESTRING (17.0196712 43.2963268, 17.0191117 43.295909, 17.018834 43.2957118)",,,,
"[80341003, 34125772]",False,,,Obala kralja Tomislava,residential,False,264.891,"LINESTRING (17.0156998 43.294979, 17.0156696 43.2949593, 17.0156035 43.2949521, 17.0153374 43.2949478, 17.0152293 43.2949451, 17.0152145 43.2949447, 17.0150835 43.2949324, 17.0150485 43.2949178, 17.0149865 43.2948912, 17.0149096 43.2948311, 17.0147007 43.2946831, 17.0146615 43.2946428, 17.014647 43.294611, 17.0146453 43.2945774, 17.0146714 43.2945549, 17.0151145 43.2943035, 17.015159 43.2942533, 17.0152553 43.2940986, 17.0154047 43.2939081, 17.0158019 43.2934463)",,,,
1032058766,True,1,D411,Obala kralja Tomislava,primary,False,9.702,"LINESTRING (17.0156998 43.294979, 17.0157255 43.294968, 17.015762 43.2949616, 17.0158144 43.2949591)",,,,
