osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,access,junction
"[938550528, 294264509]",False,2,2186,"['Ulica bana Josipa Jelačića', 'Trg žrtava fašizma']",secondary,False,85.58699999999999,"LINESTRING (15.8046779 45.8588118, 15.8047864 45.8586037, 15.804848 45.8584521, 15.8048961 45.8583103, 15.8049167 45.858241, 15.8049321 45.8581705, 15.8049544 45.8580687)",,,
294264509,False,2,2186,Ulica bana Josipa Jelačića,secondary,True,33.903000000000006,"LINESTRING (15.8046779 45.8588118, 15.8045553 45.8590107, 15.8045293 45.8590594, 15.804511 45.8590936)",,,
131120560,False,2,2186,Ulica bana Josipa Jelačića,secondary,False,115.147,"LINESTRING (15.8032897 45.8620863, 15.8035698 45.8610693)",,,
131120560,False,2,2186,Ulica bana Josipa Jelačića,secondary,True,22.626,"LINESTRING (15.8032897 45.8620863, 15.8032034 45.8622807)",,,
122239087,False,,,Ulica bana Josipa Jelačića,residential,True,107.544,"LINESTRING (15.8032897 45.8620863, 15.8033736 45.8620938, 15.8046672 45.8622096)",,,
122238015,False,,,Ulica Jure Petrekovića,residential,False,129.886,"LINESTRING (15.8018889 45.8558544, 15.801925 45.8559504, 15.8020484 45.8565968, 15.802259 45.8569869)",,,
47201722,False,,,Ulica Hrvatske mladeži,residential,False,124.668,"LINESTRING (15.804511 45.8590936, 15.8045842 45.8591229, 15.8051744 45.8593592, 15.8059168 45.8596398)",,,
131120560,False,2,2186,Ulica bana Josipa Jelačića,secondary,True,194.099,"LINESTRING (15.804511 45.8590936, 15.8038341 45.8602283, 15.803785 45.8603196, 15.8037359 45.8604235, 15.8036441 45.8607268)",,,
294264509,False,2,2186,Ulica bana Josipa Jelačića,secondary,False,33.903000000000006,"LINESTRING (15.804511 45.8590936, 15.8045293 45.8590594, 15.8045553 45.8590107, 15.8046779 45.8588118)",,,
47201722,False,,,Ulica Hrvatske mladeži,residential,False,77.28399999999999,"LINESTRING (15.8059168 45.8596398, 15.8062765 45.8597801, 15.8067848 45.8599828)",,,
47201722,False,,,Ulica Hrvatske mladeži,residential,True,124.66799999999999,"LINESTRING (15.8059168 45.8596398, 15.8051744 45.8593592, 15.8045842 45.8591229, 15.804511 45.8590936)",,,
47201724,False,,,Ulica Hrvatske mladeži,residential,False,72.02199999999999,"LINESTRING (15.8059168 45.8596398, 15.8059528 45.8596065, 15.8062355 45.8593044, 15.8064721 45.8591225)",,,
469383627,False,,,Ulica Hrvatske mladeži,residential,False,61.885000000000005,"LINESTRING (15.8059168 45.8596398, 15.8058679 45.8596804, 15.8054461 45.8600894)",,,
47201724,False,,,Ulica Hrvatske mladeži,residential,True,72.022,"LINESTRING (15.8064721 45.8591225, 15.8062355 45.8593044, 15.8059528 45.8596065, 15.8059168 45.8596398)",,,
361069518,False,,,Ulica Matije Gupca,residential,True,8.235,"LINESTRING (15.8106445 45.8561095, 15.8105519 45.8561459)",30,yes,
54607216,False,,,Bistranska ulica,residential,False,92.061,"LINESTRING (15.8106445 45.8561095, 15.8108792 45.8561375, 15.8111232 45.8561992, 15.8114129 45.8563056, 15.8117375 45.8564196)",,,
361069518,False,,,Ulica Matije Gupca,residential,False,165.156,"LINESTRING (15.8087192 45.8568068, 15.8088664 45.8567172, 15.8089562 45.8566972, 15.8091672 45.8566777, 15.8094384 45.856659, 15.8095727 45.8566448, 15.8096458 45.8566256, 15.8098251 45.8565634, 15.8101228 45.8563953, 15.8103535 45.8562767, 15.8105519 45.8561459)",30,yes,
361069518,False,,,Ulica Matije Gupca,residential,True,19.746,"LINESTRING (15.8087192 45.8568068, 15.8086664 45.8568615, 15.8085867 45.8569584)",30,yes,
54607202,True,,,Ulica Matije Fistrića,residential,False,52.552,"LINESTRING (15.8085867 45.8569584, 15.8079183 45.8568768)",,,
361069518,False,,,Ulica Matije Gupca,residential,True,36.62,"LINESTRING (15.8085867 45.8569584, 15.8083451 45.8572415)",30,yes,
361069518,False,,,Ulica Matije Gupca,residential,False,19.746,"LINESTRING (15.8085867 45.8569584, 15.8086664 45.8568615, 15.8087192 45.8568068)",30,yes,
122239075,False,,,Ulica Franje Krajačića,residential,True,83.75999999999999,"LINESTRING (15.8061273 45.8566635, 15.8060606 45.8567278, 15.8059882 45.8569931, 15.805413 45.8569416)",,,
391695667,True,,,Ulica Franje Krajačića,residential,False,71.27000000000001,"LINESTRING (15.8061273 45.8566635, 15.806161 45.8564908, 15.8064493 45.8563177, 15.8066753 45.8561918)",,,
391695609,True,,,Ulica Dragutina Kodrmana,residential,False,77.941,"LINESTRING (15.8080325 45.8556978, 15.8083574 45.8562798, 15.8083972 45.8563511)",,,
54607215,False,,,Ivanečka ulica,residential,False,106.581,"LINESTRING (15.8125484 45.8557024, 15.8123921 45.8566547)",,,
122239084,False,,,Ivanečka ulica,residential,False,51.389,"LINESTRING (15.8125484 45.8557024, 15.8118879 45.855658)",,,
122239084,False,,,Ivanečka ulica,residential,True,53.057,"LINESTRING (15.8125484 45.8557024, 15.8132297 45.8557526)",,,
54607215,False,,,Ivanečka ulica,residential,True,106.581,"LINESTRING (15.8123921 45.8566547, 15.8125484 45.8557024)",,,
54607216,False,,,Bistranska ulica,residential,False,52.801,"LINESTRING (15.8123921 45.8566547, 15.8129984 45.8568719)",,,
54607216,False,,,Bistranska ulica,residential,True,52.412,"LINESTRING (15.8123921 45.8566547, 15.8117916 45.8564373)",,,
54607216,False,,,Bistranska ulica,residential,False,4.629,"LINESTRING (15.8117375 45.8564196, 15.8117916 45.8564373)",,,
54607225,False,,,Jakšina ulica,residential,False,41.123,"LINESTRING (15.8117375 45.8564196, 15.8116999 45.8567885)",,,
54607216,False,,,Bistranska ulica,residential,True,92.061,"LINESTRING (15.8117375 45.8564196, 15.8114129 45.8563056, 15.8111232 45.8561992, 15.8108792 45.8561375, 15.8106445 45.8561095)",,,
175920993,False,,,Sljemenska ulica,residential,True,61.382000000000005,"LINESTRING (15.8075561 45.8579659, 15.8078992 45.8580261, 15.8081943 45.8580709, 15.8083177 45.858112)",,,
361069518,False,,,Ulica Matije Gupca,residential,False,102.13,"LINESTRING (15.8075561 45.8579659, 15.8078554 45.857771, 15.8080176 45.8576479, 15.8083451 45.8572415)",30,yes,
361069518,False,,,Ulica Matije Gupca,residential,True,38.411,"LINESTRING (15.8075561 45.8579659, 15.8072367 45.8581338, 15.8071602 45.858174)",30,yes,
361069518,False,,,Ulica Matije Gupca,residential,False,38.411,"LINESTRING (15.8071602 45.858174, 15.8072367 45.8581338, 15.8075561 45.8579659)",30,yes,
361069519,True,,,,residential,False,13.706000000000001,"LINESTRING (15.8071602 45.858174, 15.8071844 45.858179, 15.8072054 45.8581888, 15.8072212 45.8582026, 15.8072305 45.858219, 15.8072324 45.8582365, 15.8072267 45.8582537, 15.807214 45.8582689)",,,roundabout
503369817,False,,,Ulica Vladimira Nazora,residential,False,164.95300000000003,"LINESTRING (15.8049544 45.8580687, 15.8050621 45.8580777, 15.8054378 45.8581092, 15.8055391 45.8581177, 15.8068995 45.8582525, 15.8069591 45.8582498, 15.8070662 45.8582449)",,,
627440319,False,3,2186,Trg žrtava fašizma,secondary,False,72.006,"LINESTRING (15.8049544 45.8580687, 15.8049776 45.8579716, 15.8051004 45.8574568, 15.8051068 45.8574299)",,,
"[938550528, 294264509]",False,2,2186,"['Trg žrtava fašizma', 'Ulica bana Josipa Jelačića']",secondary,True,85.587,"LINESTRING (15.8049544 45.8580687, 15.8049321 45.8581705, 15.8049167 45.858241, 15.8048961 45.8583103, 15.804848 45.8584521, 15.8047864 45.8586037, 15.8046779 45.8588118)",,,
122239077,False,,,Ulica Vladimira Nazora,residential,True,246.30299999999997,"LINESTRING (15.807214 45.8582689, 15.8073385 45.8583382, 15.8073877 45.8583656, 15.8078349 45.8586762, 15.8084491 45.8590992, 15.8085349 45.8591908, 15.808606 45.8593215, 15.8087066 45.8595849, 15.8088474 45.8597969, 15.8089252 45.8598866, 15.8090298 45.8600276)",,,
361069519,True,,,,residential,False,14.570999999999998,"LINESTRING (15.807214 45.8582689, 15.807194 45.8582814, 15.8071694 45.8582889, 15.8071426 45.8582906, 15.8071164 45.8582864, 15.8070935 45.8582766, 15.8070762 45.8582623, 15.8070662 45.8582449)",,,roundabout
1147618047,False,,,,residential,True,47.614,"LINESTRING (15.8090298 45.8600276, 15.8093269 45.8604025)",,,
47201722,False,,,Ulica Hrvatske mladeži,residential,True,146.15,"LINESTRING (15.8090298 45.8600276, 15.8088595 45.860164, 15.8085081 45.8604946, 15.8083635 45.8605463, 15.8082131 45.860545, 15.808095 45.8605049, 15.8075705 45.8603125)",,,
122239077,False,,,Ulica Vladimira Nazora,residential,False,246.30299999999997,"LINESTRING (15.8090298 45.8600276, 15.8089252 45.8598866, 15.8088474 45.8597969, 15.8087066 45.8595849, 15.808606 45.8593215, 15.8085349 45.8591908, 15.8084491 45.8590992, 15.8078349 45.8586762, 15.8073877 45.8583656, 15.8073385 45.8583382, 15.807214 45.8582689)",,,
54607225,False,,,Jakšina ulica,residential,False,167.027,"LINESTRING (15.8115674 45.8580372, 15.8115549 45.8581304, 15.8115478 45.858213, 15.8115142 45.8583103, 15.8114664 45.858372, 15.811293 45.858526, 15.8111762 45.8585063, 15.8108258 45.8584299, 15.8103653 45.8583144, 15.8099967 45.8582036)",,,
54607225,False,,,Jakšina ulica,residential,True,46.405,"LINESTRING (15.8115674 45.8580372, 15.8115931 45.857829, 15.8116007 45.8576207)",,,
136275835,False,,,Jakšina ulica,residential,True,104.842,"LINESTRING (15.8115674 45.8580372, 15.8108065 45.8578944, 15.8102711 45.857767)",,,
122239090,False,,,Ulica Baltazara Adama Krčelića,residential,False,318.261,"LINESTRING (15.801808 45.8628482, 15.8018503 45.8627781, 15.8019026 45.8626915, 15.8019312 45.8626442, 15.8019486 45.8626154, 15.8020777 45.8624204, 15.8021434 45.8623248, 15.8022406 45.8621612, 15.8023101 45.8620099, 15.8023526 45.861851, 15.802375 45.8617672, 15.8024212 45.8615747, 15.8025083 45.8612245, 15.802549 45.8610885, 15.8026366 45.8609366, 15.8027245 45.860796, 15.8027638 45.8607551, 15.8028407 45.860692, 15.8029059 45.860672, 15.8030514 45.8606712, 15.8031616 45.8606795, 15.8033309 45.8607012, 15.8035484 45.8607192, 15.8036441 45.8607268)",,,
131120556,False,2,,Ulica Ante Starčevića,residential,False,77.55,"LINESTRING (15.801808 45.8628482, 15.8018888 45.8628703, 15.8019277 45.8628811, 15.8020208 45.8629075, 15.8026015 45.8630719, 15.8026427 45.8630836, 15.8027363 45.8631099)",40,,
122239088,False,,,Zabočka ulica,residential,True,96.408,"LINESTRING (15.8027363 45.8631099, 15.8028692 45.8631365, 15.8033155 45.8632256, 15.8039377 45.8633371)",,,
131120556,False,2,,Ulica Ante Starčevića,residential,True,77.55,"LINESTRING (15.8027363 45.8631099, 15.8026427 45.8630836, 15.8026015 45.8630719, 15.8020208 45.8629075, 15.8019277 45.8628811, 15.8018888 45.8628703, 15.801808 45.8628482)",40,,
131120560,False,2,2186,Ulica bana Josipa Jelačića,secondary,False,40.727000000000004,"LINESTRING (15.8027363 45.8631099, 15.8028511 45.8628985, 15.8029223 45.8627673)",,,
131357625,False,2,2186,Ulica bana Josipa Jelačića,secondary,False,45.018,"LINESTRING (15.8027363 45.8631099, 15.8026922 45.8631966, 15.8025425 45.8634916)",,,
116020758,True,,,Ulica Drage Švajcara,residential,False,60.967999999999996,"LINESTRING (15.8025202 45.8578877, 15.802574 45.857929, 15.8027595 45.8580714, 15.8029492 45.8581864, 15.8030822 45.8582705)",30,yes,
131120566,False,2,2266,Ulica Pavla Lončara,secondary,False,73.15599999999999,"LINESTRING (15.8025202 45.8578877, 15.8028011 45.857709, 15.8028845 45.8576547, 15.802964 45.8576035, 15.8031218 45.8575148, 15.8032492 45.8574761)",,,
116020758,True,,,Ulica Drage Švajcara,residential,False,137.71800000000002,"LINESTRING (15.8030822 45.8582705, 15.8033775 45.8584003, 15.8036677 45.8585069, 15.8037544 45.8585362, 15.8045658 45.8587788, 15.8046779 45.8588118)",30,yes,
"[175920994, 122196670]",False,,,Sljemenska ulica,residential,False,180.18200000000002,"LINESTRING (15.8083177 45.858112, 15.808779 45.8583493, 15.809015 45.8584632, 15.8091277 45.8585902, 15.8093138 45.858709, 15.8094308 45.8586257, 15.809758 45.8584016, 15.809817 45.8583418, 15.809876 45.8582839, 15.8099967 45.8582036)",,,
175920994,False,,,Sljemenska ulica,residential,True,145.14500000000004,"LINESTRING (15.8083177 45.858112, 15.8083545 45.8580734, 15.8086428 45.8580243, 15.8091335 45.8580093, 15.809589 45.8579906, 15.8097178 45.8579981, 15.8098143 45.8580317, 15.809876 45.8581027, 15.8099028 45.8581718, 15.8099967 45.8582036)",,,
175920993,False,,,Sljemenska ulica,residential,False,61.382,"LINESTRING (15.8083177 45.858112, 15.8081943 45.8580709, 15.8078992 45.8580261, 15.8075561 45.8579659)",,,
122197011,False,,,Ulica Ivana Svrača,residential,False,50.165,"LINESTRING (15.8071558 45.8575534, 15.8072813 45.8571108)",,,
131120560,False,2,2186,Ulica bana Josipa Jelačića,secondary,True,115.147,"LINESTRING (15.8035698 45.8610693, 15.8032897 45.8620863)",,,
122197456,False,,,Ulica Stjepana Fabeka,residential,True,224.51999999999998,"LINESTRING (15.8035698 45.8610693, 15.8036563 45.8610604, 15.8039539 45.860988, 15.80415 45.8609349, 15.8042806 45.8609049, 15.8044303 45.8609039, 15.8045222 45.8609083, 15.8045604 45.8609257, 15.8045933 45.8609705, 15.8045991 45.861055, 15.8046215 45.8612179, 15.8046406 45.8613677, 15.8046787 45.8615176, 15.8047102 45.861709, 15.804715 45.8618855, 15.8047068 45.8619681, 15.8046966 45.8620333, 15.8046672 45.8622096)",,,
131120560,False,2,2186,Ulica bana Josipa Jelačića,secondary,False,38.516,"LINESTRING (15.8035698 45.8610693, 15.8035829 45.8610077, 15.8036441 45.8607268)",,,
122238030,False,,,Ulica kneza Domagoja,residential,False,108.023,"LINESTRING (15.8008756 45.8569417, 15.801501 45.8569095, 15.8018144 45.8569254, 15.8020416 45.8569624, 15.802259 45.8569869)",,,
122238015,False,,,Ulica Jure Petrekovića,residential,False,86.629,"LINESTRING (15.802259 45.8569869, 15.8023661 45.8570214, 15.8025811 45.857095, 15.8028546 45.8572364, 15.8031755 45.8574256)",,,
