osmid,oneway,lanes,name,highway,reversed,length,ref,geometry,maxspeed
229027619,True,2,Međimurska ulica,secondary,False,12.228,,"LINESTRING (16.349572 46.3133013, 16.3496826 46.3133804)",
40252520,True,2,Podravska ulica,primary,False,25.756,D3,"LINESTRING (16.349572 46.3133013, 16.3496491 46.3132342, 16.3497733 46.3131161)",
"[365614611, 365614610, 37339643, 365614613]",True,"['2', '3']",Podravska ulica,primary,False,122.05300000000001,D3,"LINESTRING (16.3559569 46.3088987, 16.3562 46.308759, 16.3564412 46.3086474, 16.3567924 46.3085059, 16.3571775 46.3083791, 16.3573128 46.3083355)",
158925813,True,,Ulica Franje Starea,residential,False,98.744,,"LINESTRING (16.3481625 46.3123794, 16.3488092 46.3116119)",
"[365614608, 365614607]",True,2,Međimurska ulica,secondary,False,120.812,,"LINESTRING (16.3481625 46.3123794, 16.3483337 46.3124552, 16.3484703 46.3125208, 16.3485853 46.3125819, 16.3487164 46.3126726, 16.3493092 46.3131149)",
37336325,False,2,Ulica Ruđera Boškovića,tertiary,False,185.031,25051,"LINESTRING (16.3456254 46.3113578, 16.3455622 46.3114338, 16.34553 46.3114724, 16.3453085 46.311732, 16.344994 46.3120233, 16.3449359 46.3121113, 16.3446889 46.3128054, 16.3446696 46.3128594)",
"[365609216, 365609218, 365609219, 1134497752, 365609215]",False,"['4', '5', '3']",Ulica Julija Merlića,secondary,True,245.53100000000003,NC VZ 2-016,"LINESTRING (16.3456254 46.3113578, 16.3457042 46.3112631, 16.3457286 46.3112338, 16.3458664 46.311086, 16.3459904 46.3109532, 16.3462255 46.3107483, 16.3463467 46.3106489, 16.3464545 46.3105562, 16.3465342 46.3104699, 16.3466017 46.3103796, 16.346672 46.3102158, 16.3467624 46.3099531, 16.3469061 46.3095439, 16.3469329 46.3094796, 16.346969 46.3093951)",
"[365609227, 229027606]",False,3,Međimurska ulica,secondary,True,168.85299999999998,2051,"LINESTRING (16.3456254 46.3113578, 16.3457573 46.3114152, 16.3458707 46.3114646, 16.3467157 46.3118329, 16.3471845 46.3120301, 16.3474944 46.3121572)",
109103760,False,2,Ludbreška ulica,tertiary,False,67.271,25053,"LINESTRING (16.3448254 46.3167953, 16.3449358 46.3167692, 16.3456393 46.316572)",
109103760,False,2,Ludbreška ulica,tertiary,False,59.057,25053,"LINESTRING (16.3456393 46.316572, 16.3459376 46.3164756, 16.3463428 46.3163578)",
109103760,False,2,Ludbreška ulica,tertiary,True,67.271,25053,"LINESTRING (16.3456393 46.316572, 16.3449358 46.3167692, 16.3448254 46.3167953)",
109103760,False,2,Ludbreška ulica,tertiary,False,58.286,25053,"LINESTRING (16.3471151 46.3161203, 16.3478191 46.3159245)",
109103760,False,2,Ludbreška ulica,tertiary,True,64.926,25053,"LINESTRING (16.3471151 46.3161203, 16.3463428 46.3163578)",
37869810,False,,Preloška ulica,residential,True,128.06900000000002,,"LINESTRING (16.3491725 46.3155318, 16.3492021 46.315591, 16.3496599 46.3163249, 16.3499404 46.3165407)",
109103760,False,2,Ludbreška ulica,tertiary,True,58.736000000000004,25053,"LINESTRING (16.3491725 46.3155318, 16.3490478 46.3155712, 16.3488698 46.3156278, 16.3484702 46.3157406)",
109141865,False,2,Preloška ulica,tertiary,False,147.68300000000002,25053,"LINESTRING (16.3491725 46.3155318, 16.3491512 46.3154902, 16.3491233 46.3154522, 16.3491061 46.3154324, 16.3490673 46.3153943, 16.3489459 46.3152897, 16.3485018 46.3149429, 16.3484323 46.3148906, 16.3480091 46.3146073, 16.3479786 46.3145859, 16.3479125 46.3145374)",
415105076,False,2,Ludbreška ulica,residential,False,177.584,,"LINESTRING (16.3491725 46.3155318, 16.3492365 46.315506, 16.3492751 46.315489, 16.3501645 46.3151214, 16.3502456 46.3150847, 16.3509344 46.3146402, 16.3510194 46.3145854)",
37869818,False,,Čakovečka ulica,residential,False,61.01,,"LINESTRING (16.3499404 46.3165407, 16.350523 46.3161677)",
37869818,False,,Čakovečka ulica,residential,True,58.131,,"LINESTRING (16.3499404 46.3165407, 16.3493788 46.3168912)",
37869810,False,,Preloška ulica,residential,False,128.06900000000002,,"LINESTRING (16.3499404 46.3165407, 16.3496599 46.3163249, 16.3492021 46.315591, 16.3491725 46.3155318)",
"[40408042, 365614620]",False,"['2', '4']",Ulica kralja Petra Krešimira IV.,residential,True,204.689,,"LINESTRING (16.346969 46.3093951, 16.3470699 46.3094223, 16.3472068 46.3094533, 16.3478915 46.3096198, 16.3480419 46.309658, 16.3488316 46.3098553, 16.3491259 46.3099288, 16.3492412 46.3099604, 16.3494657 46.3100358)",
"[365609216, 365609218, 365609219, 1134497752, 365609215]",False,"['4', '3', '5']",Ulica Julija Merlića,secondary,False,245.531,NC VZ 2-016,"LINESTRING (16.346969 46.3093951, 16.3469329 46.3094796, 16.3469061 46.3095439, 16.3467624 46.3099531, 16.346672 46.3102158, 16.3466017 46.3103796, 16.3465342 46.3104699, 16.3464545 46.3105562, 16.3463467 46.3106489, 16.3462255 46.3107483, 16.3459904 46.3109532, 16.3458664 46.311086, 16.3457286 46.3112338, 16.3457042 46.3112631, 16.3456254 46.3113578)",
"[365609217, 1134501279]",False,3,Ulica Julija Merlića,secondary,True,93.701,NC VZ 2-016,"LINESTRING (16.346969 46.3093951, 16.347007 46.3093118, 16.3470404 46.3092374, 16.3472817 46.3085808)",
37869818,False,,Čakovečka ulica,residential,False,58.131,,"LINESTRING (16.3493788 46.3168912, 16.3499404 46.3165407)",
