osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,junction,width,maxspeed,tunnel
768286487,True,1,5019,secondary,False,94.274,"LINESTRING (14.345023 45.3719091, 14.3449795 45.3718201, 14.3449811 45.3715139, 14.3449956 45.3713733, 14.3450482 45.3712234, 14.3450753 45.3711567, 14.3450636 45.3710743)",,,,,
951203170,False,2,5019,secondary,False,47.754999999999995,"LINESTRING (14.345023 45.3719091, 14.3450275 45.3720364, 14.3450206 45.3720747, 14.345007 45.3721276, 14.3450045 45.3721387, 14.3449755 45.3721944, 14.3449406 45.3722386, 14.3448681 45.3723112)",,,,,
48486267,False,,5047,secondary,True,35.929,"LINESTRING (14.3447158 45.3709304, 14.3445851 45.370961, 14.3442847 45.3710428)",Kastavska cesta,,,,
951203169,True,1,5047,secondary,False,33.889,"LINESTRING (14.3447158 45.3709304, 14.3448905 45.3709038, 14.3449515 45.3709067, 14.3450514 45.3709114, 14.3451452 45.3709107)",Kastavska cesta,,,,
83703631,True,1,5019,secondary,False,88.854,"LINESTRING (14.3452605 45.3711565, 14.3451755 45.3712005, 14.3451377 45.371248, 14.3451016 45.3713181, 14.3450688 45.3714367, 14.3450573 45.3716197, 14.345055 45.3718109, 14.345023 45.3719091)",,,,,
417941333,True,1,5019,secondary,False,19.153,"LINESTRING (14.3452605 45.3711565, 14.3451993 45.3711546, 14.3451422 45.3711389, 14.3450953 45.3711112, 14.3450636 45.3710743)",,roundabout,,,
53276026,True,,,residential,False,132.602,"LINESTRING (14.3488795 45.372559, 14.3489331 45.3723913, 14.3489908 45.3722763, 14.3490726 45.3721689, 14.3492183 45.3721053, 14.3495201 45.371935, 14.3497796 45.3717715, 14.3498688 45.371728, 14.349953 45.3717055)",Ulica Matka Mandića,,,,
"[128792364, 128767695]",False,,,residential,False,41.95,"LINESTRING (14.3488795 45.372559, 14.3489253 45.3726588, 14.3489172 45.372802, 14.3488712 45.3728813, 14.3488477 45.3729215)","['Ulica Vjekoslava Špinčića', 'Trg Matka Laginje']",,,,
"[984892034, 254526811, 1172687645]",False,,,residential,True,471.01,"LINESTRING (14.3488795 45.372559, 14.3488075 45.3725698, 14.3486993 45.3725981, 14.3485583 45.3727059, 14.3484948 45.3727446, 14.3482842 45.3727785, 14.3476901 45.3728828, 14.3475132 45.3729935, 14.3474418 45.3730795, 14.3473888 45.3731759, 14.3472717 45.3733683, 14.3471508 45.373437, 14.3470649 45.3735397, 14.3468728 45.3739098, 14.3468033 45.3739911, 14.3467021 45.3741095, 14.3466444 45.3741543, 14.3463954 45.3743477, 14.3462664 45.3744261, 14.346017 45.3745004, 14.3459078 45.3745062, 14.3456691 45.3745189, 14.345283 45.3746183, 14.3451756 45.3746451, 14.3448907 45.3746923, 14.3444341 45.3747399, 14.3442852 45.3747191)","['Brnini', 'Put Vladimira Nazora']",,2.5,,
128792378,True,,,residential,False,23.116,"LINESTRING (14.349175 45.3725702, 14.3488795 45.372559)",Stari put,,,,
