osmid,oneway,name,highway,reversed,length,geometry,bridge,tunnel,lanes
"[459382320, 625416310]",True,Ajyad Street,primary,False,164.42200000000003,"LINESTRING (39.8271475 21.4188863, 39.8271789 21.4188174, 39.8274262 21.4183202, 39.827529 21.4181036, 39.8276948 21.4177105, 39.8277768 21.4175291)",,,
157026311,True,,trunk_link,False,73.834,"LINESTRING (39.8275447 21.4201282, 39.8279304 21.4201993, 39.8282444 21.4202571)",,,
177363718,False,,primary,True,84.221,"LINESTRING (39.8275447 21.4201282, 39.8273253 21.4200972, 39.8271776 21.4201017, 39.827047 21.4201209, 39.8269405 21.4201209, 39.8268594 21.4201193, 39.8268295 21.4200895, 39.8268268 21.4200148)",,,
136517299,True,,primary_link,False,15.111,"LINESTRING (39.8281979 21.4171333, 39.828053 21.4171498)",,,
"[177367376, 463926369, 80208469]",True,,trunk_link,False,180.135,"LINESTRING (39.8281979 21.4171333, 39.8280669 21.4173839, 39.8279881 21.4175621, 39.8278687 21.4177793, 39.8277599 21.417977, 39.8276692 21.4182037, 39.8276689 21.4183296, 39.8277255 21.4184659, 39.8278412 21.4185955)",yes,,
136517299,True,,primary_link,False,39.881,"LINESTRING (39.8285676 21.4170324, 39.8281979 21.4171333)",,,
136517300,True,,primary_link,False,7.773,"LINESTRING (39.8284999 21.416933, 39.8285731 21.4169174)",,,
463942258,True,,primary,False,14.981,"LINESTRING (39.828053 21.4171498, 39.8279087 21.4171601)",,,
177360379,True,Ajyad Street شارع أجياد,primary,False,49.984,"LINESTRING (39.828053 21.4171498, 39.8279406 21.4174626, 39.8278861 21.417571)",,,
158601545,True,Talat Al Masafi Street,residential,False,88.973,"LINESTRING (39.8285731 21.4169174, 39.8292787 21.4164605)",,,
136517300,True,,primary_link,False,54.086999999999996,"LINESTRING (39.8285731 21.4169174, 39.8287976 21.4168437, 39.8289075 21.4167806, 39.8290447 21.4167128)",,,
756596573,False,,motorway,False,10.378,"LINESTRING (39.8235728 21.4208615, 39.8236358 21.4209341)",,yes,
157022246,True,Al Souq Al Saghreer Tunnel,trunk,False,303.09799999999996,"LINESTRING (39.8235728 21.4208615, 39.8237539 21.4207585, 39.824078 21.4206048, 39.8243752 21.4204762, 39.8247261 21.4203723, 39.8251045 21.4202843, 39.8259549 21.4201761, 39.8263617 21.420149)",,yes,
256400818,True,طريق الملك عبدالعزيز,trunk,False,171.211,"LINESTRING (39.8298955 21.4206369, 39.8304027 21.4207099, 39.8304819 21.4207182, 39.8306182 21.420734, 39.8306715 21.4207407, 39.8307566 21.4207513, 39.8308069 21.4207576, 39.830929 21.4207729, 39.8309781 21.420779, 39.8315351 21.4208378)",,,3
756596573,False,,motorway,True,10.378,"LINESTRING (39.8236358 21.4209341, 39.8235728 21.4208615)",,yes,
"[625414298, 157026307, 157022253]",True,"['Al Souq Al Saghreer Tunnel', 'طريق الملك عبدالعزيز']",trunk,False,637.496,"LINESTRING (39.8296025 21.4207285, 39.8293718 21.4206718, 39.8287197 21.4205532, 39.8274514 21.420337, 39.8270231 21.4202654, 39.8267767 21.4202323, 39.8265126 21.4202183, 39.8262391 21.4202327, 39.8259568 21.4202581, 39.8251046 21.4203579, 39.8246912 21.4204589, 39.824243 21.4206347, 39.8238175 21.4208377, 39.8236358 21.4209341)",,yes,3
157026309,True,,trunk_link,False,266.66200000000003,"LINESTRING (39.8296025 21.4207285, 39.8291422 21.4206968, 39.8274662 21.4204251, 39.827411 21.4203739, 39.8274021 21.4202746, 39.8274543 21.4201634, 39.8275447 21.4201282)",,,
136517299,True,,primary_link,False,43.483,"LINESTRING (39.8289804 21.41696, 39.8285676 21.4170324)",,,
158601509,True,,primary_link,False,36.442,"LINESTRING (39.8289804 21.41696, 39.8289261 21.416924, 39.8289045 21.4168757, 39.8289381 21.4168026, 39.8290447 21.4167128)",,,
757456925,False,,residential,True,6.392,"LINESTRING (39.8290894 21.4173129, 39.8290609 21.4173639)",,,
"[158601534, 158601535]",False,,residential,False,97.405,"LINESTRING (39.8290894 21.4173129, 39.8291745 21.417109, 39.8292265 21.4168412, 39.8292788 21.4165733, 39.8292787 21.4164605)",yes,,
158601550,True,Hamza Ibn Abdul Mutalib Street,residential,False,62.373999999999995,"LINESTRING (39.8290894 21.4173129, 39.8290279 21.4172788, 39.8285676 21.4170324)",,,
"[158601534, 158601535]",False,,residential,True,97.405,"LINESTRING (39.8292787 21.4164605, 39.8292788 21.4165733, 39.8292265 21.4168412, 39.8291745 21.417109, 39.8290894 21.4173129)",yes,,
"[157022249, 625414299, 157022246]",True,"['Al Souq Al Saghreer Tunnel', 'طريق الملك عبدالعزيز']",trunk,False,370.605,"LINESTRING (39.8263617 21.420149, 39.8265544 21.4201362, 39.8267632 21.4201414, 39.8270107 21.4201691, 39.8274641 21.4202349, 39.828747 21.4204659, 39.8290514 21.4205207, 39.8298955 21.4206369)",,yes,
"[174857640, 625416310, 157026310]",True,"['Ajyad Street', 'شارع أجياد', 'Ajyad Street شارع أجياد']","['primary', 'primary_link']",False,169.61999999999998,"LINESTRING (39.8263617 21.420149, 39.8265642 21.4200787, 39.8266253 21.4200417, 39.8266769 21.4199737, 39.8271054 21.4190209, 39.8271475 21.4188863)",,yes,
256487935,True,Ajyad Street,primary,False,14.965,"LINESTRING (39.8280758 21.4170169, 39.828053 21.4171498)",,,
136517300,True,,primary_link,False,44.921,"LINESTRING (39.8280758 21.4170169, 39.8282047 21.4169994, 39.8284999 21.416933)",,,
463987927,True,,trunk_link,False,103.23899999999999,"LINESTRING (39.8282444 21.4202571, 39.8291032 21.4204299, 39.8292182 21.4204573)",,,
"[526257379, 674268645, 187620565, 757455383, 757454397]",False,,residential,True,246.82899999999998,"LINESTRING (39.8282444 21.4202571, 39.8284077 21.4200479, 39.8284774 21.4199112, 39.82848 21.4197592, 39.8284729 21.4197166, 39.8284342 21.4195955, 39.8283791 21.4194577, 39.8282869 21.4193027, 39.8281687 21.4191753, 39.8280481 21.4190864, 39.8278543 21.4189584, 39.8277647 21.418921, 39.8276913 21.418903, 39.827618 21.4189092, 39.8275486 21.418914, 39.8274953 21.4189303, 39.8274505 21.4189502, 39.8273953 21.418998, 39.827343 21.4190361, 39.827293 21.4190108, 39.8272405 21.4189913)",,yes,
"[757456925, 158601527]",False,,residential,False,427.10699999999997,"LINESTRING (39.8292182 21.4204573, 39.8291095 21.4203768, 39.8290103 21.4202944, 39.8289509 21.4201888, 39.828922 21.4200827, 39.8289047 21.4199874, 39.8288386 21.419683, 39.8288195 21.4196023, 39.8288058 21.4195446, 39.8287983 21.4195129, 39.8287861 21.4194842, 39.8287565 21.419415, 39.8287067 21.4193979, 39.8286859 21.4193907, 39.8283964 21.4193199, 39.8283257 21.4192959, 39.8283086 21.4192774, 39.8282473 21.4192109, 39.8281489 21.4191087, 39.8281006 21.41904, 39.8280828 21.4189968, 39.828086 21.4189708, 39.828233 21.4187519, 39.8283067 21.4186528, 39.8284443 21.418468, 39.8289014 21.4177209, 39.8290609 21.4173639)",,,
463987927,True,,trunk_link,False,72.90299999999999,"LINESTRING (39.8292182 21.4204573, 39.829457 21.4205174, 39.8296149 21.4205604, 39.8298955 21.4206369)",,,
459382320,True,Ajyad Street,primary,False,14.649,"LINESTRING (39.8279087 21.4171601, 39.8279223 21.4170414, 39.8279191 21.4170294)",,,
463942259,True,,primary,False,16.281,"LINESTRING (39.8279191 21.4170294, 39.8280758 21.4170169)",,,
256487935,True,Ajyad Street,primary,False,26.252,"LINESTRING (39.8280065 21.4167898, 39.8280758 21.4170169)",,,
463944776,True,,primary,False,53.968,"LINESTRING (39.8280065 21.4167898, 39.8281297 21.4168494, 39.8282434 21.416886, 39.8283857 21.4169216, 39.8284999 21.416933)",,,
625414297,False,,primary,False,12.236,"LINESTRING (39.8278861 21.417571, 39.8277768 21.4175291)",,,
177360379,True,Ajyad Street شارع أجياد,primary,False,171.54100000000003,"LINESTRING (39.8278861 21.417571, 39.8277219 21.4178975, 39.8273444 21.4187342, 39.8272405 21.4189913)",,,
625414297,False,,primary,True,12.236,"LINESTRING (39.8277768 21.4175291, 39.8278861 21.417571)",,,
459382320,True,Ajyad Street,primary,False,43.337999999999994,"LINESTRING (39.8277768 21.4175291, 39.8278464 21.4173749, 39.8279087 21.4171601)",,,
177360379,True,Ajyad Street شارع أجياد,primary,False,121.599,"LINESTRING (39.8272405 21.4189913, 39.8268511 21.4199566, 39.8268268 21.4200148)",,,
"[526257379, 674268645, 187620565, 757455383, 757454397]",False,,residential,False,246.829,"LINESTRING (39.8272405 21.4189913, 39.827293 21.4190108, 39.827343 21.4190361, 39.8273953 21.418998, 39.8274505 21.4189502, 39.8274953 21.4189303, 39.8275486 21.418914, 39.827618 21.4189092, 39.8276913 21.418903, 39.8277647 21.418921, 39.8278543 21.4189584, 39.8280481 21.4190864, 39.8281687 21.4191753, 39.8282869 21.4193027, 39.8283791 21.4194577, 39.8284342 21.4195955, 39.8284729 21.4197166, 39.82848 21.4197592, 39.8284774 21.4199112, 39.8284077 21.4200479, 39.8282444 21.4202571)",,yes,
678631817,False,,residential,False,91.924,"LINESTRING (39.8297968 21.4173601, 39.8297564 21.4174626, 39.8295434 21.4175675, 39.8292176 21.4174295, 39.8291467 21.4174012, 39.8290609 21.4173639)",,,
757456925,False,,residential,False,6.392,"LINESTRING (39.8290609 21.4173639, 39.8290894 21.4173129)",,,
678631817,False,,residential,True,91.924,"LINESTRING (39.8290609 21.4173639, 39.8291467 21.4174012, 39.8292176 21.4174295, 39.8295434 21.4175675, 39.8297564 21.4174626, 39.8297968 21.4173601)",,,
