osmid,highway,junction,oneway,reversed,length,lanes,ref,name,access,geometry
287514200,trunk,roundabout,True,False,8.819,,,,,"LINESTRING (44.220772 25.8589136, 44.220856 25.8588896)"
287514191,trunk,,True,False,13.099,3,413,طريق الملك عبدالعزيز,yes,"LINESTRING (44.2238404 25.8561424, 44.2237599 25.8562353)"
315036351,tertiary,,True,False,122.462,,,,,"LINESTRING (44.2238404 25.8561424, 44.2242719 25.857173)"
292437741,tertiary,,True,False,34.309,,,,,"LINESTRING (44.2251987 25.862187, 44.2255081 25.86232)"
315038649,residential,,True,False,25.316000000000003,,,,,"LINESTRING (44.2251987 25.862187, 44.2252647 25.8621812, 44.2253318 25.8621522, 44.2253984 25.8621149, 44.2254271 25.8620988)"
292437742,tertiary,roundabout,True,False,28.019,,,,,"LINESTRING (44.2232938 25.8604072, 44.223348 25.8604099, 44.2234214 25.8604246, 44.2234852 25.8604605, 44.2235321 25.8605135)"
315034465,tertiary,,True,False,62.787000000000006,,,,,"LINESTRING (44.2232938 25.8604072, 44.2233429 25.8603768, 44.2233907 25.8603163, 44.223559 25.8599066)"
315036352,tertiary,,True,False,20.791,,,,,"LINESTRING (44.224469 25.8577495, 44.2243494 25.8575966)"
315087385,tertiary,,False,True,76.042,,,,,"LINESTRING (44.224469 25.8577495, 44.2247332 25.8583907)"
315087385,tertiary,,False,False,38.172,,,,,"LINESTRING (44.2254463 25.8599994, 44.2252693 25.8596953)"
315036345,residential,,False,False,95.21300000000001,,,,,"LINESTRING (44.2254463 25.8599994, 44.2253112 25.8600659, 44.2247458 25.8605721)"
286864545,primary,roundabout,True,False,16.156,,,,,"LINESTRING (44.2161665 25.8551426, 44.2161606 25.8552878)"
286864536,primary,,True,False,33.141,,,,,"LINESTRING (44.2161606 25.8552878, 44.2163443 25.8555358)"
287514191,trunk,,True,False,140.857,3,413,طريق الملك عبدالعزيز,yes,"LINESTRING (44.2247969 25.855213, 44.2238404 25.8561424)"
315038645,tertiary,,False,True,25.128,,,,,"LINESTRING (44.2247969 25.855213, 44.2250371 25.8552789)"
292437740,trunk,,True,False,116.94,3,413,طريق الملك عبدالعزيز,yes,"LINESTRING (44.2237025 25.8560578, 44.2244892 25.8552801)"
315036351,tertiary,,True,False,16.7,,,,,"LINESTRING (44.2237025 25.8560578, 44.2238404 25.8561424)"
