osmid,oneway,name,highway,reversed,length,junction,geometry
1063324567,False,,residential,False,193.265,,"LINESTRING (41.0769607 19.129157, 41.0768931 19.1274201)"
377991842,False,,residential,True,32.886,,"LINESTRING (41.0769607 19.129157, 41.0772107 19.1290834, 41.0772567 19.1290622)"
377991843,False,,residential,False,67.299,,"LINESTRING (41.0768931 19.1274201, 41.0774973 19.127219)"
377991843,False,,residential,True,58.886,,"LINESTRING (41.0768931 19.1274201, 41.0763644 19.127596)"
1063324567,False,,residential,True,193.265,,"LINESTRING (41.0768931 19.1274201, 41.0769607 19.129157)"
377991843,False,,residential,False,9.912,,"LINESTRING (41.0774973 19.127219, 41.0775863 19.1271894)"
377991843,False,,residential,True,67.299,,"LINESTRING (41.0774973 19.127219, 41.0768931 19.1274201)"
1063324568,False,,residential,False,180.02100000000002,,"LINESTRING (41.0774973 19.127219, 41.0775971 19.1280342, 41.0776857 19.128318, 41.0777625 19.1286279, 41.0778156 19.1288051)"
377991849,False,,residential,False,7.721,,"LINESTRING (41.0781942 19.125938, 41.0782127 19.1260052)"
377991849,False,,residential,True,36.412,,"LINESTRING (41.0781942 19.125938, 41.0781069 19.1256211)"
1063324569,False,,residential,True,92.557,,"LINESTRING (41.0781942 19.125938, 41.0780531 19.1261133, 41.0780156 19.1263135, 41.0775834 19.1263337)"
377991843,False,,residential,False,20.915,,"LINESTRING (41.0795759 19.1266445, 41.0797675 19.1265934)"
377991843,False,,residential,True,113.553,,"LINESTRING (41.0795759 19.1266445, 41.0785357 19.126922)"
1063324570,False,,residential,False,51.046,,"LINESTRING (41.0795759 19.1266445, 41.0793567 19.126463, 41.0792383 19.1263173)"
377991849,False,,residential,True,7.721,,"LINESTRING (41.0782127 19.1260052, 41.0781942 19.125938)"
377991849,False,,residential,False,107.52000000000001,,"LINESTRING (41.0782127 19.1260052, 41.0782755 19.1262331, 41.0785357 19.126922)"
