osmid,oneway,ref,highway,reversed,length,geometry
134934171,True,5,trunk,False,15.805,"LINESTRING (41.0469448 19.5371138, 41.0470346 19.5369996)"
368116455,True,,primary,False,16.544,"LINESTRING (41.0470346 19.5369996, 41.0471619 19.5370876)"
134934171,True,5,trunk,False,464.62,"LINESTRING (41.0470346 19.5369996, 41.047835 19.5359214, 41.0483308 19.535108, 41.0487866 19.5342537, 41.0492232 19.5333772)"
605843550,False,,unclassified,True,304.73,"LINESTRING (41.0549211 19.5365715, 41.0521574 19.5357192)"
605843550,False,,unclassified,False,304.73,"LINESTRING (41.0521574 19.5357192, 41.0549211 19.5365715)"
605843588,False,,unclassified,True,31.177,"LINESTRING (41.0521574 19.5357192, 41.0522904 19.5354684)"
605843588,False,,unclassified,False,314.50699999999995,"LINESTRING (41.0521574 19.5357192, 41.0520887 19.5358486, 41.0519922 19.5362733, 41.0520029 19.5368294, 41.0521424 19.537254, 41.0523462 19.5376282, 41.052475 19.5380326, 41.0525511 19.5384321)"
605843552,False,,unclassified,True,60.555,"LINESTRING (41.0522904 19.5354684, 41.0517454 19.5352874)"
605843588,False,,unclassified,False,31.177,"LINESTRING (41.0522904 19.5354684, 41.0521574 19.5357192)"
605843588,False,,unclassified,True,156.464,"LINESTRING (41.0522904 19.5354684, 41.0523355 19.5353835, 41.0526359 19.5348476, 41.0528397 19.5343622, 41.0528674 19.53418)"
605843579,False,,unclassified,False,53.991,"LINESTRING (41.0516475 19.5339177, 41.0511452 19.5338097)"
605843579,False,,unclassified,True,51.079,"LINESTRING (41.0516475 19.5339177, 41.0521227 19.5340199)"
605843554,False,,unclassified,True,153.456,"LINESTRING (41.0516475 19.5339177, 41.0516381 19.534797, 41.0517454 19.5352874)"
605843552,False,,unclassified,False,60.555,"LINESTRING (41.0517454 19.5352874, 41.0522904 19.5354684)"
605843554,False,,unclassified,False,153.456,"LINESTRING (41.0517454 19.5352874, 41.0516381 19.534797, 41.0516475 19.5339177)"
605843554,False,,unclassified,True,387.4,"LINESTRING (41.0517454 19.5352874, 41.0515684 19.5362884, 41.0512251 19.537527, 41.0510319 19.5383713, 41.0510327 19.5386966)"
368116455,True,,primary,False,161.812,"LINESTRING (41.0510327 19.5386966, 41.0525511 19.5384321)"
605843554,False,,unclassified,False,387.4,"LINESTRING (41.0510327 19.5386966, 41.0510319 19.5383713, 41.0512251 19.537527, 41.0515684 19.5362884, 41.0517454 19.5352874)"
605843579,False,,unclassified,True,53.991,"LINESTRING (41.0511452 19.5338097, 41.0516475 19.5339177)"
