osmid,oneway,highway,reversed,length,geometry
758718016,False,residential,True,14.487,"LINESTRING (41.7587878 22.4325195, 41.7587621 22.4326476)"
758718019,False,residential,False,80.577,"LINESTRING (41.7587878 22.4325195, 41.7595634 22.4326251)"
758718019,False,residential,True,80.577,"LINESTRING (41.7595634 22.4326251, 41.7587878 22.4325195)"
758718034,False,residential,False,56.02,"LINESTRING (41.7595634 22.4326251, 41.7596831 22.4321336)"
758718019,False,residential,False,133.287,"LINESTRING (41.7595634 22.4326251, 41.7605262 22.4327471, 41.7608501 22.4327718)"
758718015,False,residential,True,8.695,"LINESTRING (41.7608501 22.4327718, 41.7608326 22.4328483)"
758718015,False,residential,False,63.854,"LINESTRING (41.7608501 22.4327718, 41.7609214 22.4324602, 41.7610033 22.4322159)"
758718019,False,residential,True,133.287,"LINESTRING (41.7608501 22.4327718, 41.7605262 22.4327471, 41.7595634 22.4326251)"
112691870,True,tertiary,False,123.54,"LINESTRING (41.761818 22.4331402, 41.7606239 22.4330132)"
758718020,False,residential,False,21.759,"LINESTRING (41.761818 22.4331402, 41.7618516 22.432947)"
758718020,False,residential,True,21.759,"LINESTRING (41.7618516 22.432947, 41.761818 22.4331402)"
366251094,True,tertiary,False,138.686,"LINESTRING (41.7618516 22.432947, 41.7624125 22.4330014, 41.7631928 22.4330837)"
112691870,True,tertiary,False,10.884,"LINESTRING (41.7606239 22.4330132, 41.7605187 22.433002)"
758718021,False,residential,False,20.506,"LINESTRING (41.7606239 22.4330132, 41.760654 22.4328309)"
366251094,True,tertiary,False,18.458,"LINESTRING (41.760654 22.4328309, 41.7608326 22.4328483)"
758718021,False,residential,True,20.506,"LINESTRING (41.760654 22.4328309, 41.7606239 22.4330132)"
112691870,True,tertiary,False,164.198,"LINESTRING (41.7604274 22.4329923, 41.7588401 22.4328252)"
758718022,False,residential,False,20.304,"LINESTRING (41.7604274 22.4329923, 41.7604593 22.4328121)"
366251094,True,tertiary,False,20.12,"LINESTRING (41.7604593 22.4328121, 41.760654 22.4328309)"
758718022,False,residential,True,20.304,"LINESTRING (41.7604593 22.4328121, 41.7604274 22.4329923)"
758718034,False,residential,True,56.02,"LINESTRING (41.7596831 22.4321336, 41.7595634 22.4326251)"
758718038,False,residential,False,137.86700000000002,"LINESTRING (41.7596831 22.4321336, 41.7602584 22.4320916, 41.7607047 22.4321208, 41.7609346 22.4321833, 41.7610033 22.4322159)"
758718015,False,residential,True,63.854,"LINESTRING (41.7610033 22.4322159, 41.7609214 22.4324602, 41.7608501 22.4327718)"
758718038,False,residential,True,137.867,"LINESTRING (41.7610033 22.4322159, 41.7609346 22.4321833, 41.7607047 22.4321208, 41.7602584 22.4320916, 41.7596831 22.4321336)"
366251102,True,tertiary,False,195.793,"LINESTRING (41.7641978 22.4373891, 41.7637199 22.4390936)"
758721251,False,residential,False,55.283,"LINESTRING (41.7641978 22.4373891, 41.7647185 22.4375138)"
758721251,False,residential,False,55.614,"LINESTRING (41.7651989 22.4376289, 41.7657227 22.4377544)"
758721251,False,residential,True,51.006,"LINESTRING (41.7651989 22.4376289, 41.7647185 22.4375138)"
758721252,False,residential,False,58.232,"LINESTRING (41.7651989 22.4376289, 41.7653441 22.4371227)"
112691877,False,residential,False,81.941,"LINESTRING (41.7657432 22.435732, 41.7665135 22.435922)"
112691877,False,residential,True,107.543,"LINESTRING (41.7657432 22.435732, 41.7647322 22.4354827)"
758721252,False,residential,True,105.413,"LINESTRING (41.7657432 22.435732, 41.7654802 22.4366483)"
758721251,False,residential,True,48.977,"LINESTRING (41.7667077 22.4379903, 41.7662464 22.4378798)"
758721252,False,residential,False,105.413,"LINESTRING (41.7654802 22.4366483, 41.7657432 22.435732)"
758721252,False,residential,True,54.574,"LINESTRING (41.7654802 22.4366483, 41.7653441 22.4371227)"
758720300,False,residential,True,37.475,"LINESTRING (41.7588046 22.4408431, 41.7584427 22.4408843)"
758720282,False,residential,True,497.1859999999999,"LINESTRING (41.7588046 22.4408431, 41.7586786 22.4392455, 41.7585737 22.4379131, 41.7586646 22.4364901, 41.758661 22.4363821)"
758720284,False,residential,False,93.042,"LINESTRING (41.7572791 22.4345561, 41.7574517 22.4337347)"
758720304,False,residential,False,39.3,"LINESTRING (41.7572791 22.4345561, 41.7576506 22.4346398)"
758720284,False,residential,True,18.87,"LINESTRING (41.7576752 22.4327025, 41.7576381 22.4328687)"
112691870,True,tertiary,False,27.093,"LINESTRING (41.7579371 22.4327301, 41.7576752 22.4327025)"
758720285,False,residential,False,16.683,"LINESTRING (41.7579371 22.4327301, 41.7579098 22.432878)"
758720285,False,residential,True,100.159,"LINESTRING (41.7577458 22.4337659, 41.7579098 22.432878)"
