osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,bridge,lanes
158493223,False,South Street,tertiary,50,True,203.809,"LINESTRING (150.5932191 -34.5912471, 150.5910216 -34.5909523)",,,
51801392,False,Belmore Falls Road,tertiary,50,True,117.267,"LINESTRING (150.5932191 -34.5912471, 150.5932101 -34.5912918, 150.5930095 -34.5922875)",,,
158493223,False,South Street,tertiary,50,False,256.93899999999996,"LINESTRING (150.5932191 -34.5912471, 150.5937895 -34.5913309, 150.5949577 -34.5915025, 150.5956586 -34.5915894, 150.5959881 -34.5916231)",,,
158493213,False,Caalong Street,residential,50,True,66.03399999999999,"LINESTRING (150.591486 -34.5885234, 150.5914729 -34.5885985, 150.5913767 -34.5891104)",,,
"[374406869, 374406870, 158493215]",False,Caalong Street,tertiary,50,False,285.929,"LINESTRING (150.591486 -34.5885234, 150.5915014 -34.5884347, 150.5915096 -34.5883879, 150.5915446 -34.5881743, 150.5915913 -34.5879078, 150.5916704 -34.5875107, 150.5916913 -34.5874113, 150.5917035 -34.5873535, 150.5917155 -34.5872963, 150.5918472 -34.5866695, 150.5919481 -34.5861894, 150.5919908 -34.585986)",15,yes,
"[766900659, 635172213]",False,Hoddle Street,trunk,50,True,462.53200000000004,"LINESTRING (150.591486 -34.5885234, 150.5915606 -34.588534, 150.592031 -34.5886009, 150.5925019 -34.5886679, 150.5939772 -34.588873, 150.5940946 -34.5888894, 150.5943562 -34.5889259, 150.5943853 -34.58893, 150.5945942 -34.588958, 150.5948021 -34.5889867, 150.596468 -34.5892168)",A48;8,,2
"[766900660, 773692653]",False,Hoddle Street,trunk,50,False,231.544,"LINESTRING (150.591486 -34.5885234, 150.5908953 -34.5884341, 150.588994 -34.5881669)",A48;8;15,,2
158483728,False,Meryla Street,residential,,False,137.98,"LINESTRING (150.5967148 -34.5879887, 150.5968563 -34.5873217, 150.5969425 -34.5869155, 150.5969581 -34.5868421, 150.5969716 -34.586766)",,,
158483728,False,Meryla Street,residential,,True,138.615,"LINESTRING (150.5967148 -34.5879887, 150.5965903 -34.5886027, 150.5964636 -34.5891472, 150.596468 -34.5892168)",,,
158493223,False,South Street,tertiary,50,False,60.829,"LINESTRING (150.5886605 -34.590499, 150.5888426 -34.5906382, 150.5892524 -34.5906972)",,,
46973761,False,Wallangunda Street,residential,,False,45.61,"LINESTRING (150.5887893 -34.5891847, 150.5888741 -34.5887805)",,,
46973761,False,Wallangunda Street,residential,,False,131.756,"LINESTRING (150.588994 -34.5881669, 150.5890032 -34.5881008, 150.5891291 -34.5875494, 150.5892537 -34.5870016)",,,
46973761,False,Wallangunda Street,residential,,True,69.11500000000001,"LINESTRING (150.588994 -34.5881669, 150.5889859 -34.5882254, 150.588878 -34.5887568, 150.5888741 -34.5887805)",,,
"[766900660, 773692653]",False,Hoddle Street,trunk,50,True,231.544,"LINESTRING (150.588994 -34.5881669, 150.5908953 -34.5884341, 150.591486 -34.5885234)",A48;8;15,,2
46973759,False,Burrawang Street,residential,,False,137.853,"LINESTRING (150.5892537 -34.5870016, 150.5895732 -34.5870233, 150.5902371 -34.5870922, 150.5903707 -34.5871252, 150.5904566 -34.5872014, 150.5904727 -34.5873041, 150.5904546 -34.5874056)",,,
46973761,False,Wallangunda Street,residential,,True,131.756,"LINESTRING (150.5892537 -34.5870016, 150.5891291 -34.5875494, 150.5890032 -34.5881008, 150.588994 -34.5881669)",,,
46973759,False,Burrawang Street,residential,,True,137.853,"LINESTRING (150.5904546 -34.5874056, 150.5904727 -34.5873041, 150.5904566 -34.5872014, 150.5903707 -34.5871252, 150.5902371 -34.5870922, 150.5895732 -34.5870233, 150.5892537 -34.5870016)",,,
48531801,False,Arney Street,residential,50,False,116.971,"LINESTRING (150.5892524 -34.5906972, 150.5890421 -34.5917348)",,,
158493223,False,South Street,tertiary,50,False,164.416,"LINESTRING (150.5892524 -34.5906972, 150.5901814 -34.5908312, 150.5910216 -34.5909523)",,,
158493223,False,South Street,tertiary,50,True,60.829,"LINESTRING (150.5892524 -34.5906972, 150.5888426 -34.5906382, 150.5886605 -34.590499)",,,
48531801,False,Arney Street,residential,50,False,116.967,"LINESTRING (150.5890421 -34.5917348, 150.5888242 -34.5927713)",,,
48531801,False,Arney Street,residential,50,True,116.971,"LINESTRING (150.5890421 -34.5917348, 150.5892524 -34.5906972)",,,
48531800,False,Armstrong Crescent,residential,50,False,264.951,"LINESTRING (150.5890421 -34.5917348, 150.5905302 -34.5919307, 150.5905884 -34.5919253, 150.5906425 -34.5919133, 150.5906822 -34.5918966, 150.5907218 -34.5918759, 150.5907692 -34.5918393, 150.5908049 -34.5918027, 150.5908356 -34.5917572, 150.5908592 -34.5917015, 150.5910216 -34.5909523)",,,
