osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width,junction
"[762382443, 628566414]",True,1,A15,Malpas Street,trunk,"['70', '50']",False,116.83500000000001,"LINESTRING (151.6729835 -30.2182566, 151.672976 -30.2181989, 151.6730224 -30.2177939, 151.6730765 -30.2173471, 151.673093 -30.2172114)",,
"[98290444, 762382437]",False,2,A15,Malpas Street,trunk,70,True,193.452,"LINESTRING (151.6729835 -30.2182566, 151.6729085 -30.218707, 151.6727771 -30.2194953, 151.6726966 -30.2199786)",,
770751492,True,1,A15,Malpas Street,trunk,70,False,9.625,"LINESTRING (151.673093 -30.2172114, 151.6731008 -30.2171251)",,
628566413,True,1,,Ollera Street,secondary,,False,28.431,"LINESTRING (151.673093 -30.2172114, 151.6728567 -30.2171536, 151.6728204 -30.2171235)",,
98411367,False,2,,Ollera Street,secondary,50,False,37.008,"LINESTRING (151.6720593 -30.2170138, 151.6724392 -30.2170686)",,
98411367,False,2,,Ollera Street,secondary,50,True,124.79700000000001,"LINESTRING (151.6720593 -30.2170138, 151.6719537 -30.2169986, 151.6707782 -30.2168292)",,
435948202,False,,,Llangothlin Road,unclassified,50,True,39.334,"LINESTRING (151.6720593 -30.2170138, 151.6721278 -30.2169155, 151.67225 -30.2167011)",,
"[1227468736, 22474559]",False,2,,Bradley Street,residential,,False,108.229,"LINESTRING (151.6720593 -30.2170138, 151.6719916 -30.2171148, 151.6719906 -30.2171225, 151.6718836 -30.2179663)",,
"[98411360, 98411365]",False,,,McKie Parkway,residential,50,True,150.30100000000002,"LINESTRING (151.6690654 -30.2201582, 151.6690767 -30.2203763, 151.6691036 -30.2205028, 151.6692867 -30.2210137, 151.6694999 -30.221446)",,
98421984,False,,,McKie Parkway,residential,,False,227.547,"LINESTRING (151.6690654 -30.2201582, 151.6689781 -30.2201232, 151.6688765 -30.2200432, 151.668736 -30.2199011, 151.668237 -30.2192453, 151.6681444 -30.2191497, 151.6680457 -30.2190723, 151.6675523 -30.2187822, 151.667444 -30.2187117)",,
