osmid,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,access,junction
9866999,Christie Street,secondary,False,True,8.807,,"LINESTRING (151.1954995 -33.8232048, 151.1955228 -33.8232816)",,,
494779030,Christie Street,secondary,False,False,32.863,4,"LINESTRING (151.1954995 -33.8232048, 151.1954859 -33.8231277, 151.1954809 -33.8231028, 151.1954504 -33.8229121)",,,
"[573719611, 172776654, 494779031]",Pacific Highway,primary,True,False,184.635,3,"LINESTRING (151.1954995 -33.8232048, 151.1955934 -33.8232022, 151.195641 -33.8232037, 151.1957139 -33.8232067, 151.1958039 -33.8232186, 151.1958794 -33.8232334, 151.1959489 -33.8232523, 151.1967109 -33.8234874, 151.1968444 -33.8235374, 151.1969719 -33.8235931, 151.1970633 -33.8236398, 151.1971427 -33.8236946, 151.1973046 -33.8238285)",60,,
"[1020187402, 24449453]",Lithgow Street,residential,False,True,228.214,,"LINESTRING (151.1948141 -33.8243535, 151.1949403 -33.8246934, 151.1950443 -33.8249737, 151.1952923 -33.8255176, 151.195652 -33.8262831)",50,no,
1240352844,Canberra Avenue,living_street,False,True,28.377,,"LINESTRING (151.1941657 -33.82368, 151.1941885 -33.8237669, 151.194214 -33.8239318)",10,,
1240352844,Canberra Avenue,living_street,False,False,28.377,,"LINESTRING (151.194214 -33.8239318, 151.1941885 -33.8237669, 151.1941657 -33.82368)",10,,
"[173347064, 1240352844]",Canberra Avenue,"['living_street', 'residential']",False,True,50.767999999999994,,"LINESTRING (151.194214 -33.8239318, 151.194218 -33.823967, 151.1942544 -33.8242918, 151.194265 -33.8243864)","['50', '10']",,
173347064,Canberra Avenue,residential,False,False,168.441,,"LINESTRING (151.1941462 -33.8258686, 151.1942052 -33.8255883, 151.1943837 -33.8250157, 151.194383 -33.8248889, 151.194265 -33.8243864)",50,,
573719620,Albany Street,tertiary,False,True,12.155,,"LINESTRING (151.1973046 -33.8238285, 151.1971807 -33.8238653)",50,,
10841982,Mitchell Street,residential,True,False,89.987,,"LINESTRING (151.1971788 -33.8192645, 151.1971659 -33.8200737)",,,
133151170,Northcote Street,tertiary,False,True,12.706,,"LINESTRING (151.1971788 -33.8192645, 151.1972261 -33.8191572)",50,,
133151170,Northcote Street,tertiary,False,False,147.196,,"LINESTRING (151.1971788 -33.8192645, 151.1963795 -33.8200314, 151.1961334 -33.8202635)",50,,
10841985,Plunkett Street,residential,False,True,45.904,,"LINESTRING (151.1961379 -33.8220284, 151.1961499 -33.8216157)",,,
48117627,Chandos Street,secondary,False,False,89.243,2,"LINESTRING (151.1961379 -33.8220284, 151.1964597 -33.8220317, 151.1971039 -33.8220382)",50,,
771896992,Chandos Street,secondary,False,True,70.978,2,"LINESTRING (151.1961379 -33.8220284, 151.1955458 -33.8220166, 151.1954394 -33.8220281, 151.1953748 -33.8220477)",50,,
