osmid,oneway,name,highway,maxspeed,reversed,length,geometry,access,lanes
4298646,False,Beach Street,tertiary,50,False,101.274,"LINESTRING (153.1951812 -30.1117019, 153.1961972 -30.111463)",,
33801080,False,Pollack Esplanade,residential,,False,66.545,"LINESTRING (153.2040515 -30.1104198, 153.2040728 -30.1103085, 153.2041379 -30.1099687, 153.204152 -30.1099012, 153.204162 -30.1098291)",,
124696353,False,Carrington Street,residential,50,True,70.994,"LINESTRING (153.2040515 -30.1104198, 153.203955 -30.1108395, 153.203936 -30.1110494)",yes,
139663224,False,Beach Street,tertiary,40,True,131.868,"LINESTRING (153.2040515 -30.1104198, 153.2039144 -30.1104023, 153.2026936 -30.1102569)",,2
34047604,False,Hofmeier Close,residential,50,True,173.013,"LINESTRING (153.1999843 -30.1082015, 153.2000568 -30.1081821, 153.2002221 -30.1081382, 153.2003637 -30.1081116, 153.2004805 -30.1081124, 153.2005668 -30.1081955, 153.2006616 -30.1083144, 153.2008144 -30.1084596, 153.2010292 -30.1086586, 153.2011022 -30.1087262, 153.201349 -30.1089327)",,
139663227,False,Pacific Street,residential,50,False,22.064,"LINESTRING (153.1999843 -30.1082015, 153.1999648 -30.1082533, 153.1998979 -30.1083851)",,
34047604,False,Hofmeier Close,residential,50,False,173.013,"LINESTRING (153.201349 -30.1089327, 153.2011022 -30.1087262, 153.2010292 -30.1086586, 153.2008144 -30.1084596, 153.2006616 -30.1083144, 153.2005668 -30.1081955, 153.2004805 -30.1081124, 153.2003637 -30.1081116, 153.2002221 -30.1081382, 153.2000568 -30.1081821, 153.1999843 -30.1082015)",,
4298646,False,Beach Street,tertiary,50,True,101.274,"LINESTRING (153.1961972 -30.111463, 153.1951812 -30.1117019)",,
4298646,False,Beach Street,tertiary,50,False,174.61,"LINESTRING (153.1961972 -30.111463, 153.1962498 -30.1114526, 153.1968242 -30.1113387, 153.1979666 -30.1111122)",,
124680472,False,Scarborough Street,residential,40,True,139.382,"LINESTRING (153.1961972 -30.111463, 153.1961678 -30.1116147, 153.1960727 -30.1121061, 153.1959574 -30.1126992)",,
4298646,False,Beach Street,tertiary,50,True,69.786,"LINESTRING (153.1986698 -30.1109578, 153.1979666 -30.1111122)",,
4298646,False,Beach Street,tertiary,50,False,62.235,"LINESTRING (153.1986698 -30.1109578, 153.1991752 -30.1108456, 153.1992965 -30.1108187)",,
124680493,False,Fawcett Street,residential,50,False,137.063,"LINESTRING (153.1986698 -30.1109578, 153.198694 -30.1110774, 153.1986895 -30.111099, 153.1985864 -30.1115974, 153.1984896 -30.1121743)",,
4298646,False,Beach Street,tertiary,50,True,84.215,"LINESTRING (153.2001505 -30.110654, 153.199653 -30.1107365, 153.1994353 -30.1107867, 153.1992965 -30.1108187)",,
38136685,False,Beach Street,tertiary,40,False,61.966,"LINESTRING (153.2001505 -30.110654, 153.2002593 -30.1106307, 153.2005151 -30.1105759, 153.2007758 -30.11052)",,
124680624,False,Nightingale Street,residential,50,True,53.196000000000005,"LINESTRING (153.2001505 -30.110654, 153.2001588 -30.1107399, 153.2001495 -30.1108637, 153.200126 -30.1109858, 153.2000986 -30.1111282)",,
124694815,False,Queen Street,residential,40,True,76.046,"LINESTRING (153.2020578 -30.1139101, 153.2019265 -30.1145845)",,
124694816,False,Queen Street,residential,50,True,136.92899999999997,"LINESTRING (153.2020578 -30.1139101, 153.2021545 -30.1132889, 153.2022496 -30.1126899)",,
124696474,False,Nelson Street,residential,50,False,231.38,"LINESTRING (153.2020578 -30.1139101, 153.2019064 -30.1138895, 153.199857 -30.1136112, 153.1996814 -30.1135873)",,
"[124696353, 124696474]",False,"['Nelson Street', 'Carrington Street']",residential,50,"[False, True]",256.91200000000003,"LINESTRING (153.2020578 -30.1139101, 153.2031603 -30.1140702, 153.2032058 -30.1140715, 153.2032513 -30.1140613, 153.2032951 -30.1140418, 153.2033427 -30.1140168, 153.2033788 -30.1139905, 153.2033962 -30.113958, 153.2034245 -30.1139008, 153.2035022 -30.1134753, 153.2036123 -30.1128799)",yes,
124694815,False,Queen Street,residential,40,False,45.721,"LINESTRING (153.2018471 -30.1149899, 153.2019265 -30.1145845)",,
124680493,False,Fawcett Street,residential,50,True,137.655,"LINESTRING (153.1982761 -30.1133984, 153.1983826 -30.1127797, 153.1984896 -30.1121743)",,
124696474,False,Nelson Street,residential,50,True,136.795,"LINESTRING (153.1982761 -30.1133984, 153.1990177 -30.1134993, 153.1996814 -30.1135873)",,
124694815,False,Queen Street,residential,40,False,76.046,"LINESTRING (153.2019265 -30.1145845, 153.2020578 -30.1139101)",,
124694815,False,Queen Street,residential,40,True,45.721,"LINESTRING (153.2019265 -30.1145845, 153.2018471 -30.1149899)",,
"[124697025, 124697026]",False,Waterloo Street,residential,"['40', '50']","[False, True]",230.795,"LINESTRING (153.2019265 -30.1145845, 153.2018511 -30.1145758, 153.2013121 -30.1145137, 153.1997758 -30.1142853, 153.1995582 -30.1142529)",,
124697025,False,Waterloo Street,residential,40,True,43.015,"LINESTRING (153.2019265 -30.1145845, 153.2020812 -30.114637, 153.2023587 -30.1146754)",,
124680624,False,Nightingale Street,residential,50,False,74.954,"LINESTRING (153.1995582 -30.1142529, 153.1996814 -30.1135873)",,
124680624,False,Nightingale Street,residential,50,True,107.187,"LINESTRING (153.1995582 -30.1142529, 153.1994335 -30.1152108)",,
"[124697025, 124697026]",False,Waterloo Street,residential,"['40', '50']","[False, True]",230.795,"LINESTRING (153.1995582 -30.1142529, 153.1997758 -30.1142853, 153.2013121 -30.1145137, 153.2018511 -30.1145758, 153.2019265 -30.1145845)",,
124696353,False,Carrington Street,residential,50,False,137.001,"LINESTRING (153.2036123 -30.1128799, 153.2037229 -30.1122737, 153.2038228 -30.1116614)",yes,
"[124696353, 124696474]",False,"['Carrington Street', 'Nelson Street']",residential,50,"[False, True]",256.912,"LINESTRING (153.2036123 -30.1128799, 153.2035022 -30.1134753, 153.2034245 -30.1139008, 153.2033962 -30.113958, 153.2033788 -30.1139905, 153.2033427 -30.1140168, 153.2032951 -30.1140418, 153.2032513 -30.1140613, 153.2032058 -30.1140715, 153.2031603 -30.1140702, 153.2020578 -30.1139101)",yes,
124697665,False,Trafalgar Street,residential,50,True,132.768,"LINESTRING (153.2036123 -30.1128799, 153.2035183 -30.1128676, 153.2022496 -30.1126899)",,
124680624,False,Nightingale Street,residential,50,False,53.196,"LINESTRING (153.2000986 -30.1111282, 153.200126 -30.1109858, 153.2001495 -30.1108637, 153.2001588 -30.1107399, 153.2001505 -30.110654)",,
124680624,False,Nightingale Street,residential,50,True,138.913,"LINESTRING (153.2000986 -30.1111282, 153.2000222 -30.1117419, 153.1999113 -30.1123666)",,
124696094,False,Market Street,residential,,False,230.89600000000002,"LINESTRING (153.2000986 -30.1111282, 153.2002987 -30.1111569, 153.2007745 -30.111225, 153.2011865 -30.111284, 153.2013824 -30.1113114, 153.2023609 -30.1114483, 153.2024676 -30.1114632)",,
124680493,False,Fawcett Street,residential,50,False,137.655,"LINESTRING (153.1984896 -30.1121743, 153.1983826 -30.1127797, 153.1982761 -30.1133984)",,
