osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,ref,junction,bridge,access
288180338,4,Archer Street,secondary,40,False,True,58.81399999999999,"LINESTRING (151.1853353 -33.7956113, 151.1853012 -33.7955351, 151.1852865 -33.7955024, 151.185121 -33.7951328, 151.1851133 -33.7951156)",,,,,
"[485494485, 485494486]","['4', '5']",Archer Street,secondary,40,False,False,178.04,"LINESTRING (151.1853353 -33.7956113, 151.1853689 -33.7956877, 151.1853745 -33.7957004, 151.185498 -33.7959809, 151.1855037 -33.7959939, 151.1857891 -33.7966382, 151.1858055 -33.7966752, 151.1859346 -33.7969863, 151.1859453 -33.7970121, 151.1859911 -33.7971168)",,,,,
"[515480432, 1137458569]",2,Victoria Avenue,tertiary,40,False,False,76.77700000000002,"LINESTRING (151.1853353 -33.7956113, 151.1854392 -33.7955789, 151.1854547 -33.7955741, 151.1856011 -33.7955283, 151.1859716 -33.7954125, 151.186113 -33.7953683)",,,,,
"[1137458568, 1137141496, 1137141500, 328271423]",2,Victoria Avenue,tertiary,40,False,True,197.931,"LINESTRING (151.1853353 -33.7956113, 151.1852444 -33.7956399, 151.1851975 -33.7956547, 151.1850542 -33.7956998, 151.1844453 -33.7958858, 151.1843558 -33.7959141, 151.1840025 -33.79603, 151.1839077 -33.7960532, 151.1836766 -33.7960983, 151.1834494 -33.7961344, 151.1834015 -33.796142, 151.1833045 -33.7961646)",,,,,
485494484,4,Archer Street,secondary,40,False,True,53.772,"LINESTRING (151.1843333 -33.7933739, 151.1842994 -33.7932983, 151.1842356 -33.7931558, 151.1841303 -33.7929207)",12.5,,,,
530500606,4,Archer Street,secondary,40,False,False,48.207,"LINESTRING (151.1843333 -33.7933739, 151.1843677 -33.7934507, 151.1845153 -33.7937802)",12.5,,,,
"[530503257, 722920365, 722920367]",3,Malvern Avenue,residential,40,False,False,145.171,"LINESTRING (151.1843333 -33.7933739, 151.1844225 -33.7933461, 151.1845758 -33.7932983, 151.1850357 -33.7931549, 151.1850678 -33.7931448, 151.1853063 -33.7930705, 151.1853999 -33.7930413, 151.1857821 -33.7929221, 151.1858041 -33.7929152)",12.5,,,,
5401214,,View Street,residential,50,False,True,167.27300000000002,"LINESTRING (151.1767799 -33.7957338, 151.1768066 -33.7956585, 151.1768638 -33.7954973, 151.1770146 -33.7952145, 151.1770825 -33.7950953, 151.1774804 -33.7943487)",,,,,
"[485660593, 782116901, 172868958]","['4', '5']",Fullers Road,primary,50,False,False,119.955,"LINESTRING (151.1767799 -33.7957338, 151.1768958 -33.7957463, 151.1769934 -33.7957644, 151.1772956 -33.7958585, 151.1774011 -33.7958913, 151.1778507 -33.7960264, 151.177889 -33.7960379, 151.1780112 -33.7960669)",,A38,,,
"[4567569, 522073679]",2,Orchard Road,tertiary,"['40', '50']",False,True,257.77000000000004,"LINESTRING (151.1825135 -33.8005841, 151.1825513 -33.8003727, 151.1826118 -33.8000161, 151.1826189 -33.7998888, 151.1826091 -33.7997942, 151.1823564 -33.7992121, 151.1821586 -33.7987566, 151.182025 -33.7984487, 151.1819875 -33.7983626)",,,,,
"[1023899440, 503987338, 485494493, 1023899432]",3,Johnson Street,residential,50,False,False,105.21700000000001,"LINESTRING (151.1825135 -33.8005841, 151.182605 -33.8005519, 151.1828303 -33.8004841, 151.1828716 -33.8004717, 151.1829976 -33.8004322, 151.1834032 -33.8003051, 151.1834934 -33.800276, 151.1835483 -33.8002582, 151.1835781 -33.8002486)",,,,,
"[173384417, 1023899434, 422603131]",,Chapman Avenue,residential,,False,True,97.356,"LINESTRING (151.1825135 -33.8005841, 151.1824473 -33.8006073, 151.1817953 -33.8008179, 151.1816427 -33.8008688, 151.1815305 -33.8008987)",,,,,
"[4827019, 525881142, 525881143]","['2', '4']",Victor Street,residential,"['40', '50']",False,False,169.757,"LINESTRING (151.183438 -33.7995326, 151.183442 -33.7994334, 151.1834301 -33.799383, 151.1833936 -33.7992988, 151.1833745 -33.7992546, 151.1832343 -33.7989344, 151.1832051 -33.7988675, 151.1830994 -33.7986257, 151.1829037 -33.7981888, 151.1828634 -33.7980901)",,,,,
4827019,2,Victor Street,residential,50,False,True,74.225,"LINESTRING (151.183438 -33.7995326, 151.1834154 -33.7996416, 151.1834231 -33.7997261, 151.1834862 -33.7998851, 151.1835649 -33.8000447, 151.183606 -33.8001521, 151.1836129 -33.8001708)",,,,,
378382063,,Parkside Lane,residential,,False,True,152.15699999999998,"LINESTRING (151.183438 -33.7995326, 151.183544 -33.7995315, 151.1835677 -33.7995313, 151.1840852 -33.7993689, 151.1844322 -33.7992599, 151.184886 -33.7991199, 151.184988 -33.7990885)",,,,,
485494484,4,Archer Street,secondary,40,False,False,36.483,"LINESTRING (151.1839926 -33.7926132, 151.1841303 -33.7929207)",12.5,,,,
"[1140711576, 800592654]",,Nicholson Street,residential,40,False,True,106.404,"LINESTRING (151.1839926 -33.7926132, 151.1840747 -33.7925874, 151.1844537 -33.7924683, 151.1850696 -33.7922747)",7.5,,,,
5401214,,View Street,residential,50,False,False,167.27300000000002,"LINESTRING (151.1774804 -33.7943487, 151.1770825 -33.7950953, 151.1770146 -33.7952145, 151.1768638 -33.7954973, 151.1768066 -33.7956585, 151.1767799 -33.7957338)",,,,,
