osmid,lanes,name,highway,junction,oneway,reversed,length,geometry,maxspeed
23366241,1,Meninya Street,secondary,roundabout,True,False,27.317,"LINESTRING (144.752045 -36.1250242, 144.7520406 -36.1249929, 144.752042 -36.1249637, 144.7520491 -36.1249377, 144.7520602 -36.1249154, 144.752082 -36.1248873, 144.7521044 -36.1248663, 144.7521296 -36.1248488, 144.7521779 -36.1248234)",
23366254,1,Heygarth Street,secondary,,True,False,76.22399999999999,"LINESTRING (144.752045 -36.1250242, 144.7519596 -36.1249353, 144.7518147 -36.124795, 144.7515343 -36.124563, 144.7514973 -36.1245041)",60
753423137,1,,secondary,roundabout,True,False,1.117,"LINESTRING (144.7524853 -36.1249354, 144.7524865 -36.1249454)",
51112738,1,Sturt Street,tertiary,,True,False,78.86099999999999,"LINESTRING (144.7524865 -36.1249454, 144.7525161 -36.1249855, 144.7525451 -36.1250189, 144.752569 -36.1250432, 144.7525984 -36.1250696, 144.7527252 -36.1251584, 144.7528235 -36.125226, 144.7530987 -36.1254497)",60
753423136,1,Meninya Street,secondary,roundabout,True,False,28.538999999999998,"LINESTRING (144.7524865 -36.1249454, 144.7524804 -36.1249965, 144.7524701 -36.1250362, 144.752459 -36.125065, 144.7524421 -36.1250912, 144.752423 -36.1251085, 144.7524034 -36.1251208, 144.7523704 -36.1251378, 144.752336 -36.1251497)",
23366245,1,Meninya Street,secondary,,True,False,51.453,"LINESTRING (144.7522243 -36.1248144, 144.7522417 -36.1247979, 144.7522831 -36.1247775, 144.7523136 -36.1247578, 144.7523487 -36.1247285, 144.7523922 -36.1246878, 144.7524984 -36.1245832, 144.7526057 -36.1244726)",60
753423138,1,Meninya Street,secondary,roundabout,True,False,28.165,"LINESTRING (144.7522243 -36.1248144, 144.7522437 -36.1248146, 144.7522846 -36.1248197, 144.7523272 -36.1248287, 144.7523795 -36.1248493, 144.7524123 -36.1248709, 144.7524443 -36.124897, 144.7524853 -36.1249354)",
23366249,1,Meninya Street,secondary,,True,False,52.721000000000004,"LINESTRING (144.7526057 -36.1244726, 144.7525708 -36.1246178, 144.7525065 -36.1247977, 144.7524931 -36.124854, 144.7524853 -36.1249354)",60
23366257,,Heygarth Street,secondary,,False,False,4.082,"LINESTRING (144.7514973 -36.1245041, 144.7514612 -36.1244818)",50
23366256,1,Heygarth Street,secondary,,True,False,71.72399999999999,"LINESTRING (144.7514973 -36.1245041, 144.7515899 -36.124534, 144.7518445 -36.1246948, 144.7519083 -36.1247348, 144.7519795 -36.124773, 144.7520362 -36.1247945, 144.7520947 -36.124812, 144.7521779 -36.1248234)",60
"[23366258, 54355085]",2,High Street,secondary,,True,False,222.507,"LINESTRING (144.7472432 -36.1246531, 144.7472788 -36.1248427, 144.7474116 -36.1254194, 144.7475985 -36.1261443, 144.7477369 -36.1266134)","['60', '50']"
173390821,2,,secondary,roundabout,True,False,14.026,"LINESTRING (144.7472432 -36.1246531, 144.7472021 -36.1246785, 144.7471714 -36.1246877, 144.7471205 -36.1246903, 144.7471002 -36.1246872)",
791855676,2,,secondary,roundabout,True,False,4.202,"LINESTRING (144.7471002 -36.1246872, 144.7470731 -36.1246789, 144.7470583 -36.1246709)",
753423139,1,,secondary,roundabout,True,False,4.286,"LINESTRING (144.7521779 -36.1248234, 144.7522243 -36.1248144)",
51112389,,Tyler Street,residential,,False,True,27.083,"LINESTRING (144.747415 -36.1317063, 144.7477098 -36.131655)",
133950957,2,High Street,secondary,,True,False,81.385,"LINESTRING (144.7488143 -36.1314629, 144.7486317 -36.130746)",60
51112389,,Tyler Street,residential,,False,False,101.467,"LINESTRING (144.7488143 -36.1314629, 144.7482116 -36.1315677, 144.7477098 -36.131655)",
51112431,,Collier Street,residential,,False,True,103.29400000000001,"LINESTRING (144.7484582 -36.1300651, 144.7478447 -36.1301684, 144.7477678 -36.1301813, 144.7473324 -36.1302552)",50
"[133950957, 711947510]",2,High Street,secondary,,True,False,163.043,"LINESTRING (144.7484582 -36.1300651, 144.7482267 -36.1291562, 144.7480924 -36.1286289)",60
219182957,,Pakenham Street,secondary,,False,False,14.201,"LINESTRING (144.7482501 -36.1286382, 144.7480924 -36.1286289)",
53191074,,Pakenham Street,tertiary,,False,True,117.05799999999999,"LINESTRING (144.7482501 -36.1286382, 144.7491682 -36.1284832, 144.7495259 -36.1284228)",
"[711947509, 219182959]",2,High Street,secondary,,True,False,236.256,"LINESTRING (144.7482501 -36.1286382, 144.7483737 -36.1291251, 144.7487785 -36.1307196)",60
178259200,,Pakenham Street,residential,,False,True,97.559,"LINESTRING (144.7480924 -36.1286289, 144.7470318 -36.1288185)",
219182957,,Pakenham Street,secondary,,False,True,14.201,"LINESTRING (144.7480924 -36.1286289, 144.7482501 -36.1286382)",
219182960,2,High Street,secondary,,True,False,225.844,"LINESTRING (144.7480924 -36.1286289, 144.7475851 -36.1266396)",60
51112443,,McKinlay Street,residential,,False,False,152.118,"LINESTRING (144.7507042 -36.1325379, 144.7523624 -36.1322588)",50
