osmid,oneway,lanes,highway,reversed,length,ref,name,geometry,junction,maxspeed
31976764,True,1,secondary_link,False,7.74,,,"LINESTRING (146.3254821 -36.3560504, 146.3255523 -36.356091)",,
771823673,True,1,secondary,False,135.787,C314,Murphy Street,"LINESTRING (146.3254821 -36.3560504, 146.3266319 -36.3552543)",,
286838854,True,2,secondary,False,16.859,C521,Meldrum Street,"LINESTRING (146.3230003 -36.3600556, 146.3228135 -36.3600367)",,
"[220566410, 239023475]",False,2,secondary,True,203.98499999999999,C521,"['Meldrum Street', 'Millard Street']","LINESTRING (146.3230003 -36.3600556, 146.3236458 -36.3601535, 146.3237584 -36.3601764, 146.3238596 -36.3602028, 146.3239973 -36.3602455, 146.3241121 -36.360287, 146.3244664 -36.360441, 146.3245541 -36.3604858, 146.3246432 -36.3605378, 146.3247067 -36.3605838, 146.324765 -36.3606033, 146.3248031 -36.360644, 146.3248198 -36.3606807, 146.324842 -36.3607418, 146.3248504 -36.3607991, 146.3248528 -36.3608462, 146.3248516 -36.3608777)",,
286838858,False,,secondary,False,107.553,C521,Warby Street,"LINESTRING (146.3220723 -36.3593739, 146.3214339 -36.3585546)",,
640049004,True,2,secondary,False,60.14,C521,Warby Street,"LINESTRING (146.3220723 -36.3593739, 146.3224008 -36.3597443, 146.3224598 -36.3598156)",,
31976757,False,,secondary_link,False,9.717,C374,,"LINESTRING (146.3266319 -36.3552543, 146.3266988 -36.3553231)",,
31976761,False,2,secondary,True,129.918,C374,Reid Street,"LINESTRING (146.3266319 -36.3552543, 146.3263689 -36.3550071, 146.3262466 -36.3548994, 146.3256827 -36.3543708)",,
719025676,True,,secondary,False,8.668,C314,,"LINESTRING (146.3245234 -36.3565614, 146.3245663 -36.3565586, 146.3246175 -36.3565718)",roundabout,
"[30253122, 771823671]",False,,residential,False,205.20199999999997,,Ford Street,"LINESTRING (146.3245234 -36.3565614, 146.3241921 -36.3562067, 146.3241273 -36.3561374, 146.3240518 -36.3560566, 146.3236969 -36.3556988, 146.3234615 -36.3554615, 146.3233883 -36.3553877, 146.3231961 -36.355194, 146.3230864 -36.3551291)",,
52507281,False,,tertiary,False,129.024,,Ovens Street,"LINESTRING (146.3228802 -36.3551408, 146.3227266 -36.355252, 146.322446 -36.3554366, 146.3222185 -36.3555863, 146.3219414 -36.3557722, 146.3217743 -36.3558843)",,
52507282,True,,tertiary,False,13.196,,,"LINESTRING (146.3228802 -36.3551408, 146.3228592 -36.3551099, 146.3228527 -36.3550832, 146.3228577 -36.3550482, 146.3228677 -36.3550288)",roundabout,
300176702,False,,residential,True,186.465,,Reid Street,"LINESTRING (146.3280378 -36.3566069, 146.3279729 -36.3565516, 146.3276358 -36.3562412, 146.3271822 -36.355802, 146.326776 -36.3553973, 146.3266988 -36.3553231)",,
"[621964520, 48200155]",False,,residential,True,132.927,,Chisholm Street,"LINESTRING (146.3280378 -36.3566069, 146.3275088 -36.3569884, 146.3270058 -36.3573464, 146.3269312 -36.3574036)",,
31976759,True,,secondary,False,11.844999999999999,C374,,"LINESTRING (146.3248842 -36.3537199, 146.3248902 -36.3536905, 146.3249092 -36.3536648, 146.3249242 -36.3536533, 146.3249572 -36.3536391)",roundabout,
394231620,True,1,secondary,False,188.781,C374,Rowan Street,"LINESTRING (146.3248842 -36.3537199, 146.3248555 -36.3536643, 146.3247904 -36.3535963, 146.3246472 -36.3534606, 146.324554 -36.3533787, 146.3244166 -36.3532661, 146.3242921 -36.3532063, 146.3241705 -36.353167, 146.3238256 -36.3530932, 146.3233604 -36.3529952, 146.323269 -36.3529785, 146.3232292 -36.3529755, 146.3231056 -36.3529662)",,
31976759,True,,secondary,False,14.811,C374,,"LINESTRING (146.3249992 -36.3536351, 146.3250352 -36.3536428, 146.3250699 -36.3536628, 146.3250903 -36.3536939, 146.3250972 -36.3537271)",roundabout,
751754837,True,1,tertiary,False,190.73299999999998,,Ovens Street,"LINESTRING (146.3249992 -36.3536351, 146.3250753 -36.3536155, 146.3251638 -36.3535745, 146.3258827 -36.3530809, 146.326549 -36.3526076, 146.3265774 -36.3525668, 146.3265955 -36.3525236)",,40
31976759,True,,secondary,False,6.711,C374,,"LINESTRING (146.3250972 -36.3537271, 146.3250882 -36.353756, 146.3250662 -36.3537809)",roundabout,
31976759,True,,secondary,False,6.623,C374,,"LINESTRING (146.3249082 -36.3537753, 146.3248902 -36.3537493, 146.3248842 -36.3537199)",roundabout,
31976760,False,2,tertiary,False,214.272,,Ovens Street,"LINESTRING (146.3249082 -36.3537753, 146.3242973 -36.3541862, 146.323571 -36.3546747, 146.3231928 -36.3549291, 146.3230655 -36.3550041)",,
31976759,True,,secondary,False,15.909999999999998,C374,,"LINESTRING (146.3250662 -36.3537809, 146.3250362 -36.3537983, 146.3249982 -36.3538065, 146.3249612 -36.3538034, 146.3249282 -36.3537904, 146.3249082 -36.3537753)",roundabout,
31976761,False,2,secondary,False,85.736,C374,Reid Street,"LINESTRING (146.3250662 -36.3537809, 146.3256097 -36.3543009, 146.3256827 -36.3543708)",,
897769880,False,,unclassified,True,7.643,,Docker Street,"LINESTRING (146.3223123 -36.3548997, 146.322395 -36.3549167)",,
52507285,True,,residential,False,52.524,,Baker Street,"LINESTRING (146.3223123 -36.3548997, 146.322344 -36.3548003, 146.3224611 -36.3544428)",,
220534109,False,,unclassified,False,132.68599999999998,,Docker Street,"LINESTRING (146.3223123 -36.3548997, 146.3221402 -36.354864, 146.3213927 -36.3547092, 146.3208763 -36.3546058)",,
48986496,False,,tertiary,False,118.274,,Ovens Street,"LINESTRING (146.3200502 -36.3570544, 146.3190315 -36.3577314)",,
439473510,False,,tertiary,True,8.873,,Ovens Street,"LINESTRING (146.3200502 -36.3570544, 146.3201261 -36.3570031)",,
220566411,False,,residential,True,130.325,,Harper Street,"LINESTRING (146.3181371 -36.3605095, 146.3195657 -36.3607334)",,
220566288,False,,tertiary,False,129.99099999999999,,Perry Street,"LINESTRING (146.3181371 -36.3605095, 146.3182968 -36.3597959, 146.3183946 -36.359359)",,
286838856,False,,tertiary,False,13.165000000000001,,,"LINESTRING (146.3223492 -36.359989, 146.3223823 -36.3599544, 146.3224014 -36.359938, 146.3224289 -36.3599203, 146.3224549 -36.3599088)",,
286842448,True,,tertiary,False,21.386000000000003,,Roger Street,"LINESTRING (146.3223492 -36.359989, 146.3223745 -36.3599496, 146.322388 -36.3599223, 146.3223939 -36.3599026, 146.3223967 -36.3598829, 146.3223936 -36.3598625, 146.322387 -36.3598427, 146.3223692 -36.3598081)",,
50537341,False,,residential,False,38.24,,Allan Court,"LINESTRING (146.3212814 -36.3601358, 146.3213217 -36.359937, 146.3213503 -36.3597964)",,
48986496,False,,tertiary,True,22.934,,Ovens Street,"LINESTRING (146.318742 -36.357933, 146.318932 -36.3577947)",,
589933234,True,1,tertiary,False,47.351000000000006,,Ovens Street,"LINESTRING (146.318742 -36.357933, 146.3186596 -36.3580208, 146.3186151 -36.3580699, 146.3185754 -36.3581265, 146.3185422 -36.3581719, 146.318512 -36.3582246, 146.3184728 -36.3582973)",,
50537683,True,,residential,False,47.109,,Cusack Street,"LINESTRING (146.3200807 -36.356583, 146.3201494 -36.356582, 146.3202781 -36.3565994, 146.3203328 -36.3566036, 146.3203838 -36.3566122, 146.320424 -36.356623, 146.3204442 -36.3566297, 146.3204696 -36.3566381, 146.3204937 -36.3566511, 146.3205179 -36.3566662, 146.3205644 -36.3567067)",,
286751586,False,,residential,False,77.36200000000001,,Cusack Street,"LINESTRING (146.3200807 -36.356583, 146.3192838 -36.3564146, 146.3192451 -36.3564064)",,
286852666,False,,residential,False,108.253,,Mackay Street,"LINESTRING (146.3189333 -36.357347, 146.3192451 -36.3564064)",,
414192692,True,1,residential,False,45.13000000000001,,Mackay Street,"LINESTRING (146.3189333 -36.357347, 146.3189178 -36.3574121, 146.3189137 -36.3574427, 146.3189162 -36.3574841, 146.3189256 -36.3575318, 146.3189354 -36.3575692, 146.3189461 -36.3576016, 146.3189622 -36.3576319, 146.3189675 -36.3576419, 146.3189783 -36.3576621, 146.3190315 -36.3577314)",,
286852666,False,,residential,True,108.253,,Mackay Street,"LINESTRING (146.3192451 -36.3564064, 146.3189333 -36.357347)",,
286751586,False,,residential,True,77.36200000000001,,Cusack Street,"LINESTRING (146.3192451 -36.3564064, 146.3192838 -36.3564146, 146.3200807 -36.356583)",,
220566411,False,,residential,False,130.325,,Harper Street,"LINESTRING (146.3195657 -36.3607334, 146.3181371 -36.3605095)",,
220566412,False,,residential,False,132.524,,Moore Street,"LINESTRING (146.3195657 -36.3607334, 146.3197952 -36.3597085, 146.3198297 -36.3595607)",,
48383446,False,,residential,False,138.664,,Meldrum Street,"LINESTRING (146.3198297 -36.3595607, 146.3213503 -36.3597964)",,
48383446,False,,residential,True,130.451,,Meldrum Street,"LINESTRING (146.3198297 -36.3595607, 146.3183946 -36.359359)",,
220566412,False,,residential,False,79.942,,Moore Street,"LINESTRING (146.3198297 -36.3595607, 146.3199791 -36.3588519)",,
220566412,False,,residential,True,132.524,,Moore Street,"LINESTRING (146.3198297 -36.3595607, 146.3197952 -36.3597085, 146.3195657 -36.3607334)",,
52507280,True,,tertiary,False,5.936999999999999,,,"LINESTRING (146.3265955 -36.3525236, 146.3265839 -36.3524986, 146.3265835 -36.3524719)",roundabout,
52507280,True,,tertiary,False,12.224,,,"LINESTRING (146.3265835 -36.3524719, 146.326595 -36.352446, 146.3266171 -36.3524251, 146.3266469 -36.3524118, 146.3266807 -36.3524077)",roundabout,
751754839,True,,residential,False,16.322,,,"LINESTRING (146.3265835 -36.3524719, 146.3265438 -36.3524426, 146.3265149 -36.352424, 146.3264355 -36.3523875)",,
