osmid,oneway,name,highway,reversed,length,maxspeed,lanes,geometry,ref
4648537,True,Gardens Road,tertiary,False,60.928,,,"LINESTRING (130.8370426 -12.4566749, 130.8366407 -12.4562925)",
538844778,True,Daly Street,primary,False,11.249,50,,"LINESTRING (130.8370426 -12.4566749, 130.8371159 -12.4566034)",
4650907,False,,primary,True,17.846,,,"LINESTRING (130.8377398 -12.4559867, 130.8378558 -12.4561004)",
660287272,True,Daly Street,primary,False,13.937,50,,"LINESTRING (130.8372412 -12.4567246, 130.8371496 -12.4568124)",
660287275,True,Cavenagh Street,tertiary,False,64.549,,,"LINESTRING (130.8372412 -12.4567246, 130.8376596 -12.457137)",
732828315,False,McMinn Street,tertiary,False,60.466,,2,"LINESTRING (130.8405072 -12.4560031, 130.8405931 -12.4560856, 130.8409016 -12.456387)",
4650879,False,McLachlan Street,unclassified,False,155.147,50,,"LINESTRING (130.8409016 -12.456387, 130.8399047 -12.4573866)",
732828315,False,McMinn Street,tertiary,False,77.391,,2,"LINESTRING (130.8409016 -12.456387, 130.8414081 -12.4568767)",
732828315,False,McMinn Street,tertiary,True,60.466,,2,"LINESTRING (130.8409016 -12.456387, 130.8405931 -12.4560856, 130.8405072 -12.4560031)",
732828315,False,McMinn Street,tertiary,False,72.706,,2,"LINESTRING (130.8414081 -12.4568767, 130.8418851 -12.4573356)",
732828315,False,McMinn Street,tertiary,True,77.391,,2,"LINESTRING (130.8414081 -12.4568767, 130.8409016 -12.456387)",
43404291,False,Shepherd Street,unclassified,True,155.219,50,,"LINESTRING (130.8414081 -12.4568767, 130.8408418 -12.4574402, 130.8407442 -12.4575375, 130.8404069 -12.4578731)",
4650880,False,Lindsey Street,unclassified,False,155.26,50,,"LINESTRING (130.8418851 -12.4573356, 130.8408887 -12.4583371)",
732828315,False,McMinn Street,tertiary,False,31.703,,2,"LINESTRING (130.8418851 -12.4573356, 130.8420894 -12.4575393)",
732828315,False,McMinn Street,tertiary,True,72.706,,2,"LINESTRING (130.8418851 -12.4573356, 130.8414081 -12.4568767)",
1047364385,True,McMinn Street,tertiary,False,14.0,,2,"LINESTRING (130.8428018 -12.4580431, 130.8428928 -12.4581323)",
732828314,True,Garramilla Boulevard,tertiary,False,106.777,50,2,"LINESTRING (130.8428018 -12.4580431, 130.843251 -12.4576241, 130.8434994 -12.4573667)",
4650841,False,McMinn Street,tertiary,False,71.599,,2,"LINESTRING (130.8436805 -12.4590978, 130.8441467 -12.4595532)",
4650841,False,McMinn Street,tertiary,True,22.503,,2,"LINESTRING (130.8436805 -12.4590978, 130.8435424 -12.4589469)",
4650842,False,Manton Street,unclassified,True,154.059,50,,"LINESTRING (130.8436805 -12.4590978, 130.8426888 -12.4600887)",
4650841,False,McMinn Street,tertiary,False,72.32,,2,"LINESTRING (130.8441467 -12.4595532, 130.8446183 -12.4600125)",
4650841,False,McMinn Street,tertiary,True,71.599,,2,"LINESTRING (130.8441467 -12.4595532, 130.8436805 -12.4590978)",
4650843,False,Gardiner Street,unclassified,False,153.537,50,,"LINESTRING (130.8441467 -12.4595532, 130.8431555 -12.460538)",
4650841,False,McMinn Street,tertiary,False,3.625,,2,"LINESTRING (130.8446183 -12.4600125, 130.844641 -12.4600364)",
4650841,False,McMinn Street,tertiary,True,72.32,,2,"LINESTRING (130.8446183 -12.4600125, 130.8441467 -12.4595532)",
4650844,False,Knuckey Street,unclassified,False,153.076,,,"LINESTRING (130.8446183 -12.4600125, 130.8436413 -12.461005)",
4650896,False,Carey Street,residential,True,19.227,,,"LINESTRING (130.8452638 -12.4605907, 130.845394 -12.4604735)",
684294301,False,Carey Street,tertiary,False,7.218,,,"LINESTRING (130.8452638 -12.4605907, 130.8452172 -12.460637)",
4650842,False,Manton Street,unclassified,False,154.059,50,,"LINESTRING (130.8426888 -12.4600887, 130.8436805 -12.4590978)",
547877696,False,Woods Street,unclassified,True,71.16,,,"LINESTRING (130.8426888 -12.4600887, 130.8431555 -12.460538)",
547877696,False,Woods Street,unclassified,False,129.824,,,"LINESTRING (130.8426888 -12.4600887, 130.8425075 -12.4599211, 130.842446 -12.4598643, 130.8423785 -12.459796, 130.842318 -12.4597347, 130.8419739 -12.4593866, 130.841844 -12.4592628)",
4650843,False,Gardiner Street,unclassified,True,153.537,50,,"LINESTRING (130.8431555 -12.460538, 130.8441467 -12.4595532)",
547877696,False,Woods Street,unclassified,False,71.16,,,"LINESTRING (130.8431555 -12.460538, 130.8426888 -12.4600887)",
