osmid,lanes,highway,maxspeed,oneway,reversed,length,ref,name,geometry,junction
41411742,2,trunk_link,50,False,False,21.482,,,"LINESTRING (145.3630945 -36.3940401, 145.3629215 -36.3939062)",
785139160,2,trunk,50,True,False,31.946,A300,McLennan Street,"LINESTRING (145.3630945 -36.3940401, 145.362788 -36.3941873)",
785139159,,tertiary,50,False,True,37.458,,Watt Road,"LINESTRING (145.3630945 -36.3940401, 145.3631869 -36.394123, 145.3633628 -36.3942985)",
41413134,2,trunk_link,50,False,False,36.281000000000006,,,"LINESTRING (145.3594522 -36.3947674, 145.3594157 -36.3945997, 145.3593823 -36.394446)",
50264062,,unclassified,50,False,False,122.028,,Young Street,"LINESTRING (145.3594522 -36.3947674, 145.359471 -36.3948503, 145.3595809 -36.3953352, 145.3596572 -36.3956715, 145.359697 -36.395847)",
220090626,2,trunk,50,True,False,217.681,A300,McLennan Street,"LINESTRING (145.3594522 -36.3947674, 145.3593554 -36.3947815, 145.3580087 -36.3949773, 145.3574275 -36.3950618, 145.3571922 -36.395098, 145.3570596 -36.3951184)",
220090626,2,trunk,50,True,False,7.398,A300,McLennan Street,"LINESTRING (145.3570596 -36.3951184, 145.3569784 -36.3951308)",
980111372,,unclassified,50,True,False,34.123000000000005,,Doonan Street,"LINESTRING (145.3570596 -36.3951184, 145.3570698 -36.3951827, 145.3570731 -36.3952032, 145.3570772 -36.3952292, 145.3570848 -36.3953058, 145.3570629 -36.3954228)",
980110533,1,trunk,50,True,False,8.902,A300,McLennan Street,"LINESTRING (145.3558844 -36.3952864, 145.3557854 -36.3952941)",
"[980110528, 14748975]",,secondary,"['60', '50']",True,False,276.58299999999997,C369,Toolamba Road,"LINESTRING (145.3558844 -36.3952864, 145.3558374 -36.3953777, 145.3557682 -36.395512, 145.3556969 -36.3956371, 145.3556318 -36.395766, 145.3554621 -36.3960659, 145.3552495 -36.3964491, 145.3551563 -36.3966125, 145.3550335 -36.3968277, 145.3548166 -36.3972037, 145.3546213 -36.3975562)",
