osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,width,junction
222580709,False,2,B79,Adams Street,primary,50,False,182.046,"LINESTRING (141.9177926 -34.1070645, 141.9173379 -34.1054712)",,,
700363465,False,,B79,Adams Street,primary,50,True,8.799,"LINESTRING (141.9177926 -34.1070645, 141.917808 -34.1071426)",,,
700363467,True,1,B79,Sandwych Street,primary,50,False,21.346,"LINESTRING (141.9177926 -34.1070645, 141.9180188 -34.1071066)",,,
175209547,False,2,B79,Wentworth Street,primary,50,True,91.876,"LINESTRING (141.9237275 -34.1068601, 141.9236122 -34.1067275, 141.9233788 -34.1064208, 141.9232972 -34.1063035, 141.9231904 -34.1061642)",,,
187130079,True,1,B79,Silver City Highway,primary,60,False,127.62,"LINESTRING (141.9237275 -34.1068601, 141.923488 -34.106705, 141.9233517 -34.1066189, 141.9232106 -34.1065512, 141.9230643 -34.1065026, 141.9229189 -34.1064717, 141.9227468 -34.1064536, 141.9224805 -34.1064577)",,,
175208170,False,,,Beverley Street,residential,50,True,103.877,"LINESTRING (141.9152582 -34.1068266, 141.9150249 -34.1059126)",,,
175208170,False,,,Beverley Street,residential,50,False,134.781,"LINESTRING (141.9152582 -34.1068266, 141.9151529 -34.1074214, 141.9150554 -34.108027)",,,
175208207,True,,,Sandwych Street,residential,,False,70.233,"LINESTRING (141.9152582 -34.1068266, 141.9153786 -34.1068089, 141.9160145 -34.1068727)",,,
175208171,False,2,,Arthur Street,residential,50,True,110.738,"LINESTRING (141.9143831 -34.1034714, 141.9155587 -34.1032611)",,,
175208170,False,,,Beverley Street,residential,50,False,277.808,"LINESTRING (141.9143831 -34.1034714, 141.9147219 -34.1047764, 141.9150249 -34.1059126)",,,
"[175222489, 175211948]",False,,,"['Short Street', 'Cadell Street']",residential,50,False,368.10400000000004,"LINESTRING (141.9146596 -34.1105936, 141.9171105 -34.1108623, 141.91715 -34.1108147, 141.9171909 -34.1107653, 141.9172271 -34.1105627, 141.9172829 -34.1102496, 141.9173085 -34.1100455, 141.9173608 -34.1096284)",,,
926205213,False,,,Beverley Street,residential,50,True,128.772,"LINESTRING (141.9146596 -34.1105936, 141.9147567 -34.1100027, 141.9148445 -34.1094457)",,,
175208561,False,,,Gunn Street,residential,50,True,138.22,"LINESTRING (141.9227876 -34.1042158, 141.9235242 -34.1040723, 141.92425 -34.103935)",,,
180546695,False,2,,Wentworth Street,secondary,,False,161.22,"LINESTRING (141.9227876 -34.1042158, 141.9229498 -34.1047942, 141.9231837 -34.1056281)",,,
175211948,False,,,Short Street,residential,,False,131.74,"LINESTRING (141.9173608 -34.1096284, 141.9174557 -34.1090177, 141.9175538 -34.1084545)",,,
"[175222489, 175211948]",False,,,"['Short Street', 'Cadell Street']",residential,50,True,368.104,"LINESTRING (141.9173608 -34.1096284, 141.9173085 -34.1100455, 141.9172829 -34.1102496, 141.9172271 -34.1105627, 141.9171909 -34.1107653, 141.91715 -34.1108147, 141.9171105 -34.1108623, 141.9146596 -34.1105936)",,,
700233212,False,2,,Murray Street,residential,50,True,232.32,"LINESTRING (141.9173608 -34.1096284, 141.916499 -34.1095485, 141.916302 -34.1095302, 141.914853 -34.1093964)",,,
175208561,False,,,Gunn Street,residential,50,False,138.22,"LINESTRING (141.92425 -34.103935, 141.9235242 -34.1040723, 141.9227876 -34.1042158)",,,
187130678,False,,,William Street,residential,50,True,150.933,"LINESTRING (141.92425 -34.103935, 141.9244522 -34.1046234, 141.9246577 -34.1052496)",,,
639676100,True,1,B79,Silver City Highway,primary,60,False,14.578,"LINESTRING (141.9224805 -34.1064577, 141.9223222 -34.1064607)",,,
