osmid,ref,highway,junction,oneway,reversed,length,name,maxspeed,geometry,lanes,bridge
719398896,C791,secondary,roundabout,True,False,6.148,,,"LINESTRING (144.5913623 -37.4878186, 144.5914045 -37.4878626)",,
141581840,C791,secondary,,False,False,144.505,Hamilton Street,60,"LINESTRING (144.5934221 -37.4882697, 144.593303 -37.4882423, 144.5931981 -37.4882264, 144.5925375 -37.488142, 144.5922033 -37.4880966, 144.5918134 -37.48803)",,
788128324,C791,secondary,,False,True,5.508,Hamilton Street,60,"LINESTRING (144.5917525 -37.4880191, 144.5918134 -37.48803)",,
141602535,C791,secondary,,True,False,36.701,Hamilton Street,60,"LINESTRING (144.5917525 -37.4880191, 144.591684 -37.4880258, 144.5915324 -37.4880205, 144.5914104 -37.488028, 144.5913386 -37.4880377)",,
115701261,,residential,,False,True,227.06,Goode Street,50,"LINESTRING (144.5866192 -37.487421, 144.5862341 -37.48944)",,
141581822,,tertiary,,False,True,130.589,Hamilton Street,50,"LINESTRING (144.5866192 -37.487421, 144.5880816 -37.4876019)",2,
258237056,,residential,,False,False,105.844,Goode Street,50,"LINESTRING (144.5866192 -37.487421, 144.5867992 -37.4864799)",,
258237055,,tertiary,,False,False,129.283,Hamilton Street,50,"LINESTRING (144.5866192 -37.487421, 144.5856613 -37.4872971, 144.5851722 -37.4872381)",,
141596923,,residential,,False,False,24.263,Aitken Street Service Road,50,"LINESTRING (144.591785 -37.4845663, 144.591511 -37.4845479)",,
"[31295490, 788133717]",C791,secondary,,False,False,106.715,Aitken Street,60,"LINESTRING (144.591785 -37.4845663, 144.5917739 -37.4847237, 144.5917515 -37.4849162, 144.591729 -37.4850762, 144.5916514 -37.4855197)",,
141581822,,tertiary,,False,False,130.589,Hamilton Street,50,"LINESTRING (144.5880816 -37.4876019, 144.5866192 -37.487421)",2,
177402822,,residential,,False,False,228.05,Prince Street,,"LINESTRING (144.5880816 -37.4876019, 144.5876906 -37.4896292)",,
141581822,,tertiary,,False,True,129.761,Hamilton Street,50,"LINESTRING (144.5880816 -37.4876019, 144.5886903 -37.4876814, 144.5890587 -37.4877274, 144.5892575 -37.4877523, 144.5895337 -37.4877868)",2,
177402822,,residential,,False,True,235.58800000000002,Prince Street,,"LINESTRING (144.5880816 -37.4876019, 144.5882162 -37.486946, 144.5883423 -37.4863428, 144.5884551 -37.4857434, 144.5885006 -37.4855095)",,
719398897,C791,secondary,roundabout,True,False,20.647,,,"LINESTRING (144.5911452 -37.4878134, 144.591197 -37.4877918, 144.5912549 -37.4877853, 144.5913123 -37.4877946, 144.5913623 -37.4878186)",,
788128323,C791,secondary,,True,False,31.943999999999996,Aitken Street,60,"LINESTRING (144.5911452 -37.4878134, 144.5911704 -37.4877279, 144.5911878 -37.4876427, 144.5911972 -37.4875672, 144.591204 -37.4875303)",,
141602537,C705,secondary,,True,False,52.476,Aitken Street,60,"LINESTRING (144.5912906 -37.4880535, 144.5912669 -37.4880897, 144.5912374 -37.4881354, 144.5912025 -37.4882142, 144.5910812 -37.4884944)",,
1245213539,C791,secondary,roundabout,True,False,16.89,,,"LINESTRING (144.5912906 -37.4880535, 144.591243 -37.4880573, 144.5911959 -37.4880505, 144.591153 -37.4880336, 144.5911177 -37.488008)",,
141581800,C704,secondary,,True,False,18.275,Robertson Street,50,"LINESTRING (144.5914754 -37.4859369, 144.5912777 -37.4858879)",,
57058377,C791,secondary,roundabout,True,False,14.984,,,"LINESTRING (144.5914754 -37.4859369, 144.5914637 -37.4859058, 144.5914662 -37.4858734, 144.5914825 -37.4858437, 144.5915097 -37.4858131)",,
1111739344,C791,secondary,roundabout,True,False,1.902,,,"LINESTRING (144.5915097 -37.4858131, 144.5915306 -37.4858089)",,
141581814,C791,secondary,,True,False,17.998,Aitken Street,60,"LINESTRING (144.5916476 -37.4859721, 144.5916156 -37.4860199, 144.5915907 -37.4860889, 144.5915798 -37.4861238)",,
788133719,C791,secondary,roundabout,True,False,14.433,,,"LINESTRING (144.5916476 -37.4859721, 144.5916104 -37.4859856, 144.5915696 -37.4859882, 144.5915302 -37.4859796, 144.5914969 -37.4859608)",,
141596923,,residential,,False,False,31.745,Aitken Street Service Road,50,"LINESTRING (144.591511 -37.4845479, 144.5915452 -37.4842637)",,
141596923,,residential,,False,True,24.263,Aitken Street Service Road,50,"LINESTRING (144.591511 -37.4845479, 144.591785 -37.4845663)",,
115701160,,residential,,False,True,228.497,Brantome Street,50,"LINESTRING (144.5895337 -37.4877868, 144.5891704 -37.4898214)",,
141581822,,tertiary,,False,True,96.42,Hamilton Street,50,"LINESTRING (144.5895337 -37.4877868, 144.5906199 -37.487882)",2,
115701160,,residential,,False,False,235.54399999999998,Brantome Street,50,"LINESTRING (144.5895337 -37.4877868, 144.589616 -37.4874545, 144.5896345 -37.4873655, 144.5896464 -37.4873185, 144.5896505 -37.4872885, 144.5897398 -37.4868585, 144.5897537 -37.4867861, 144.5898709 -37.4861822, 144.5899806 -37.4856987)",,
141581822,,tertiary,,False,False,129.761,Hamilton Street,50,"LINESTRING (144.5895337 -37.4877868, 144.5892575 -37.4877523, 144.5890587 -37.4877274, 144.5886903 -37.4876814, 144.5880816 -37.4876019)",2,
115701160,,residential,,False,False,136.431,Brantome Street,50,"LINESTRING (144.5899806 -37.4856987, 144.5902268 -37.4844874)",,
115701160,,residential,,False,True,235.54399999999998,Brantome Street,50,"LINESTRING (144.5899806 -37.4856987, 144.5898709 -37.4861822, 144.5897537 -37.4867861, 144.5897398 -37.4868585, 144.5896505 -37.4872885, 144.5896464 -37.4873185, 144.5896345 -37.4873655, 144.589616 -37.4874545, 144.5895337 -37.4877868)",,
141582679,C704,secondary,,False,True,132.27,Robertson Street,50,"LINESTRING (144.5899806 -37.4856987, 144.5885785 -37.4855195, 144.5885006 -37.4855095)",,
788133716,C704,secondary,,True,False,63.101,Robertson Street,50,"LINESTRING (144.5899806 -37.4856987, 144.5903086 -37.48571, 144.5904609 -37.4857251, 144.5906924 -37.4857484)",,
788133718,C791,secondary,roundabout,True,False,3.265,,,"LINESTRING (144.5914969 -37.4859608, 144.5914754 -37.4859369)",,
141581822,,tertiary,,False,False,96.42,Hamilton Street,50,"LINESTRING (144.5906199 -37.487882, 144.5895337 -37.4877868)",2,
