osmid,oneway,name,highway,maxspeed,access,reversed,length,geometry,lanes,ref,bridge,junction
179103647,False,Cedar Street,residential,50,yes,False,306.96299999999997,"LINESTRING (152.9135655 -26.4226179, 152.911935 -26.4210444, 152.9118594 -26.420947, 152.9117881 -26.4208308, 152.9117423 -26.4207506, 152.9117061 -26.4206669, 152.9116823 -26.4205924, 152.9116594 -26.420489)",,,,
262484585,False,Diamond Street,primary,,,False,86.92099999999999,"LINESTRING (152.9128687 -26.416765, 152.9127152 -26.4167653, 152.9123491 -26.416761, 152.911996 -26.4167532)",3,6,,
991609211,False,Tewantin Road,primary,50,,True,128.835,"LINESTRING (152.9128687 -26.416765, 152.9129951 -26.4167572, 152.9130387 -26.4167486, 152.9131158 -26.4167281, 152.9131572 -26.4167135, 152.9132134 -26.4166897, 152.9132462 -26.4166752, 152.9133134 -26.4166406, 152.9134058 -26.4165851, 152.9135502 -26.4164905, 152.9137835 -26.4163297, 152.9139681 -26.4161971)",2,6,,
179427990,True,,primary_link,50,,False,63.476,"LINESTRING (152.911996 -26.4167532, 152.9118614 -26.4168051, 152.9117863 -26.416888, 152.9117513 -26.4170314, 152.9117271 -26.4172162)",1,6,,
262484585,False,Diamond Street,primary,,,True,86.92099999999999,"LINESTRING (152.911996 -26.4167532, 152.9123491 -26.416761, 152.9127152 -26.4167653, 152.9128687 -26.416765)",3,6,,
1025104564,False,Diamond Street,primary,,,False,40.263999999999996,"LINESTRING (152.911996 -26.4167532, 152.9118932 -26.4167513, 152.9115917 -26.4167514)",2,6,,
1025104562,False,Diamond Street,primary,,,False,8.495,"LINESTRING (152.9115917 -26.4167514, 152.9115106 -26.4167751)",,6,,
1025104563,True,Elm Street,primary,50,,False,53.760000000000005,"LINESTRING (152.9115917 -26.4167514, 152.9116567 -26.4168887, 152.911705 -26.4170515, 152.9117271 -26.4172162)",1,,,
1025104564,False,Diamond Street,primary,,,True,40.263999999999996,"LINESTRING (152.9115917 -26.4167514, 152.9118932 -26.4167513, 152.911996 -26.4167532)",2,6,,
23254943,False,Elm Street,primary,50,,False,59.697,"LINESTRING (152.9116802 -26.4179994, 152.9116667 -26.4185185, 152.9116723 -26.4185354)",3,6,,
179103651,False,Opal Street,residential,,,False,232.804,"LINESTRING (152.9116802 -26.4179994, 152.9118339 -26.4180016, 152.913849 -26.4180371, 152.9140175 -26.4180414)",,,,
1025104560,True,Elm Street,primary,50,,False,138.395,"LINESTRING (152.9116802 -26.4179994, 152.9116472 -26.4175984, 152.9116509 -26.4175018, 152.9116553 -26.4173871, 152.9116416 -26.4171638, 152.9115949 -26.416966, 152.9115701 -26.4169097, 152.9115106 -26.4167751)",2,6,,
"[29098507, 29098508, 1025104565, 23254943]",False,Elm Street,primary,50,,True,250.355,"LINESTRING (152.9103979 -26.4200745, 152.9104371 -26.420077, 152.9104733 -26.4200755, 152.910732 -26.4199937, 152.9109816 -26.4199212, 152.9112069 -26.4198535, 152.911255 -26.4198361, 152.9113145 -26.4198103, 152.9113424 -26.4197954, 152.9113812 -26.4197715, 152.9114028 -26.4197565, 152.9114494 -26.4197193, 152.9114859 -26.4196847, 152.911506 -26.4196635, 152.9115264 -26.4196403, 152.9115658 -26.4195867, 152.9115955 -26.419532, 152.9116083 -26.4195004, 152.9116228 -26.4194582, 152.9116325 -26.4194233, 152.9116421 -26.4193753, 152.9116478 -26.4193241, 152.9116652 -26.4186074, 152.9116723 -26.4185354)","['2', '3']",6,yes,
"[1025104566, 1025104559]",False,Myall Street,primary,50,,False,202.10500000000002,"LINESTRING (152.9103979 -26.4200745, 152.9103893 -26.4202655, 152.9103877 -26.420352, 152.9103919 -26.4203968, 152.9103997 -26.4204385, 152.9104116 -26.420483, 152.9104294 -26.420535, 152.9104569 -26.4205999, 152.9105741 -26.4207977, 152.9106022 -26.4208367, 152.9106507 -26.4209077, 152.9109764 -26.4213583, 152.9110373 -26.4214468, 152.9111275 -26.4215921, 152.911186 -26.4217029)","['2', '3']",6,,
"[29098506, 1025104567]",False,Myall Street,tertiary,40,,False,131.331,"LINESTRING (152.9103979 -26.4200745, 152.9103548 -26.4200611, 152.910323 -26.4200471, 152.9102574 -26.4200076, 152.9102332 -26.4199842, 152.9102168 -26.4199626, 152.9102054 -26.4199427, 152.9101925 -26.4199123, 152.9101821 -26.4198779, 152.9099385 -26.4191627, 152.9099195 -26.4191119, 152.9098904 -26.419028)","['2', '3']",,,
"[29098506, 1025104567]",False,Myall Street,tertiary,40,,True,131.331,"LINESTRING (152.9098904 -26.419028, 152.9099195 -26.4191119, 152.9099385 -26.4191627, 152.9101821 -26.4198779, 152.9101925 -26.4199123, 152.9102054 -26.4199427, 152.9102168 -26.4199626, 152.9102332 -26.4199842, 152.9102574 -26.4200076, 152.910323 -26.4200471, 152.9103548 -26.4200611, 152.9103979 -26.4200745)","['2', '3']",,,
33066504,True,Maple Street,tertiary,40,,False,14.553,"LINESTRING (152.9098904 -26.419028, 152.909821 -26.4190163, 152.9097705 -26.418966)",1,,,roundabout
29098501,True,Maple Street,tertiary,,yes,False,53.650999999999996,"LINESTRING (152.907138 -26.4226065, 152.9072032 -26.4224838, 152.9072277 -26.422416, 152.9072341 -26.422392, 152.9072496 -26.4223648, 152.9072726 -26.4223367, 152.9073019 -26.4223114, 152.9073884 -26.4222613, 152.9074453 -26.4222367)",1,,,
179103668,False,Lower Mill Road,unclassified,,yes,False,114.31899999999999,"LINESTRING (152.9086413 -26.414885, 152.9087009 -26.4146508, 152.9087579 -26.4145325, 152.9089854 -26.4142898, 152.9090742 -26.4140419, 152.9091021 -26.413964)",,,,
"[1016445944, 1096968474, 183669360]",False,Maple Street,tertiary,40,,True,192.63500000000002,"LINESTRING (152.9086413 -26.414885, 152.9087401 -26.4148869, 152.9088085 -26.4148914, 152.9088675 -26.4148983, 152.9089373 -26.4149097, 152.909008 -26.414925, 152.9090546 -26.4149341, 152.909181 -26.4149695, 152.909299 -26.4150082, 152.9094077 -26.4150473, 152.9095042 -26.4150866, 152.909576 -26.415125, 152.909645 -26.4151713, 152.9097168 -26.415231, 152.9097547 -26.415268, 152.9098589 -26.4153758, 152.9099079 -26.4154292, 152.9099612 -26.4154911, 152.9099991 -26.4155406, 152.9100346 -26.4155908, 152.9100822 -26.4156703, 152.9101268 -26.4157607, 152.9101428 -26.4157963)",,,yes,
33066504,True,Maple Street,tertiary,40,,False,20.324,"LINESTRING (152.9098436 -26.4186198, 152.9098647 -26.4185855, 152.9098902 -26.4185672, 152.9099228 -26.4185598, 152.9099561 -26.418563, 152.910012 -26.4185839)",1,,,roundabout
991602916,False,Garnet Street,tertiary,40,,True,192.089,"LINESTRING (152.9098436 -26.4186198, 152.9097635 -26.418594, 152.9096802 -26.4185655, 152.9095989 -26.4185445, 152.909403 -26.4185182, 152.9092925 -26.4185021, 152.9092657 -26.4184988, 152.9080697 -26.4183256, 152.9079498 -26.4183086)",,,,
33066504,True,Maple Street,tertiary,40,,False,3.237,"LINESTRING (152.910012 -26.4185839, 152.9100292 -26.4186086)",1,,,roundabout
179103644,False,Maple Street,tertiary,40,,False,68.252,"LINESTRING (152.910012 -26.4185839, 152.9100921 -26.4183876, 152.9102365 -26.418004)",2,,,
179103644,False,Maple Street,tertiary,40,,False,34.418,"LINESTRING (152.9102365 -26.418004, 152.910257 -26.4179494, 152.9103489 -26.4177113)",2,,,
179103644,False,Maple Street,tertiary,40,,True,68.252,"LINESTRING (152.9102365 -26.418004, 152.9100921 -26.4183876, 152.910012 -26.4185839)",2,,,
179755336,False,Wimmers Lane,residential,50,,False,224.75900000000001,"LINESTRING (152.9102365 -26.418004, 152.9101101 -26.4179834, 152.9081248 -26.4176947, 152.9080092 -26.4176773)",,,,
