osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,junction,bridge
581397636,True,1,Pamela Street,residential,False,15.35,"LINESTRING (139.4959895 -20.7299647, 139.4958822 -20.7298699)",,,,
"[581397385, 26288538]",True,1,Deighton Street,residential,False,69.002,"LINESTRING (139.4959895 -20.7299647, 139.4959783 -20.7301225, 139.495949 -20.7303118, 139.4958744 -20.7305738)",,,,
27186765,True,2,Deighton Street,residential,False,19.207,"LINESTRING (139.4959004 -20.7296392, 139.49597 -20.7297992)",,,,
27186763,False,,Isa Street,residential,False,75.246,"LINESTRING (139.497095 -20.7292916, 139.4978105 -20.729191)",,,,
27186763,False,,Isa Street,residential,True,67.205,"LINESTRING (139.497095 -20.7292916, 139.4964584 -20.7293955)",,,,
769264052,False,,Corbould Street,residential,False,156.155,"LINESTRING (139.497095 -20.7292916, 139.4973471 -20.7279072)",,,,
26288613,True,1,Stanley Street,residential,False,116.906,"LINESTRING (139.4978105 -20.729191, 139.4976166 -20.7302266)",,,,
27186763,False,,Isa Street,residential,True,75.246,"LINESTRING (139.4978105 -20.729191, 139.497095 -20.7292916)",,,,
26288541,False,2,Corbould Street,residential,False,19.754,"LINESTRING (139.4977083 -20.7259259, 139.497741 -20.7257509)",,,,
"[769264052, 26288541]",False,2,Corbould Street,residential,True,141.089,"LINESTRING (139.4977083 -20.7259259, 139.4976586 -20.7261986, 139.4974803 -20.7271767)",,,,
655933152,True,2,Marian Street,trunk,False,53.458,"LINESTRING (139.4977083 -20.7259259, 139.4973609 -20.7258701, 139.4972017 -20.7258445)",83;A2,60,,
27447258,True,1,Simpson Street,residential,False,211.65099999999998,"LINESTRING (139.4943817 -20.7267754, 139.494372 -20.72685, 139.4943539 -20.726937, 139.4942379 -20.727633, 139.4940959 -20.7284129, 139.4940789 -20.7285399, 139.4940848 -20.7286559)",,50,,
27446682,False,,Isa Street,unclassified,True,54.872,"LINESTRING (139.4927522 -20.7288627, 139.4927634 -20.7287778, 139.4927967 -20.7286976, 139.4928325 -20.7286395, 139.4928938 -20.7285988, 139.4929823 -20.7285811, 139.4930887 -20.7285725)",,60,,
27447166,True,2,Camooweal Street,residential,False,159.921,"LINESTRING (139.4927522 -20.7288627, 139.4927608 -20.7290394, 139.4927622 -20.7291286, 139.4927695 -20.7295849, 139.4927725 -20.7298275, 139.492761 -20.729959, 139.4927292 -20.7302397, 139.4927208 -20.7302981)",,,,
27186760,True,1,,residential,False,4.537,"LINESTRING (139.4940848 -20.7286559, 139.4941097 -20.7286894)",,,roundabout,
27186760,True,1,,residential,False,8.088999999999999,"LINESTRING (139.4941097 -20.7286894, 139.494108 -20.7287316, 139.4941015 -20.7287615)",,,roundabout,
"[27446938, 27446941]",True,2,Isa Street,residential,False,117.02199999999999,"LINESTRING (139.4941097 -20.7286894, 139.494159 -20.7286969, 139.4947707 -20.7289288, 139.4951427 -20.7291014)",,,,
27447168,True,1,,tertiary,False,1.12,"LINESTRING (139.4929315 -20.7264782, 139.4929251 -20.7264701)",,,roundabout,
27447035,True,1,,tertiary,False,1.201,"LINESTRING (139.4916076 -20.7260843, 139.4916164 -20.7260773)",,,roundabout,
27447168,True,1,,tertiary,False,23.305,"LINESTRING (139.4929523 -20.726302, 139.492976 -20.726288, 139.4930023 -20.726279, 139.4930301 -20.7262753, 139.493058 -20.7262771, 139.4930849 -20.7262844, 139.4931096 -20.7262968, 139.493131 -20.7263137, 139.4931481 -20.7263344)",,,roundabout,
"[27055585, 27055588, 27055589]",False,,Isa Street,secondary,"[False, True]",138.993,"LINESTRING (139.4885797 -20.7274306, 139.488823 -20.7274484, 139.4890732 -20.7274682, 139.4895055 -20.727495, 139.4895957 -20.7275042, 139.4896616 -20.727511, 139.4897903 -20.7275274, 139.4899094 -20.7275484)",,60,,yes
27055589,False,,Isa Street,secondary,False,25.361,"LINESTRING (139.4899094 -20.7275484, 139.4900094 -20.7275708, 139.4901425 -20.7276144)",,,,
"[27055585, 27055588, 27055589]",False,,Isa Street,secondary,"[False, True]",138.993,"LINESTRING (139.4899094 -20.7275484, 139.4897903 -20.7275274, 139.4896616 -20.727511, 139.4895957 -20.7275042, 139.4895055 -20.727495, 139.4890732 -20.7274682, 139.488823 -20.7274484, 139.4885797 -20.7274306)",,60,,yes
"[97202928, 27153142]",True,1,West Street,residential,False,184.07399999999998,"LINESTRING (139.4899094 -20.7275484, 139.4900262 -20.7274973, 139.4900765 -20.7274564, 139.4901235 -20.7273987, 139.4901327 -20.7273489, 139.4902197 -20.726879, 139.4902788 -20.7265512, 139.4903345 -20.7262878, 139.490371 -20.7260604, 139.4903774 -20.7260192)",,50,,
27055589,False,,Isa Street,secondary,False,81.008,"LINESTRING (139.4906026 -20.727866, 139.4908409 -20.7280025, 139.4908729 -20.7280188, 139.4909577 -20.7280618, 139.4910329 -20.7280985, 139.4911794 -20.7281546, 139.4912959 -20.7281929)",,,,
27055589,False,,Isa Street,secondary,True,55.456,"LINESTRING (139.4906026 -20.727866, 139.4903402 -20.7277178, 139.490222 -20.7276511, 139.4901425 -20.7276144)",,,,
27055592,True,,Isa Street,unclassified,False,71.781,"LINESTRING (139.4906026 -20.727866, 139.4907851 -20.7279243, 139.4909033 -20.7279493, 139.4910822 -20.7279782, 139.4911706 -20.7279913, 139.4912756 -20.7279864)",,,,
27446681,True,2,Isa Street,secondary,False,120.478,"LINESTRING (139.4914585 -20.728191, 139.4915978 -20.7282273, 139.4917696 -20.7282716, 139.4920939 -20.7283368, 139.4923591 -20.7283768, 139.4925905 -20.7284168)",,,,
27446681,True,2,Isa Street,secondary,False,16.911,"LINESTRING (139.4912959 -20.7281929, 139.4914585 -20.728191)",,,,
27055589,False,,Isa Street,secondary,True,81.00800000000001,"LINESTRING (139.4912959 -20.7281929, 139.4911794 -20.7281546, 139.4910329 -20.7280985, 139.4909577 -20.7280618, 139.4908729 -20.7280188, 139.4908409 -20.7280025, 139.4906026 -20.727866)",,,,
27055593,True,,Miles Street,residential,False,23.730999999999998,"LINESTRING (139.4912959 -20.7281929, 139.4912675 -20.7281244, 139.4912603 -20.7280473, 139.4912756 -20.7279864)",,,,
