osmid,name,highway,junction,oneway,reversed,length,geometry,maxspeed,lanes,bridge,ref
4814111,Mann Street,primary,roundabout,True,False,14.64,"LINESTRING (151.3426625 -33.4229152, 151.3426924 -33.4229237, 151.3427175 -33.4229396, 151.3427354 -33.4229613, 151.3427442 -33.4229866, 151.342743 -33.4230129)",,,,
"[177045565, 80718103]",Mann Street,primary,,False,True,213.915,"LINESTRING (151.3426625 -33.4229152, 151.3426818 -33.4228278, 151.3427575 -33.4224962, 151.3428097 -33.4222301, 151.342976 -33.4214217, 151.3430593 -33.4210202)","['60', '40']",,,
4814111,Mann Street,primary,roundabout,True,False,29.480000000000004,"LINESTRING (151.3426381 -33.423078, 151.3426089 -33.4230714, 151.3425801 -33.4230573, 151.3425583 -33.4230356, 151.3425481 -33.4230108, 151.3425477 -33.4229846, 151.3425572 -33.4229595, 151.3425757 -33.4229383, 151.3426011 -33.4229229, 151.3426311 -33.4229149, 151.3426625 -33.4229152)",,,,
28276286,Mann Street,primary,,False,True,212.473,"LINESTRING (151.3426381 -33.423078, 151.3426238 -33.4231549, 151.3425363 -33.42359, 151.3424478 -33.4240549, 151.3423765 -33.4243801, 151.3422778 -33.4248393, 151.342253 -33.4249615)",40,,,
4814110,,tertiary,roundabout,True,False,14.184999999999999,"LINESTRING (151.3414541 -33.4288441, 151.3414786 -33.4288499, 151.3415004 -33.4288609, 151.3415182 -33.4288761, 151.3415307 -33.4288946, 151.341537 -33.4289152, 151.3415368 -33.4289365)",,,,
"[177045564, 28276046]",Mann Street,tertiary,,False,True,214.83800000000002,"LINESTRING (151.3414541 -33.4288441, 151.3414972 -33.4286373, 151.3418286 -33.4270422, 151.3418332 -33.4270204, 151.341848 -33.4269402)",40,,,
4814110,,tertiary,roundabout,True,False,14.671,"LINESTRING (151.3414277 -33.4290067, 151.3413973 -33.4289994, 151.3413713 -33.4289844, 151.3413523 -33.4289633, 151.3413423 -33.4289383, 151.3413424 -33.4289119)",,,,
4814110,,tertiary,roundabout,True,False,14.113,"LINESTRING (151.3415368 -33.4289365, 151.3415281 -33.4289608, 151.3415108 -33.4289817, 151.3414867 -33.4289972, 151.3414581 -33.4290058, 151.3414277 -33.4290067)",,,,
28413778,Georgiana Terrace,residential,,False,True,87.577,"LINESTRING (151.3415368 -33.4289365, 151.3415784 -33.4289427, 151.3421038 -33.429018, 151.3423524 -33.4290531, 151.342467 -33.4290693)",40,,,
4814110,,tertiary,roundabout,True,False,14.157,"LINESTRING (151.3413424 -33.4289119, 151.341352 -33.4288877, 151.3413699 -33.4288671, 151.3413946 -33.4288522, 151.3414236 -33.4288442, 151.3414541 -33.4288441)",,,,
177045559,Georgiana Terrace,residential,,False,True,100.451,"LINESTRING (151.3413424 -33.4289119, 151.3404549 -33.4287726, 151.3402787 -33.4287445)",50,,,
4814111,Mann Street,primary,roundabout,True,False,13.303999999999998,"LINESTRING (151.342743 -33.4230129, 151.3427329 -33.4230361, 151.3427151 -33.4230559, 151.3426911 -33.4230703, 151.342663 -33.4230782, 151.3426381 -33.423078)",,,,
24748003,Faunce Street,residential,,False,False,102.26100000000001,"LINESTRING (151.342743 -33.4230129, 151.3428075 -33.4230214, 151.343249 -33.4230792, 151.3437784 -33.4231531, 151.3438306 -33.4231604)",50,,,
28413796,Margin Street,residential,,False,False,232.683,"LINESTRING (151.344001 -33.4277048, 151.3440509 -33.427801, 151.3440737 -33.4278552, 151.3439399 -33.4285153, 151.3438996 -33.4286788, 151.3451831 -33.4289006)",50,,,
148021909,Henry Parry Drive,secondary,,False,False,52.387,"LINESTRING (151.344001 -33.4277048, 151.3440717 -33.4276511, 151.344122 -33.4275928, 151.3441577 -33.4275322, 151.344187 -33.4274598, 151.3442044 -33.4274016, 151.3442118 -33.4273692, 151.3442236 -33.4272872)",50,4,,
"[953859651, 148021909]",Henry Parry Drive,secondary,,False,True,242.66400000000002,"LINESTRING (151.344001 -33.4277048, 151.3439359 -33.4277372, 151.3438602 -33.4277608, 151.3437837 -33.4277757, 151.3437014 -33.4277857, 151.3432437 -33.4278174, 151.3431455 -33.4278335, 151.3430545 -33.4278581, 151.3429692 -33.4278934, 151.3428917 -33.4279381, 151.3428297 -33.4279945, 151.3427762 -33.4280684, 151.3427305 -33.4281463, 151.3426952 -33.4282373, 151.3426693 -33.428323, 151.342644 -33.428444, 151.3426191 -33.4285748, 151.342598 -33.4287037, 151.3425846 -33.4288234, 151.3425721 -33.4289678, 151.3425735 -33.4290957)",50,"['2', '4']",,
140621137,Erina Street East,tertiary,,False,True,108.18199999999999,"LINESTRING (151.3446037 -33.4253144, 151.344501 -33.4253004, 151.3444673 -33.4252953, 151.3434563 -33.4251427)",40,2,,
