osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,bridge,geometry,junction
775049343,Myall Street,unclassified,50,False,False,11.304,,,,"LINESTRING (151.2661859 -27.1865911, 151.2662755 -27.186528)",
"[167976424, 37698922, 775049340]",Warrego Highway,trunk,60,True,False,204.62400000000002,2,A2;82,yes,"LINESTRING (151.2661859 -27.1865911, 151.2658 -27.1861709, 151.2656935 -27.1860494, 151.2650805 -27.1854062, 151.264858 -27.1851803)",
555951563,Nicholson Street,primary,60,False,False,10.702,2,49,,"LINESTRING (151.2587697 -27.1789182, 151.2588513 -27.178855)",
167976425,Warrego Highway,trunk,60,True,False,231.733,2,A2;49;82,,"LINESTRING (151.2618231 -27.182053, 151.2602978 -27.1804712)",
172941819,Condamine Street,tertiary,50,False,True,56.611,,,,"LINESTRING (151.2618231 -27.182053, 151.2613851 -27.1823807)",
555951705,Condamine Street,primary,,True,False,12.508,,49,,"LINESTRING (151.2618231 -27.182053, 151.2618552 -27.1819442)",
4015993,New Street,unclassified,50,False,True,11.236,,,,"LINESTRING (151.2656377 -27.1790502, 151.2657142 -27.1791249)",
143215891,Condamine Street,primary,60,True,False,135.60399999999998,,49,,"LINESTRING (151.2656377 -27.1790502, 151.2661699 -27.1786587, 151.2666942 -27.1782731)",
39931219,Patrick Street,tertiary,50,False,False,225.475,,,,"LINESTRING (151.2646136 -27.1798337, 151.2631281 -27.1782957)",
39931219,Patrick Street,tertiary,50,False,True,9.653,,,,"LINESTRING (151.2646136 -27.1798337, 151.2646696 -27.1799048)",
143215891,Condamine Street,primary,60,True,False,133.611,,49,,"LINESTRING (151.2646136 -27.1798337, 151.2656377 -27.1790502)",
4015988,Cunningham Street,primary,50,False,False,68.444,,,,"LINESTRING (151.2661551 -27.181468, 151.2666789 -27.1810658)",
39931219,Patrick Street,tertiary,50,False,False,51.592,,,,"LINESTRING (151.2661551 -27.181468, 151.2658198 -27.1811126)",
39931219,Patrick Street,tertiary,50,False,True,72.82,,,,"LINESTRING (151.2661551 -27.181468, 151.2666234 -27.1819733)",
4015988,Cunningham Street,primary,50,False,True,130.329,,,,"LINESTRING (151.2661551 -27.181468, 151.2652586 -27.1821655, 151.2651644 -27.1822407)",
4017417,,unclassified,,False,False,9.14,,,,"LINESTRING (151.2627335 -27.1812721, 151.2627983 -27.1813307)",
143215891,Condamine Street,primary,60,True,False,112.18,,49,,"LINESTRING (151.2627335 -27.1812721, 151.2628023 -27.1812207, 151.2629959 -27.1810762, 151.2635994 -27.1806206)",
4015988,Cunningham Street,primary,50,False,False,101.107,,,,"LINESTRING (151.264391 -27.1828351, 151.2646339 -27.1826459, 151.2650504 -27.182333, 151.2651644 -27.1822407)",
4016149,Stuart Street,unclassified,40,False,False,55.346,,,,"LINESTRING (151.264391 -27.1828351, 151.2645016 -27.1829553, 151.2647455 -27.1832202)",
