osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,junction,width
28847840,True,2,Lagoon Street,primary,50,False,3.989,"LINESTRING (149.7236224 -34.7486996, 149.7236627 -34.7486858)",,
697298095,True,,Auburn Street,residential,,False,28.346,"LINESTRING (149.7236224 -34.7486996, 149.7236139 -34.74867, 149.7236075 -34.7486382, 149.7236043 -34.7486056, 149.7236022 -34.748571, 149.7236035 -34.7485373, 149.7236079 -34.7485013, 149.7236473 -34.7484568)",,
644598889,False,,Goldsmith Street,primary,,False,5.025,"LINESTRING (149.72121 -34.7512672, 149.7212541 -34.7512942)",,
644598888,True,,Auburn Street,primary,50,False,219.632,"LINESTRING (149.72121 -34.7512672, 149.7212617 -34.7512056, 149.7222945 -34.7499844, 149.7224754 -34.7497576, 149.7225041 -34.7497039, 149.722545 -34.7496275)",,
440912793,True,,Sloane Street,tertiary,50,False,106.47,"LINESTRING (149.7204315 -34.7558198, 149.7208289 -34.7553405, 149.7210571 -34.7550605, 149.7210835 -34.7550262)",,
644598884,False,,Montague Street,residential,,True,226.505,"LINESTRING (149.7204315 -34.7558198, 149.720353 -34.7557733, 149.7201348 -34.7556442, 149.7194481 -34.7552379, 149.7190011 -34.7549734, 149.7185569 -34.7547199, 149.7185276 -34.7547032, 149.7184126 -34.7546375)",,
644598886,False,,Montague Street,residential,,False,5.283,"LINESTRING (149.7183667 -34.7546086, 149.7184126 -34.7546375)",,
149957966,False,,Montague Street,residential,,True,70.758,"LINESTRING (149.7183667 -34.7546086, 149.7182771 -34.7545557, 149.7182514 -34.7545405, 149.7177377 -34.7542373)",,
"[619682514, 644598887]",True,,Auburn Street,primary,50,False,232.456,"LINESTRING (149.7183667 -34.7546086, 149.7184542 -34.754502, 149.7188892 -34.7539721, 149.7197374 -34.7529989, 149.7197577 -34.7529756, 149.7198265 -34.7528966)",,
572484981,False,,Verner Street,residential,,False,4.142,"LINESTRING (149.7169241 -34.756358, 149.7169606 -34.7563801)",,
580842946,True,,Auburn Street,primary,50,False,234.96500000000003,"LINESTRING (149.7169241 -34.756358, 149.7182613 -34.7547364, 149.7182788 -34.7547152, 149.7183667 -34.7546086)",,
617407694,False,1,Verner Street,residential,50,False,103.904,"LINESTRING (149.7169241 -34.756358, 149.7168244 -34.7562999, 149.7168177 -34.756296, 149.7165242 -34.7561247, 149.7159971 -34.7558166)",,
149715613,False,1,Verner Street,residential,50,True,35.677,"LINESTRING (149.7146583 -34.755041, 149.7143422 -34.7548526)",,
617751431,True,1,Verner Street,residential,50,False,15.182,"LINESTRING (149.7146583 -34.755041, 149.7146933 -34.7550474, 149.7148184 -34.7550774)",,
