osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,junction
572126220,True,4,Hindmarsh Drive,primary,60,False,14.916,"LINESTRING (149.0897809 -35.3488583, 149.0899453 -35.3488621)",,
489188425,True,3,Callam Street,secondary,60,False,31.45,"LINESTRING (149.0897809 -35.3488583, 149.0897404 -35.3487685, 149.0896584 -35.3485937)",,
667149142,True,4,Hindmarsh Drive,primary,80,False,7.896,"LINESTRING (149.0940986 -35.3490079, 149.0941852 -35.3490152)",,
307702405,True,2,Ainsworth Street,tertiary,50,False,30.485,"LINESTRING (149.0940986 -35.3490079, 149.0941507 -35.3489161, 149.0942398 -35.3487591)",,
8311254,True,1,,primary_link,60,False,76.08600000000001,"LINESTRING (149.0889689 -35.3488415, 149.0894628 -35.3487834, 149.0895904 -35.3487524, 149.0896254 -35.3486908, 149.0896584 -35.3485937)",,
489475166,True,4,Hindmarsh Drive,primary,60,False,73.67,"LINESTRING (149.0889689 -35.3488415, 149.0896496 -35.3488567, 149.0897809 -35.3488583)",,
489475167,True,3,Callam Street,secondary,60,False,92.71799999999999,"LINESTRING (149.0896584 -35.3485937, 149.0894469 -35.3481332, 149.0892662 -35.3478245)",,
"[732731680, 172599300, 307702438, 184970440, 667159538]",True,"['3', '5']",Hindmarsh Drive,primary,"['60', '80']",False,297.808,"LINESTRING (149.0937168 -35.3491447, 149.0930566 -35.349125, 149.0911082 -35.3490785, 149.0908335 -35.3490665, 149.0905112 -35.3490612, 149.090435 -35.3490586)",yes,
546709094,True,2,Ainsworth Street,tertiary,60,False,20.182,"LINESTRING (149.0940051 -35.3491726, 149.0940986 -35.3490079)",,
307702438,True,3,Hindmarsh Drive,primary,80,False,26.331000000000003,"LINESTRING (149.0940051 -35.3491726, 149.0939269 -35.3491651, 149.0937168 -35.3491447)",,
147014958,True,4,Athllon Drive,primary,60,False,21.95,"LINESTRING (149.0898588 -35.3490452, 149.0897809 -35.3488583)",,
546709100,True,3,Hindmarsh Drive,primary,60,False,21.04,"LINESTRING (149.0898588 -35.3490452, 149.089739 -35.3490423, 149.0896269 -35.3490399)",,
