osmid,ref,highway,junction,oneway,reversed,length,geometry,lanes,name,maxspeed
66236173,C724,secondary,roundabout,True,False,17.948,"LINESTRING (145.3411268 -37.5328675, 145.341087 -37.5328609, 145.3410511 -37.5328456, 145.341022 -37.5328231, 145.341002 -37.5327949, 145.3409927 -37.5327635)",,,
138294707,C746,secondary,,True,False,28.713,"LINESTRING (145.3411268 -37.5328675, 145.3410583 -37.5329031, 145.3410283 -37.5329201, 145.3409551 -37.5329616, 145.3409135 -37.5329946, 145.340878 -37.533031)",1,Heidelberg – Kinglake Road,60
719053597,C724,secondary,roundabout,True,False,2.781,"LINESTRING (145.341134 -37.5326391, 145.3411654 -37.5326414)",,,
719053599,C724,secondary,roundabout,True,False,2.424,"LINESTRING (145.3409927 -37.5327635, 145.3409929 -37.5327417)",,,
"[28204456, 1078067688]",,tertiary,,False,"[False, True]",291.38699999999994,"LINESTRING (145.3407336 -37.5306376, 145.3409341 -37.5304983, 145.3410591 -37.5304263, 145.3411747 -37.530368, 145.3412888 -37.5303277, 145.3413812 -37.5303063, 145.341484 -37.5302915, 145.3417751 -37.5302751, 145.3422726 -37.5302054, 145.3424711 -37.5300927, 145.3435927 -37.5294557)",,Kinglake - Glenburn Road,"['60', '50']"
93187129,,residential,,False,True,219.622,"LINESTRING (145.3407336 -37.5306376, 145.3406613 -37.5305658, 145.3406295 -37.5305341, 145.3406198 -37.5305245, 145.3405681 -37.5299759, 145.3408654 -37.5298033, 145.3411619 -37.5296916, 145.3414563 -37.5296341, 145.3416504 -37.5296088, 145.3419789 -37.5294041)",,Aitkin Crescent,
138294524,,tertiary,,True,False,28.323999999999998,"LINESTRING (145.3407336 -37.5306376, 145.3407245 -37.5306863, 145.3406762 -37.5307432, 145.3405525 -37.5308387)",1,Glenburn Road,50
134199241,,residential,,False,False,117.349,"LINESTRING (145.3435927 -37.5294557, 145.3436555 -37.5295003, 145.3445907 -37.5301538)",,Elm Grove,40
"[1078067688, 28204456]",,tertiary,,False,"[False, True]",291.38700000000006,"LINESTRING (145.3435927 -37.5294557, 145.3424711 -37.5300927, 145.3422726 -37.5302054, 145.3417751 -37.5302751, 145.341484 -37.5302915, 145.3413812 -37.5303063, 145.3412888 -37.5303277, 145.3411747 -37.530368, 145.3410591 -37.5304263, 145.3409341 -37.5304983, 145.3407336 -37.5306376)",,Kinglake - Glenburn Road,"['60', '50']"
134199241,,residential,,False,True,117.349,"LINESTRING (145.3445907 -37.5301538, 145.3436555 -37.5295003, 145.3435927 -37.5294557)",,Elm Grove,40
138294522,,residential,,False,False,263.517,"LINESTRING (145.3445907 -37.5301538, 145.3455006 -37.5302803, 145.3457939 -37.5302532, 145.3459664 -37.5303105, 145.3460878 -37.5303779, 145.3464323 -37.5305691, 145.3465085 -37.530639, 145.3465474 -37.5308527, 145.3464673 -37.5313441)",,Robertson Road,40
138294522,,residential,,False,True,384.07300000000004,"LINESTRING (145.3445907 -37.5301538, 145.3439093 -37.5306595, 145.343367 -37.5310707, 145.3429989 -37.5312422, 145.3418598 -37.5313049, 145.3409128 -37.5313796, 145.3408653 -37.5313825, 145.3407617 -37.5313889)",,Robertson Road,40
223633881,,residential,,False,True,75.562,"LINESTRING (145.3456129 -37.5312922, 145.3464673 -37.5313441)",,Victoria Road,40
134199252,,residential,,False,False,224.51999999999998,"LINESTRING (145.3456129 -37.5312922, 145.3454156 -37.5323881, 145.3452677 -37.5331883, 145.3452449 -37.5332901)",,Reserve Road,40
"[223633881, 138294714]",,residential,,False,False,416.154,"LINESTRING (145.3456129 -37.5312922, 145.3453256 -37.531291, 145.3451396 -37.5313255, 145.3444163 -37.5318162, 145.3437337 -37.5322437, 145.343487 -37.5323251, 145.3425803 -37.5323901, 145.3418231 -37.5324413, 145.3416368 -37.5324548, 145.3415851 -37.5324586, 145.3415065 -37.532475, 145.3414395 -37.5325038, 145.3413695 -37.5325426)",,Victoria Road,"['40', '50']"
223633881,,residential,,False,False,75.562,"LINESTRING (145.3464673 -37.5313441, 145.3456129 -37.5312922)",,Victoria Road,40
138294522,,residential,,False,True,263.517,"LINESTRING (145.3464673 -37.5313441, 145.3465474 -37.5308527, 145.3465085 -37.530639, 145.3464323 -37.5305691, 145.3460878 -37.5303779, 145.3459664 -37.5303105, 145.3457939 -37.5302532, 145.3455006 -37.5302803, 145.3445907 -37.5301538)",,Robertson Road,40
719053595,C724,secondary,roundabout,True,False,2.554,"LINESTRING (145.341277 -37.5327282, 145.3412805 -37.532751)",,,
134199252,,residential,,False,True,224.51999999999998,"LINESTRING (145.3452449 -37.5332901, 145.3452677 -37.5331883, 145.3454156 -37.5323881, 145.3456129 -37.5312922)",,Reserve Road,40
"[256664153, 256664154, 780526140]",C724,secondary,,False,False,327.002,"LINESTRING (145.3452449 -37.5332901, 145.3440637 -37.5331634, 145.3426252 -37.5330195, 145.3421425 -37.5329568, 145.3415667 -37.5329223)",2,Healesville - Kinglake Road,"['60', '80']"
138294715,C724,secondary,,True,False,35.565999999999995,"LINESTRING (145.3415667 -37.5329223, 145.3414553 -37.5329127, 145.3413588 -37.5328983, 145.3413011 -37.5328818, 145.341226 -37.5328723, 145.3411712 -37.5328644)",1,Whittlesea - Kinglake Road,60
"[256664153, 256664154, 780526140]",C724,secondary,,False,True,327.002,"LINESTRING (145.3415667 -37.5329223, 145.3421425 -37.5329568, 145.3426252 -37.5330195, 145.3440637 -37.5331634, 145.3452449 -37.5332901)",2,Healesville - Kinglake Road,"['60', '80']"
138294710,C746,secondary,,True,False,31.455,"LINESTRING (145.340878 -37.533031, 145.3408974 -37.5329701, 145.3409283 -37.5329014, 145.3409632 -37.5328334, 145.3409927 -37.5327635)",1,Heidelberg – Kinglake Road,60
"[780526141, 780526139, 373353437]",C746,secondary,,False,True,477.847,"LINESTRING (145.340878 -37.533031, 145.340829 -37.533222, 145.3408089 -37.5333812, 145.3408077 -37.5335326, 145.3408009 -37.5336975, 145.3407743 -37.5338655, 145.3407402 -37.534026, 145.3406264 -37.5343946, 145.340343 -37.535182, 145.3402953 -37.5353753, 145.340227 -37.535652, 145.340182 -37.535933, 145.340178 -37.536256, 145.340136 -37.536485, 145.340137 -37.536656, 145.340109 -37.536804, 145.340045 -37.53695, 145.339953 -37.537088, 145.3398519 -37.5372121)",,Heidelberg – Kinglake Road,60
134199253,,secondary_link,,False,True,6.19,"LINESTRING (145.3407617 -37.5313889, 145.3406916 -37.5313918)",,,
780526138,C724,secondary,,True,False,32.497,"LINESTRING (145.3407617 -37.5313889, 145.3407929 -37.5316801)",1,Whittlesea - Kinglake Road,50
138294522,,residential,,False,False,384.073,"LINESTRING (145.3407617 -37.5313889, 145.3408653 -37.5313825, 145.3409128 -37.5313796, 145.3418598 -37.5313049, 145.3429989 -37.5312422, 145.343367 -37.5310707, 145.3439093 -37.5306595, 145.3445907 -37.5301538)",,Robertson Road,40
138294535,,secondary_link,,False,True,6.205,"LINESTRING (145.3407406 -37.5312379, 145.3406735 -37.5312547)",,,
782351549,C724,secondary,,True,False,16.893,"LINESTRING (145.3407406 -37.5312379, 145.3407617 -37.5313889)",1,Whittlesea - Kinglake Road,50
138294532,C724,secondary,,False,True,154.731,"LINESTRING (145.3401464 -37.5305911, 145.3395056 -37.5301806, 145.338975 -37.529837, 145.3387796 -37.5297186)",,Whittlesea - Kinglake Road,50
782351550,C724,secondary,,True,False,38.297,"LINESTRING (145.3401464 -37.5305911, 145.3404047 -37.5307317, 145.3405014 -37.5307894)",1,Whittlesea - Kinglake Road,50
138294528,,secondary_link,,False,True,6.075,"LINESTRING (145.3408442 -37.5321271, 145.3407755 -37.5321312)",,,
138294537,C724,secondary,,True,False,66.089,"LINESTRING (145.3408442 -37.5321271, 145.3408612 -37.532298, 145.340884 -37.5323926, 145.3409404 -37.5325075, 145.341002 -37.5325628, 145.341134 -37.5326391)",1,Whittlesea - Kinglake Road,60
138294528,,secondary_link,,False,False,6.075,"LINESTRING (145.3407755 -37.5321312, 145.3408442 -37.5321271)",,,
1175243958,C724,secondary,,True,False,49.748999999999995,"LINESTRING (145.3407755 -37.5321312, 145.340753 -37.5319325, 145.3407452 -37.5318675, 145.3407235 -37.5316857)",1,Whittlesea - Kinglake Road,50
138294533,,secondary_link,,True,False,6.995,"LINESTRING (145.3404825 -37.5308505, 145.3405014 -37.5307894)",1,,
138294546,C724,secondary,,True,False,41.423,"LINESTRING (145.3404825 -37.5308505, 145.3404576 -37.530824, 145.340375 -37.5307561, 145.3401464 -37.5305911)",1,Whittlesea - Kinglake Road,50
138294712,,residential,,True,False,22.241999999999997,"LINESTRING (145.3413695 -37.5325426, 145.3413453 -37.5325957, 145.3413199 -37.5326596, 145.341277 -37.5327282)",1,Victoria Road,50
"[223633881, 138294714]",,residential,,False,True,416.154,"LINESTRING (145.3413695 -37.5325426, 145.3414395 -37.5325038, 145.3415065 -37.532475, 145.3415851 -37.5324586, 145.3416368 -37.5324548, 145.3418231 -37.5324413, 145.3425803 -37.5323901, 145.343487 -37.5323251, 145.3437337 -37.5322437, 145.3444163 -37.5318162, 145.3451396 -37.5313255, 145.3453256 -37.531291, 145.3456129 -37.5312922)",,Victoria Road,"['40', '50']"
138294529,,secondary_link,,False,False,6.151,"LINESTRING (145.3407929 -37.5316801, 145.3407235 -37.5316857)",,,
780526138,C724,secondary,,True,False,49.910000000000004,"LINESTRING (145.3407929 -37.5316801, 145.3408055 -37.5317898, 145.3408138 -37.5318621, 145.3408442 -37.5321271)",1,Whittlesea - Kinglake Road,50
138294535,,secondary_link,,False,False,6.205,"LINESTRING (145.3406735 -37.5312547, 145.3407406 -37.5312379)",,,
138294546,C724,secondary,,True,False,48.593999999999994,"LINESTRING (145.3406735 -37.5312547, 145.3406574 -37.5311643, 145.3406319 -37.5310877, 145.3406011 -37.5310197, 145.3405555 -37.5309388, 145.3405005 -37.5308697, 145.3404825 -37.5308505)",1,Whittlesea - Kinglake Road,50
138294529,,secondary_link,,False,True,6.151,"LINESTRING (145.3407235 -37.5316857, 145.3407929 -37.5316801)",,,
"[138294546, 1175243958]",C724,secondary,,True,False,32.801,"LINESTRING (145.3407235 -37.5316857, 145.340708 -37.5315434, 145.3406916 -37.5313918)",1,Whittlesea - Kinglake Road,50
782351550,C724,secondary,,True,False,7.096,"LINESTRING (145.3405014 -37.5307894, 145.3405525 -37.5308387)",1,Whittlesea - Kinglake Road,50
138294523,,tertiary,,True,False,26.759,"LINESTRING (145.3405014 -37.5307894, 145.3406122 -37.5307009, 145.3406239 -37.5306916, 145.3406681 -37.5306645, 145.3407336 -37.5306376)",1,Glenburn Road,50
138294543,,secondary_link,,True,False,6.311,"LINESTRING (145.3405525 -37.5308387, 145.3404825 -37.5308505)",1,,
138294527,C724,secondary,,True,False,48.061,"LINESTRING (145.3405525 -37.5308387, 145.3406024 -37.530891, 145.3406654 -37.5309941, 145.3407097 -37.5310931, 145.3407352 -37.5311941, 145.3407406 -37.5312379)",1,Whittlesea - Kinglake Road,50
134199253,,secondary_link,,False,False,6.19,"LINESTRING (145.3406916 -37.5313918, 145.3407617 -37.5313889)",,,
138294546,C724,secondary,,True,False,15.328,"LINESTRING (145.3406916 -37.5313918, 145.3406735 -37.5312547)",1,Whittlesea - Kinglake Road,50
93187129,,residential,,False,False,219.62199999999999,"LINESTRING (145.3419789 -37.5294041, 145.3416504 -37.5296088, 145.3414563 -37.5296341, 145.3411619 -37.5296916, 145.3408654 -37.5298033, 145.3405681 -37.5299759, 145.3406198 -37.5305245, 145.3406295 -37.5305341, 145.3406613 -37.5305658, 145.3407336 -37.5306376)",,Aitkin Crescent,
138294532,C724,secondary,,False,False,154.731,"LINESTRING (145.3387796 -37.5297186, 145.338975 -37.529837, 145.3395056 -37.5301806, 145.3401464 -37.5305911)",,Whittlesea - Kinglake Road,50
256953446,,residential,,False,False,43.11,"LINESTRING (145.3387796 -37.5297186, 145.338511 -37.5299818, 145.3384567 -37.5300054)",,Ward Street,
256953447,,residential,,False,False,58.474,"LINESTRING (145.3383514 -37.5305246, 145.3384567 -37.5300054)",,Capel Street,
256953447,,residential,,False,True,58.474,"LINESTRING (145.3384567 -37.5300054, 145.3383514 -37.5305246)",,Capel Street,
256953446,,residential,,False,True,43.11,"LINESTRING (145.3384567 -37.5300054, 145.338511 -37.5299818, 145.3387796 -37.5297186)",,Ward Street,
