osmid,oneway,ref,name,highway,reversed,length,lanes,maxspeed,geometry,junction,bridge
1025411362,True,M1;91,Grey Street,trunk,False,12.441,,,"LINESTRING (146.5422451 -38.1946244, 146.5421411 -38.194548)",,
7317311,True,M1,Argyle Street,trunk,False,34.542,2,60,"LINESTRING (146.5422451 -38.1946244, 146.5420069 -38.1947601, 146.5419305 -38.1948121)",,
7317284,True,M1,Princes Street,trunk,False,46.534,2,60,"LINESTRING (146.5411672 -38.196534, 146.5410003 -38.1969314)",,
7317591,True,,Seymour Street,trunk,False,11.815,2,,"LINESTRING (146.5411672 -38.196534, 146.5410323 -38.1965269)",,
"[7317288, 7317311]",True,M1,Argyle Street,trunk,False,143.08,2,60,"LINESTRING (146.5419305 -38.1948121, 146.5417979 -38.1949185, 146.5416617 -38.1950453, 146.5415571 -38.19517, 146.5414566 -38.1953275, 146.5413813 -38.1954933, 146.5413159 -38.1957272, 146.5412643 -38.1959544)",,
7317564,True,,,trunk,False,66.523,1,,"LINESTRING (146.5419305 -38.1948121, 146.5418682 -38.1948311, 146.5418167 -38.1948501, 146.5417844 -38.1948669, 146.5417338 -38.194904, 146.541679 -38.1949525, 146.5416037 -38.1950279, 146.5415451 -38.1950921, 146.5414924 -38.1951491, 146.5414806 -38.1951586, 146.5414651 -38.1951664, 146.5414479 -38.1951693, 146.5414222 -38.1951676, 146.5413675 -38.1951574)",,
7317490,True,,Franklin Street,tertiary,False,84.029,1,,"LINESTRING (146.5381633 -38.1950494, 146.5381422 -38.1951631, 146.5380681 -38.1956196, 146.5380124 -38.1957948)",,
7317568,False,,Post Office Place,residential,False,198.53099999999998,,,"LINESTRING (146.5381633 -38.1950494, 146.5383461 -38.1950625, 146.5402352 -38.1951985, 146.5404264 -38.1952013)",,
7317288,True,M1,Argyle Street,trunk,False,51.709999999999994,2,60,"LINESTRING (146.5412643 -38.1959544, 146.5412574 -38.1960956, 146.5412295 -38.1963166, 146.5412138 -38.1964175)",,
191708854,True,,,trunk_link,False,58.362,1,,"LINESTRING (146.5412643 -38.1959544, 146.5412715 -38.196091, 146.5413406 -38.1963056, 146.5414517 -38.1964477)",,
7317280,True,M1,Princes Street,trunk,False,104.733,2,60,"LINESTRING (146.5377684 -38.1982764, 146.5366314 -38.1985743)",,
7317556,False,,Franklin Street,trunk,False,11.209,,,"LINESTRING (146.5377684 -38.1982764, 146.5377281 -38.1981807)",,
7317556,False,,Franklin Street,trunk,True,11.209,,,"LINESTRING (146.5377281 -38.1981807, 146.5377684 -38.1982764)",,
7317306,True,M1,Princes Street,trunk,False,182.06,2,60,"LINESTRING (146.5377281 -38.1981807, 146.5378894 -38.1981387, 146.538389 -38.1980087, 146.5387412 -38.1979199, 146.5395029 -38.1977427, 146.5397171 -38.1976941)",,
7317506,False,,Franklin Street,tertiary,False,17.628,,,"LINESTRING (146.5377281 -38.1981807, 146.5377083 -38.1981212, 146.5377056 -38.1980242)",,
1025411360,True,C477,Grey Street,trunk,False,12.72,,,"LINESTRING (146.542212 -38.194513, 146.5422451 -38.1946244)",,
1043587071,True,M1,Argyle Street,trunk,False,23.079,2,60,"LINESTRING (146.542212 -38.194513, 146.5422874 -38.194479, 146.5424412 -38.1944099)",,
7317284,True,M1,Princes Street,trunk,False,150.379,2,60,"LINESTRING (146.5410003 -38.1969314, 146.5409158 -38.197065, 146.5408074 -38.1971979, 146.5407162 -38.1972953, 146.540579 -38.1974136, 146.540444 -38.1975026, 146.5404347 -38.1975088, 146.5402915 -38.1975882, 146.5400893 -38.1976839, 146.5399305 -38.1977351, 146.5397418 -38.1977901)",,
