osmid,oneway,name,highway,maxspeed,reversed,length,ref,geometry,lanes
105580171,False,Clare Road,secondary,50,True,20.094,,"LINESTRING (138.9166504 -34.3391267, 138.9164659 -34.3390295)",
641799942,False,Thiele Highway,primary,,False,41.11,B81,"LINESTRING (138.9166504 -34.3391267, 138.9170342 -34.3393171)",
177974087,False,Mildred Street,secondary,50,False,286.315,,"LINESTRING (138.9166504 -34.3391267, 138.9167609 -34.3389703, 138.9168137 -34.3388342, 138.9168482 -34.3387361, 138.9170708 -34.3381034, 138.9171961 -34.3377473, 138.9175826 -34.3366747)",
"[397387090, 397387095]",False,Main Street,primary,50,True,97.73199999999999,B81,"LINESTRING (138.9166504 -34.3391267, 138.9165334 -34.3392794, 138.9162502 -34.3396606, 138.9160901 -34.339874)",
177974088,False,Mill Lane,residential,50,False,126.823,,"LINESTRING (138.9116627 -34.3388486, 138.9127267 -34.3381213)",
105580167,False,Baker Street,residential,50,False,81.84899999999999,,"LINESTRING (138.9116627 -34.3388486, 138.9115238 -34.3387568, 138.9109136 -34.3384514)",
"[105580179, 191362550]",False,"['Hill Street', 'Baker Street']",residential,50,True,63.155,,"LINESTRING (138.9116627 -34.3388486, 138.9120224 -34.3392667, 138.9120611 -34.3393116)",
641681575,False,Main Street,primary,50,False,78.126,B81,"LINESTRING (138.9144159 -34.3420442, 138.9148967 -34.3414645)",
991004134,False,Main Street,primary,50,True,16.698,B81,"LINESTRING (138.9144159 -34.3420442, 138.91432 -34.3421718)",
177974045,False,Ford Street,residential,,False,145.537,,"LINESTRING (138.9144159 -34.3420442, 138.9155651 -34.3426672, 138.9157429 -34.3427601)",
105580171,False,Clare Road,secondary,50,False,62.48,,"LINESTRING (138.9158989 -34.3387188, 138.9164659 -34.3390295)",
105580171,False,Clare Road,secondary,50,True,115.843,,"LINESTRING (138.9158989 -34.3387188, 138.9155671 -34.3385494, 138.9148258 -34.3381709)",
177974028,False,Church Street,residential,,True,99.001,,"LINESTRING (138.9158989 -34.3387188, 138.9156103 -34.3390954, 138.9154157 -34.3393494, 138.9153224 -34.3394712)",
177974029,False,Clare Road,secondary,50,False,114.158,,"LINESTRING (138.9135923 -34.3375297, 138.9125464 -34.3369746)",
177974088,False,Mill Lane,residential,50,True,103.169,,"LINESTRING (138.9135923 -34.3375297, 138.9127267 -34.3381213)",
"[105580171, 105580181]",False,Clare Road,secondary,50,False,114.845,,"LINESTRING (138.9135923 -34.3375297, 138.9138649 -34.3376752, 138.9139468 -34.3377189, 138.9146517 -34.3380787)",
105580171,False,Clare Road,secondary,50,False,18.99,,"LINESTRING (138.9146517 -34.3380787, 138.9148258 -34.3381709)",
"[105580171, 105580181]",False,Clare Road,secondary,50,True,114.845,,"LINESTRING (138.9146517 -34.3380787, 138.9139468 -34.3377189, 138.9138649 -34.3376752, 138.9135923 -34.3375297)",
