osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name
26585068,1,B160,primary,50,roundabout,True,False,12.958,"LINESTRING (142.0272909 -37.7415416, 142.0273293 -37.7415411, 142.0273554 -37.7415471, 142.0273875 -37.7415637, 142.0274128 -37.7415916)",
214696806,,,residential,,,False,True,211.81900000000002,"LINESTRING (142.0245331 -37.7455757, 142.0254391 -37.7466457, 142.0258734 -37.7471586)",Thompson Street
232636486,,,residential,,roundabout,True,False,13.992,"LINESTRING (142.0245331 -37.7455757, 142.0245037 -37.745585, 142.024472 -37.7455859, 142.0244419 -37.7455781, 142.0244169 -37.7455627, 142.0243999 -37.7455409)",
460741215,1,,residential,50,roundabout,True,False,9.152,"LINESTRING (142.0230371 -37.7438615, 142.02303 -37.7438427, 142.0230314 -37.743823, 142.0230412 -37.743805, 142.0230621 -37.7437885)",
460741222,,,residential,50,,False,False,210.81400000000002,"LINESTRING (142.0230371 -37.7438615, 142.0213152 -37.7447681, 142.021035 -37.7449043)",Gray Street
214696852,2,,tertiary,50,,False,False,211.396,"LINESTRING (142.0274128 -37.7415916, 142.0294152 -37.7405395)",Gray Street
26585068,1,B160,primary,50,roundabout,True,False,5.9,"LINESTRING (142.0274128 -37.7415916, 142.0274222 -37.7416211, 142.0274206 -37.7416437)",
26585068,1,B160,primary,50,roundabout,True,False,10.239,"LINESTRING (142.0272289 -37.7416855, 142.0272088 -37.7416596, 142.0272011 -37.7416298, 142.0272072 -37.7415989)",
26585114,,,residential,50,,False,False,206.207,"LINESTRING (142.0272289 -37.7416855, 142.0261426 -37.7422442, 142.025263 -37.7426966)",Gray Street
41662462,2,,residential,50,,False,True,213.114,"LINESTRING (142.0287089 -37.7432988, 142.0266902 -37.7443595)",French Street
560672053,1,B160,primary,50,,False,False,72.582,"LINESTRING (142.0287089 -37.7432988, 142.0282508 -37.7427558)",Cox Street
26771631,1,B160,primary,50,,True,False,42.461,"LINESTRING (142.0287089 -37.7432988, 142.0288486 -37.7432224, 142.0291469 -37.7431473)",Glenelg Highway
