osmid,ref,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,junction
24883598,25,Station Street,secondary,False,False,210.606,,"LINESTRING (150.6809261 -31.5026218, 150.6805131 -31.5044828)",,
119272596,,Abbott Street,residential,False,True,87.659,50,"LINESTRING (150.6809261 -31.5026218, 150.6800166 -31.5024799)",,
24883603,25,Hawker Street,secondary,False,True,225.38700000000003,50,"LINESTRING (150.6809261 -31.5026218, 150.6809511 -31.5024889, 150.6809698 -31.5023646, 150.6812063 -31.50072, 150.6812175 -31.5006103)",,
119272596,,Abbott Street,residential,False,False,87.659,50,"LINESTRING (150.6800166 -31.5024799, 150.6809261 -31.5026218)",,
119272596,,Abbott Street,residential,False,True,112.775,50,"LINESTRING (150.6800166 -31.5024799, 150.6788487 -31.5022874)",,
119272645,,Railway Avenue,residential,False,True,210.259,50,"LINESTRING (150.6800166 -31.5024799, 150.6796053 -31.504338)",,
119272270,,Stuart Street,residential,False,False,170.144,50,"LINESTRING (150.6762596 -31.5053711, 150.6766004 -31.5038688)",,
119272274,,Pryor Street,residential,False,False,65.634,50,"LINESTRING (150.6762596 -31.5053711, 150.6769392 -31.5054837)",,
119272284,,Pryor Street,residential,False,False,110.08500000000001,50,"LINESTRING (150.6762596 -31.5053711, 150.6760975 -31.5053347, 150.6759504 -31.505305, 150.6757789 -31.5051781, 150.6753537 -31.5047989)",1,
119272274,,Pryor Street,residential,False,False,111.709,50,"LINESTRING (150.67809 -31.5056763, 150.6792473 -31.5058652)",,
119272274,,Pryor Street,residential,False,True,89.516,50,"LINESTRING (150.67809 -31.5056763, 150.6771633 -31.5055219)",,
119272281,,Hill Street,residential,False,False,171.83,50,"LINESTRING (150.67809 -31.5056763, 150.6784353 -31.5041593)",,
24883598,25,Station Street,secondary,False,True,150.70499999999998,,"LINESTRING (150.6804015 -31.5058239, 150.6803809 -31.5057417, 150.6803675 -31.5056724, 150.6803592 -31.5056147, 150.6803554 -31.5055517, 150.6803536 -31.5054869, 150.6803532 -31.5054068, 150.6803568 -31.5053364, 150.680361 -31.5052799, 150.680369 -31.5052166, 150.6803989 -31.5050284, 150.6805131 -31.5044828)",,
119272282,25,,secondary,True,False,38.312999999999995,50,"LINESTRING (150.6804015 -31.5058239, 150.6804348 -31.505822, 150.6804794 -31.5058313, 150.6805178 -31.5058526, 150.6805457 -31.5058836, 150.68056 -31.5059208, 150.6805589 -31.5059607, 150.6805419 -31.5059979, 150.6805112 -31.5060281, 150.6804704 -31.5060476)",,roundabout
119272274,,Pryor Street,residential,False,True,111.709,50,"LINESTRING (150.6792473 -31.5058652, 150.67809 -31.5056763)",,
119272645,,Railway Avenue,residential,False,False,173.176,50,"LINESTRING (150.6792473 -31.5058652, 150.6796053 -31.504338)",,
119272274,,Pryor Street,residential,False,False,100.26599999999999,50,"LINESTRING (150.6792473 -31.5058652, 150.6798489 -31.5059587, 150.6799648 -31.5059734, 150.6800628 -31.5059798, 150.6801475 -31.5059758, 150.6802892 -31.5059465)",,
119272274,,Pryor Street,residential,False,True,100.26599999999999,50,"LINESTRING (150.6802892 -31.5059465, 150.6801475 -31.5059758, 150.6800628 -31.5059798, 150.6799648 -31.5059734, 150.6798489 -31.5059587, 150.6792473 -31.5058652)",,
119272282,25,,secondary,True,False,18.884999999999998,50,"LINESTRING (150.6802892 -31.5059465, 150.6802938 -31.5059069, 150.6803138 -31.5058709, 150.6803389 -31.5058484, 150.6803706 -31.5058321, 150.6804015 -31.5058239)",,roundabout
119272282,25,,secondary,True,False,23.63,50,"LINESTRING (150.6804704 -31.5060476, 150.6804296 -31.5060541, 150.6803883 -31.5060499, 150.6803505 -31.5060352, 150.6803196 -31.5060115, 150.6802985 -31.505981, 150.6802892 -31.5059465)",,roundabout
119272284,,Pryor Street,residential,False,True,110.085,50,"LINESTRING (150.6753537 -31.5047989, 150.6757789 -31.5051781, 150.6759504 -31.505305, 150.6760975 -31.5053347, 150.6762596 -31.5053711)",1,
119272270,,Stuart Street,residential,False,True,170.144,50,"LINESTRING (150.6766004 -31.5038688, 150.6762596 -31.5053711)",,
119272286,,Dalley Street,residential,False,False,87.026,50,"LINESTRING (150.6766004 -31.5038688, 150.6775039 -31.5040071)",,
"[119272596, 119272270]",,"['Abbott Street', 'Stuart Street']",residential,False,False,275.956,50,"LINESTRING (150.6766004 -31.5038688, 150.677029 -31.5019886, 150.6776813 -31.5020955)",,
24883598,25,Station Street,secondary,False,True,210.606,,"LINESTRING (150.6805131 -31.5044828, 150.6809261 -31.5026218)",,
119272286,,Dalley Street,residential,False,True,87.557,50,"LINESTRING (150.6805131 -31.5044828, 150.6796053 -31.504338)",,
24883598,25,Station Street,secondary,False,False,150.705,,"LINESTRING (150.6805131 -31.5044828, 150.6803989 -31.5050284, 150.680369 -31.5052166, 150.680361 -31.5052799, 150.6803568 -31.5053364, 150.6803532 -31.5054068, 150.6803536 -31.5054869, 150.6803554 -31.5055517, 150.6803592 -31.5056147, 150.6803675 -31.5056724, 150.6803809 -31.5057417, 150.6804015 -31.5058239)",,
119272274,,Pryor Street,residential,False,False,21.666,50,"LINESTRING (150.6769392 -31.5054837, 150.6771633 -31.5055219)",,
119272274,,Pryor Street,residential,False,True,65.634,50,"LINESTRING (150.6769392 -31.5054837, 150.6762596 -31.5053711)",,
119272281,,Hill Street,residential,False,True,226.949,50,"LINESTRING (150.6792926 -31.5002818, 150.6788487 -31.5022874)",,
119272575,,Nowland Street,residential,False,False,63.316,50,"LINESTRING (150.6792926 -31.5002818, 150.6799475 -31.5003933)",,
119272575,,Nowland Street,residential,False,True,103.238,50,"LINESTRING (150.6792926 -31.5002818, 150.6782263 -31.5000936)",,
