osmid,highway,oneway,reversed,length,name,maxspeed,geometry,ref
135423386,secondary_link,False,False,7.541,,,"LINESTRING (144.6540409 -38.1151989, 144.6540525 -38.1151317)",
39199993,residential,False,False,124.81400000000001,Brown Street,50,"LINESTRING (144.6540409 -38.1151989, 144.6540304 -38.1152519, 144.653811 -38.1162287, 144.6537969 -38.1163048)",
135423401,secondary,True,False,229.963,Newcombe Street,40,"LINESTRING (144.6540409 -38.1151989, 144.6528281 -38.1150412, 144.6523662 -38.1149853, 144.6514425 -38.1148876)",C123
14551666,secondary,False,False,26.47,Newcombe Street,60,"LINESTRING (144.6489361 -38.1145603, 144.6492353 -38.1145957)",C123
39199802,residential,False,True,232.239,Langdon Street,50,"LINESTRING (144.6557582 -38.120053, 144.6531387 -38.1197136)",
197733664,secondary,False,True,130.985,Fisher Street,60,"LINESTRING (144.6557582 -38.120053, 144.6559832 -38.1188884)",C126
673701010,secondary,False,False,127.575,Fisher Street,60,"LINESTRING (144.6564033 -38.1166345, 144.6561991 -38.1177705)",C126
14551680,secondary,False,True,132.07,Fisher Street,40,"LINESTRING (144.6564033 -38.1166345, 144.6564503 -38.1163716, 144.6565046 -38.116068, 144.656592 -38.1155526, 144.656637 -38.1154637)",C126
197733582,residential,False,False,230.946,Fenwick Street,40,"LINESTRING (144.6564033 -38.1166345, 144.656241 -38.1166145, 144.655844 -38.1165657, 144.6537969 -38.1163048)",
197733664,secondary,False,False,125.732,Fisher Street,60,"LINESTRING (144.6561991 -38.1177705, 144.6559832 -38.1188884)",C126
673701010,secondary,False,True,127.575,Fisher Street,60,"LINESTRING (144.6561991 -38.1177705, 144.6564033 -38.1166345)",C126
39199794,residential,False,True,232.246,Stevens Street,50,"LINESTRING (144.6561991 -38.1177705, 144.6560532 -38.1177525, 144.6536752 -38.1174585, 144.6535765 -38.1174463)",
135423342,residential,False,False,231.446,Willis Street,50,"LINESTRING (144.6559832 -38.1188884, 144.6585987 -38.1192019)",
135423342,residential,False,True,232.237,Willis Street,50,"LINESTRING (144.6559832 -38.1188884, 144.6533611 -38.118562)",
197733664,secondary,False,False,130.985,Fisher Street,60,"LINESTRING (144.6559832 -38.1188884, 144.6557582 -38.120053)",C126
197733664,secondary,False,True,125.732,Fisher Street,60,"LINESTRING (144.6559832 -38.1188884, 144.6561991 -38.1177705)",C126
39199794,residential,False,False,115.37599999999999,Stevens Street,50,"LINESTRING (144.6496839 -38.1169627, 144.6497684 -38.1169732, 144.6508908 -38.1171126, 144.6509871 -38.1171217)",
39199800,residential,False,False,126.78200000000001,High Street,50,"LINESTRING (144.6496839 -38.1169627, 144.6496916 -38.1170823, 144.6496723 -38.1171593, 144.6493093 -38.1180569)",
39199800,residential,False,True,134.656,High Street,50,"LINESTRING (144.6496839 -38.1169627, 144.6494453 -38.1158402, 144.64943 -38.1157683)",
39199808,residential,False,True,125.306,Harding Street,50,"LINESTRING (144.6509871 -38.1171217, 144.650776 -38.1182363)",
39199794,residential,False,False,229.389,Stevens Street,50,"LINESTRING (144.6509871 -38.1171217, 144.6511122 -38.1171401, 144.6534581 -38.1174316, 144.6535765 -38.1174463)",
39199794,residential,False,True,115.37599999999999,Stevens Street,50,"LINESTRING (144.6509871 -38.1171217, 144.6508908 -38.1171126, 144.6497684 -38.1169732, 144.6496839 -38.1169627)",
39199808,residential,False,False,128.894,Harding Street,50,"LINESTRING (144.6509871 -38.1171217, 144.6510033 -38.1169696, 144.6511723 -38.116027, 144.6512214 -38.1159884)",
100584385,residential,False,False,103.434,Fisher Street,60,"LINESTRING (144.6568711 -38.1142893, 144.6570457 -38.1133693)",
100584385,residential,False,True,132.45,Fisher Street,60,"LINESTRING (144.6568711 -38.1142893, 144.6567373 -38.1150594, 144.6566761 -38.115389, 144.656637 -38.1154637)",
197733583,residential,False,True,158.619,Fenwick Street,50,"LINESTRING (144.64943 -38.1157683, 144.6512214 -38.1159884)",
39199800,residential,False,False,134.656,High Street,50,"LINESTRING (144.64943 -38.1157683, 144.6494453 -38.1158402, 144.6496839 -38.1169627)",
39199800,residential,False,True,131.98999999999998,High Street,50,"LINESTRING (144.64943 -38.1157683, 144.6494143 -38.1156884, 144.6492157 -38.1146754, 144.6492353 -38.1145957)",
135423342,residential,False,False,129.851,Willis Street,50,"LINESTRING (144.6493093 -38.1180569, 144.650776 -38.1182363)",
39199800,residential,False,False,147.173,High Street,50,"LINESTRING (144.6493093 -38.1180569, 144.6492675 -38.1181316, 144.6492281 -38.1181834, 144.6491886 -38.1182311, 144.6484877 -38.118903, 144.6483851 -38.1190225, 144.6483528 -38.1191308)",
39199800,residential,False,True,126.78200000000001,High Street,50,"LINESTRING (144.6493093 -38.1180569, 144.6496723 -38.1171593, 144.6496916 -38.1170823, 144.6496839 -38.1169627)",
39199802,residential,False,False,194.13,Langdon Street,50,"LINESTRING (144.6483528 -38.1191308, 144.6505458 -38.1193979)",
39199802,residential,False,True,48.949,Langdon Street,50,"LINESTRING (144.6483528 -38.1191308, 144.6477992 -38.1190668)",
626763045,residential,False,False,107.776,High Street,50,"LINESTRING (144.6483528 -38.1191308, 144.648183 -38.1200908)",
39199800,residential,False,True,147.17299999999997,High Street,50,"LINESTRING (144.6483528 -38.1191308, 144.6483851 -38.1190225, 144.6484877 -38.118903, 144.6491886 -38.1182311, 144.6492281 -38.1181834, 144.6492675 -38.1181316, 144.6493093 -38.1180569)",
39199802,residential,False,False,48.949,Langdon Street,50,"LINESTRING (144.6477992 -38.1190668, 144.6483528 -38.1191308)",
39199802,residential,False,False,229.527,Langdon Street,50,"LINESTRING (144.6505458 -38.1193979, 144.6531387 -38.1197136)",
39199802,residential,False,True,194.13,Langdon Street,50,"LINESTRING (144.6505458 -38.1193979, 144.6483528 -38.1191308)",
39199808,residential,False,False,130.725,Harding Street,50,"LINESTRING (144.6505458 -38.1193979, 144.650776 -38.1182363)",
