osmid,lanes,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,ref
"[393918385, 393918386, 132275943]",2,Albury Street,secondary,"['60', '50']",False,False,172.519,yes,"LINESTRING (148.0072884 -35.7765759, 148.0075697 -35.7765003, 148.0078343 -35.7764613, 148.0081281 -35.7764468, 148.0083887 -35.7764614, 148.0084684 -35.776469, 148.0086408 -35.7764853, 148.0090061 -35.7765242, 148.0091743 -35.7765397)",
132275943,2,Albury Street,secondary,60,False,True,253.32799999999997,,"LINESTRING (148.0072884 -35.7765759, 148.0068706 -35.7767627, 148.0066201 -35.7769292, 148.0058305 -35.7775187, 148.0054894 -35.7777013, 148.0052635 -35.7777976, 148.0051579 -35.7778316, 148.0050122 -35.7778785)",
142882088,,Mate Street,residential,50,False,False,54.076,,"LINESTRING (148.0072884 -35.7765759, 148.0071366 -35.7763913, 148.0071076 -35.7763733, 148.0068778 -35.7762306)",
26804662,2,The Parade,secondary,50,False,True,221.504,,"LINESTRING (148.0099581 -35.7766343, 148.0100583 -35.7761252, 148.0103151 -35.7748205, 148.0103453 -35.7746672)",5
40892692,,Albury Street,secondary,50,False,True,71.487,,"LINESTRING (148.0099581 -35.7766343, 148.0098251 -35.7766183, 148.0091743 -35.7765397)",
228773558,,The Parade,secondary,50,False,False,50.001999999999995,,"LINESTRING (148.0099581 -35.7766343, 148.0099076 -35.7769635, 148.0098893 -35.7770805)",5
26804662,2,The Parade,secondary,50,False,True,105.749,,"LINESTRING (148.0103453 -35.7746672, 148.010509 -35.7737255)",5
26804662,2,The Parade,secondary,50,False,False,221.504,,"LINESTRING (148.0103453 -35.7746672, 148.0103151 -35.7748205, 148.0100583 -35.7761252, 148.0099581 -35.7766343)",5
"[38354419, 142882095]",2,"['Hammond Street', 'Selwyn Street']","['residential', 'unclassified']",50,False,False,290.016,,"LINESTRING (148.0103453 -35.7746672, 148.0101922 -35.7746485, 148.0096203 -35.7745785, 148.0095479 -35.7746264, 148.0095278 -35.7746873, 148.0095194 -35.7747311, 148.0091995 -35.7764076, 148.0091743 -35.7765397)",
142882095,,Selwyn Street,residential,50,False,True,139.17000000000002,,"LINESTRING (148.0103453 -35.7746672, 148.0104669 -35.7746821, 148.0110862 -35.7747578, 148.0118707 -35.7748538)",
