osmid,oneway,name,highway,reversed,length,lanes,ref,maxspeed,geometry,junction,bridge
815750225,False,Maud Street,tertiary,False,12.454,,,,"LINESTRING (153.0941064 -26.6574156, 153.0941813 -26.6573258)",,
815750224,True,Aerodrome Road,primary,False,101.023,2,6,60,"LINESTRING (153.0941064 -26.6574156, 153.0939139 -26.6573194, 153.0937032 -26.6572081, 153.0935359 -26.6571062, 153.0934005 -26.6570247, 153.0932492 -26.6569287)",,
815750225,False,Maud Street,tertiary,True,12.454,,,,"LINESTRING (153.0941813 -26.6573258, 153.0941064 -26.6574156)",,
277488252,False,Maud Street,residential,True,158.038,,,50,"LINESTRING (153.0941813 -26.6573258, 153.0942384 -26.6572457, 153.0942529 -26.6572154, 153.0942941 -26.6570825, 153.0944903 -26.6564708, 153.0945095 -26.6563892, 153.0945222 -26.6562623, 153.0945249 -26.6561286, 153.0945317 -26.6560326, 153.0945404 -26.6559966, 153.0945493 -26.6559558)",,
815750226,True,Aerodrome Road,primary,False,103.398,2,6,60,"LINESTRING (153.0941813 -26.6573258, 153.0942813 -26.6573857, 153.0945558 -26.6575485, 153.095048 -26.6578403)",,
177703534,False,Second Avenue,tertiary,False,101.33299999999998,,,50,"LINESTRING (153.0942978 -26.658593, 153.0944825 -26.6583233, 153.0945491 -26.6582269, 153.0948335 -26.6579913, 153.0948956 -26.6579327, 153.0949401 -26.6578954)",,
177703534,False,Second Avenue,tertiary,False,12.35,,,50,"LINESTRING (153.0949401 -26.6578954, 153.095048 -26.6578403)",,
177703534,False,Second Avenue,tertiary,True,101.333,,,50,"LINESTRING (153.0949401 -26.6578954, 153.0948956 -26.6579327, 153.0948335 -26.6579913, 153.0945491 -26.6582269, 153.0944825 -26.6583233, 153.0942978 -26.658593)",,
797171162,True,Aerodrome Road,primary,False,98.63900000000001,2,6,60,"LINESTRING (153.0949401 -26.6578954, 153.094627 -26.6576978, 153.0944291 -26.6575819, 153.0942923 -26.6575056, 153.09425 -26.6574843, 153.0941064 -26.6574156)",,
568338014,True,Horton Parade,primary,False,9.434,,6,60,"LINESTRING (153.0896446 -26.6526686, 153.0896759 -26.6527487)",,
189020576,True,Ocean Street,tertiary,False,23.165,1,,50,"LINESTRING (153.0896446 -26.6526686, 153.089725 -26.6526533, 153.089797 -26.6526334, 153.0898684 -26.6526114)",,
568338012,True,Beach Road,primary,False,9.423,2,6,60,"LINESTRING (153.0895781 -26.6527689, 153.0895488 -26.6526883)",,
578596483,True,Maroochydore Road,primary,False,38.033,2,8,60,"LINESTRING (153.0895781 -26.6527689, 153.0894988 -26.6527774, 153.0894445 -26.6527804, 153.0891961 -26.6527767)",,
815751522,True,Horton Parade,primary,False,7.102,,6,60,"LINESTRING (153.0919403 -26.6559119, 153.0919781 -26.6559661)",,
815750230,True,Aerodrome Road,primary,False,13.257,2,6,60,"LINESTRING (153.091905 -26.6560709, 153.0918412 -26.6559662)",,
387515073,True,Plaza Parade,secondary,False,21.704,2,,,"LINESTRING (153.091905 -26.6560709, 153.0918364 -26.656121, 153.091719 -26.6561705)",,
400666103,True,,primary_link,False,56.547,1,,,"LINESTRING (153.0922201 -26.6563875, 153.092115 -26.6563827, 153.0918645 -26.656228, 153.0918052 -26.6562007, 153.091719 -26.6561705)",,
815750230,True,Aerodrome Road,primary,False,47.216,2,6,60,"LINESTRING (153.0922201 -26.6563875, 153.0921635 -26.6563394, 153.092064 -26.6562512, 153.0919732 -26.6561473, 153.091905 -26.6560709)",,
815750231,True,Aerodrome Road,primary,False,9.184,2,6,60,"LINESTRING (153.0932492 -26.6569287, 153.093172 -26.6568833)",,
659271831,True,First Avenue,tertiary,False,201.807,2,,,"LINESTRING (153.0932492 -26.6569287, 153.0932051 -26.657022, 153.0931208 -26.6571367, 153.0928275 -26.6574755, 153.0921111 -26.658334, 153.0920587 -26.6583952)",,
177703534,False,Second Avenue,tertiary,True,12.35,,,50,"LINESTRING (153.095048 -26.6578403, 153.0949401 -26.6578954)",,
177703534,False,Second Avenue,tertiary,False,26.832,,,50,"LINESTRING (153.095048 -26.6578403, 153.0950801 -26.6578057, 153.0951124 -26.6577607, 153.0951337 -26.6577257, 153.0951508 -26.6576912, 153.0951713 -26.6576285)",,
815750226,True,Aerodrome Road,primary,False,165.96,2,6,60,"LINESTRING (153.095048 -26.6578403, 153.0960284 -26.6584376, 153.096203 -26.6585406, 153.0964359 -26.6586701)",,
