osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,junction
979957731,2,B60,Johnston Street,primary,50,False,False,228.356,"LINESTRING (153.0516007 -28.859175, 153.0492956 -28.8587984)",,
280926422,2,,Hickey Street,tertiary,50,False,True,113.402,"LINESTRING (153.0516007 -28.859175, 153.0515705 -28.8593141, 153.0513832 -28.8601769)",,
979957731,2,B60,Johnston Street,primary,50,False,False,6.33,"LINESTRING (153.0492626 -28.8587926, 153.0491987 -28.8587822)",,
979957731,2,B60,Johnston Street,primary,50,False,True,3.278,"LINESTRING (153.0492626 -28.8587926, 153.0492956 -28.8587984)",,
979957735,2,,Canterbury Street,residential,50,False,False,92.854,"LINESTRING (153.0507246 -28.8632867, 153.0516633 -28.8634333)",,
99660157,2,,Canterbury Street,tertiary,50,False,True,192.159,"LINESTRING (153.0507246 -28.8632867, 153.050092 -28.8631862, 153.0498762 -28.8631525, 153.0497097 -28.8631256, 153.0496427 -28.8631143, 153.0490508 -28.8630195, 153.0489417 -28.8630008, 153.048784 -28.8629737)",,
280926422,2,,Hickey Street,tertiary,50,False,False,119.288,"LINESTRING (153.0507246 -28.8632867, 153.0508104 -28.8629031, 153.050957 -28.8622334)",,
979957734,2,,Hickey Street,tertiary,50,False,True,114.24799999999999,"LINESTRING (153.0507246 -28.8632867, 153.0505837 -28.8639532, 153.0505087 -28.8642966)",,
187785289,,,Richmond Street,residential,,False,False,151.27,"LINESTRING (153.0459931 -28.8667835, 153.0473773 -28.8670065, 153.0475209 -28.8670296)",,
187785289,,,Richmond Street,residential,,False,True,82.261,"LINESTRING (153.0459931 -28.8667835, 153.0456219 -28.8667218, 153.0452911 -28.8666605, 153.0451651 -28.8666371)",,
189342248,,,Graham Place,residential,,False,True,253.02400000000003,"LINESTRING (153.0459931 -28.8667835, 153.0460193 -28.8666613, 153.046138 -28.8661075, 153.0461592 -28.8660087, 153.0461871 -28.8658787, 153.046595 -28.8659367, 153.0467715 -28.8659619, 153.0469212 -28.8659832, 153.0475666 -28.866075, 153.0477142 -28.866096)",,
187785294,2,,Walker Street,residential,,False,True,105.504,"LINESTRING (153.0477142 -28.866096, 153.0475209 -28.8670296)",,
"[187785294, 614669239]","['1', '2']",,Walker Street,residential,,"[False, True]",False,83.40299999999999,"LINESTRING (153.0477142 -28.866096, 153.0477879 -28.8657555, 153.0478259 -28.8655797, 153.0478709 -28.8653626, 153.0478724 -28.8653589)",5,
189342248,,,Graham Place,residential,,False,False,253.024,"LINESTRING (153.0477142 -28.866096, 153.0475666 -28.866075, 153.0469212 -28.8659832, 153.0467715 -28.8659619, 153.046595 -28.8659367, 153.0461871 -28.8658787, 153.0461592 -28.8660087, 153.046138 -28.8661075, 153.0460193 -28.8666613, 153.0459931 -28.8667835)",,
