osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,junction,bridge
201517102,Evans Street,tertiary,False,False,13.662,"LINESTRING (144.7277272 -37.5819648, 144.7276488 -37.5820708)",,,,,
201517102,Evans Street,tertiary,False,True,288.7,"LINESTRING (144.7277272 -37.5819648, 144.7277888 -37.5818791, 144.7277962 -37.5818688, 144.7280327 -37.5815095, 144.7281145 -37.5813982, 144.7284698 -37.5809095, 144.7285682 -37.5807742, 144.728576 -37.5807635, 144.7286195 -37.5807022, 144.7288394 -37.5804182, 144.7292925 -37.5797841, 144.7293467 -37.5797084)",,,,,
"[201527664, 79582272]",Station Street,tertiary,True,False,122.12499999999999,"LINESTRING (144.7277272 -37.5819648, 144.7284372 -37.5822908, 144.7286867 -37.5824054, 144.7288112 -37.5824567, 144.7288388 -37.5824681, 144.7289359 -37.5825008)",60,,,,
173553335,Harker Street,residential,False,True,101.756,"LINESTRING (144.7279933 -37.5839611, 144.7269968 -37.5834987)",,,,,
198987594,O'Shanassy Street,residential,False,False,136.805,"LINESTRING (144.7279933 -37.5839611, 144.7287585 -37.5828906)",,,,,
28664058,Stawell Street,unclassified,False,False,37.159,"LINESTRING (144.7335581 -37.5793953, 144.7332846 -37.5794831, 144.7331673 -37.5795208)",,,,,
251432503,Barkly Street,residential,True,False,33.438,"LINESTRING (144.7335581 -37.5793953, 144.7335914 -37.5793766, 144.7338125 -37.5792524, 144.7338608 -37.5792149)",,,,,
28664058,Stawell Street,unclassified,False,True,41.062,"LINESTRING (144.7327354 -37.5796594, 144.7330764 -37.57955, 144.7331673 -37.5795208)",,,,,
788116725,,primary,True,False,8.833,"LINESTRING (144.731515 -37.577015, 144.7314828 -37.5770237, 144.7314499 -37.5770283, 144.7314171 -37.577028)",,2,C743,roundabout,
"[967446736, 967446740, 967446741]",,primary,True,False,32.593999999999994,"LINESTRING (144.7313064 -37.5767259, 144.7313618 -37.5767158, 144.7314124 -37.5767179, 144.7314707 -37.5767328, 144.7315317 -37.5767596, 144.731569 -37.5767841, 144.7315951 -37.5768128, 144.7316095 -37.5768409)",,,C743,roundabout,
"[967446726, 173553246]",Evans Street,tertiary,True,False,191.417,"LINESTRING (144.7314171 -37.577028, 144.7312954 -37.5771241, 144.7312821 -37.5771357, 144.7312335 -37.5771781, 144.7312008 -37.5772068, 144.7310763 -37.5773594, 144.7308749 -37.5776406, 144.7307815 -37.5778023, 144.7306208 -37.5780313, 144.7306106 -37.5780431, 144.7302445 -37.5784679)",,,,,
