osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,width,bridge
17495829,2,Bourke Street,residential,40,False,False,9.887,"LINESTRING (150.9297812 -31.0871294, 150.9296998 -31.0871846)",,,,
35893215,2,Marius Street,primary,50,True,False,225.891,"LINESTRING (150.9297812 -31.0871294, 150.9298635 -31.0872176, 150.9311809 -31.0886285, 150.931199 -31.0886479, 150.9312627 -31.088716)",,,,
573656239,2,Marius Street,primary,50,True,False,11.69,"LINESTRING (150.9312627 -31.088716, 150.9313388 -31.0887985)",B56,,,
191860547,2,Brisbane Street,residential,50,True,False,31.909,"LINESTRING (150.9312627 -31.088716, 150.9313379 -31.0886811, 150.9315572 -31.0885791)",,,,
46907201,2,,primary,,True,False,15.251,"LINESTRING (150.9341326 -31.092023, 150.9341517 -31.0919929, 150.9341794 -31.0919681, 150.9342137 -31.0919505, 150.9342523 -31.0919412)",B56,roundabout,,
46907215,2,Marius Street,primary,50,True,False,218.86599999999999,"LINESTRING (150.9341326 -31.092023, 150.9339077 -31.0917631, 150.9336276 -31.0914582, 150.9334812 -31.0912988, 150.9328237 -31.0905831, 150.9327202 -31.0904703)",B56,,,
573656236,2,Brisbane Street,primary,50,True,False,10.534,"LINESTRING (150.9311756 -31.0887744, 150.9312627 -31.088716)",B56,,,
48502160,2,Marius Street,primary,50,True,False,225.83100000000002,"LINESTRING (150.9311756 -31.0887744, 150.9311123 -31.0887062, 150.9302758 -31.0878051, 150.9297818 -31.087273, 150.9296998 -31.0871846)",,,,
83606822,2,,residential,50,True,False,16.796,"LINESTRING (150.9332597 -31.0875472, 150.9332277 -31.0875599, 150.9331927 -31.0875639, 150.9331579 -31.0875589, 150.9331264 -31.0875454, 150.9331009 -31.0875245)",,roundabout,,
170056088,2,Bourke Street,residential,50,False,True,117.263,"LINESTRING (150.9267175 -31.0891965, 150.9272106 -31.0888717, 150.9276146 -31.0885991, 150.9276832 -31.0885428)",,,,
