osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,bridge,lanes,junction
23634060,Caveat Street,residential,False,False,233.226,,,"LINESTRING (149.2382316 -36.9122546, 149.2399256 -36.9138561)",,,
23634060,Caveat Street,residential,False,True,125.344,,,"LINESTRING (149.2382316 -36.9122546, 149.2373212 -36.9113939)",,,
1210696234,Maybe Street,primary,False,False,78.397,B23,50,"LINESTRING (149.2382316 -36.9122546, 149.2389074 -36.9118017)",,,
"[1210696234, 23634766]",Maybe Street,primary,False,True,230.63400000000001,B23,"['60', '50']","LINESTRING (149.2382316 -36.9122546, 149.237853 -36.9125083, 149.2376111 -36.9126705, 149.2374881 -36.9127529, 149.2363608 -36.9135084, 149.2362432 -36.9135867)",,,
23634334,Mahratta Street,primary,False,False,33.777,B23,60,"LINESTRING (149.2379182 -36.9086712, 149.2382217 -36.9084885)",,,
"[23634906, 23634908]","['High Street', 'Mahratta Street']","['unclassified', 'residential']",False,False,645.419,,,"LINESTRING (149.2379182 -36.9086712, 149.2378483 -36.9087283, 149.235407 -36.9103678, 149.2351111 -36.9104542, 149.2348584 -36.9104206, 149.2346274 -36.9103403, 149.2344785 -36.9102201, 149.234319 -36.9099275, 149.2343564 -36.9096941, 149.2345524 -36.9094328, 149.2349351 -36.9091434, 149.2359409 -36.9084412)",,,
332459154,Forbes Street,primary,False,True,33.964,B23,,"LINESTRING (149.2379182 -36.9086712, 149.2379827 -36.9087343, 149.2381601 -36.9089076)",,,
23634667,Therry Street,residential,False,False,174.795,,,"LINESTRING (149.2393224 -36.9100437, 149.2408291 -36.9090339)",,,
23634667,Therry Street,residential,False,True,232.804,,,"LINESTRING (149.2393224 -36.9100437, 149.2373212 -36.9113939)",,,
"[104820401, 1210696243, 104820391]",Forbes Street,primary,False,False,163.211,B23,60,"LINESTRING (149.2393224 -36.9100437, 149.2391164 -36.9098423, 149.2382595 -36.9090048, 149.2381601 -36.9089076)",yes,,
"[1210696243, 23636695]",Forbes Street,primary,False,True,113.603,B23,"['60', '50']","LINESTRING (149.2393224 -36.9100437, 149.2394037 -36.9101232, 149.2401352 -36.910832)",,,
23634060,Caveat Street,residential,False,False,52.485,,,"LINESTRING (149.23694 -36.9110335, 149.2373212 -36.9113939)",,,
23634060,Caveat Street,residential,False,False,125.344,,,"LINESTRING (149.2373212 -36.9113939, 149.2382316 -36.9122546)",,,
23634060,Caveat Street,residential,False,True,52.485,,,"LINESTRING (149.2373212 -36.9113939, 149.23694 -36.9110335)",,,
23634667,Therry Street,residential,False,False,232.804,,,"LINESTRING (149.2373212 -36.9113939, 149.2393224 -36.9100437)",,,
23634060,Caveat Street,residential,False,False,224.2,,,"LINESTRING (149.2399256 -36.9138561, 149.2415541 -36.9153956)",,,
23634060,Caveat Street,residential,False,True,233.226,,,"LINESTRING (149.2399256 -36.9138561, 149.2382316 -36.9122546)",,,
23634261,Wellington Street,residential,False,False,229.364,,,"LINESTRING (149.2399256 -36.9138561, 149.2418833 -36.9125127)",,,
23634261,Wellington Street,residential,False,True,233.062,,,"LINESTRING (149.2399256 -36.9138561, 149.2379117 -36.9151979)",,,
23634060,Caveat Street,residential,False,True,224.2,,,"LINESTRING (149.2415541 -36.9153956, 149.2399256 -36.9138561)",,,
1210696240,Caveat Street,residential,False,False,17.458,,,"LINESTRING (149.2415541 -36.9153956, 149.241636 -36.9155383)",,,
700886464,Mercy Street,residential,True,False,228.891,,,"LINESTRING (149.2415541 -36.9153956, 149.2429089 -36.9144656, 149.2435034 -36.9140509)",,,
1210696242,Burton Street,tertiary,False,False,229.146,,50,"LINESTRING (149.2438153 -36.9111545, 149.242173 -36.9095663)",,,
23634261,Wellington Street,residential,False,True,228.861,,,"LINESTRING (149.2438153 -36.9111545, 149.2435563 -36.9113705, 149.2418833 -36.9125127)",,,
1210696242,Burton Street,tertiary,False,True,229.146,,50,"LINESTRING (149.242173 -36.9095663, 149.2438153 -36.9111545)",,,
1210878756,Maybe Street,secondary,False,False,218.426,,50,"LINESTRING (149.242173 -36.9095663, 149.2402957 -36.9108334)",,,
"[1210878756, 23634765]",Maybe Street,secondary,False,True,162.324,,"['60', '50']","LINESTRING (149.242173 -36.9095663, 149.2425909 -36.9092834, 149.2435654 -36.9086221)",,,
23634235,Mercy Street,residential,True,False,269.443,,,"LINESTRING (149.2438886 -36.9139221, 149.2436401 -36.9141567, 149.2429661 -36.914623, 149.241636 -36.9155383)",,,
23636696,Forbes Street,residential,False,True,223.609,,,"LINESTRING (149.2435034 -36.9140509, 149.2418833 -36.9125127)",,,
700886464,Mercy Street,residential,True,False,37.12,,,"LINESTRING (149.2435034 -36.9140509, 149.2438886 -36.9139221)",,,
1210696240,Caveat Street,residential,False,True,17.458,,,"LINESTRING (149.241636 -36.9155383, 149.2415541 -36.9153956)",,,
23634261,Wellington Street,residential,False,False,233.062,,,"LINESTRING (149.2379117 -36.9151979, 149.2399256 -36.9138561)",,,
23634438,Young Street,residential,False,True,232.597,,,"LINESTRING (149.2379117 -36.9151979, 149.2362432 -36.9135867)",,,
23634261,Wellington Street,residential,False,True,229.364,,,"LINESTRING (149.2418833 -36.9125127, 149.2399256 -36.9138561)",,,
23636696,Forbes Street,residential,False,False,223.609,,,"LINESTRING (149.2418833 -36.9125127, 149.2435034 -36.9140509)",,,
23634261,Wellington Street,residential,False,False,228.861,,,"LINESTRING (149.2418833 -36.9125127, 149.2435563 -36.9113705, 149.2438153 -36.9111545)",,,
23636696,Forbes Street,residential,False,True,220.368,,,"LINESTRING (149.2418833 -36.9125127, 149.2410236 -36.9116964, 149.2408221 -36.9115051, 149.2402903 -36.9109944)",,,
23634304,Little Maybe Street,residential,False,False,78.94,,,"LINESTRING (149.2435654 -36.9086221, 149.243698 -36.9086554, 149.2439461 -36.9086951, 149.2441379 -36.9087337, 149.2442089 -36.908753, 149.2443978 -36.9088479)",,,
"[1210878756, 23634765]",Maybe Street,secondary,False,False,162.324,,"['60', '50']","LINESTRING (149.2435654 -36.9086221, 149.2425909 -36.9092834, 149.242173 -36.9095663)",,,
23634305,Little Maybe Street,residential,False,True,52.236,,,"LINESTRING (149.2443978 -36.9088479, 149.2439516 -36.9091535)",,,
23634304,Little Maybe Street,residential,False,True,78.94,,,"LINESTRING (149.2443978 -36.9088479, 149.2442089 -36.908753, 149.2441379 -36.9087337, 149.2439461 -36.9086951, 149.243698 -36.9086554, 149.2435654 -36.9086221)",,,
23634305,Little Maybe Street,residential,False,False,52.236,,,"LINESTRING (149.2439516 -36.9091535, 149.2443978 -36.9088479)",,,
23634438,Young Street,residential,False,False,227.264,,,"LINESTRING (149.2346369 -36.9119968, 149.2362432 -36.9135867)",,,
23634438,Young Street,residential,False,False,232.597,,,"LINESTRING (149.2362432 -36.9135867, 149.2379117 -36.9151979)",,,
23634438,Young Street,residential,False,True,227.264,,,"LINESTRING (149.2362432 -36.9135867, 149.2346369 -36.9119968)",,,
23634766,Maybe Street,primary,False,True,223.032,B23,60,"LINESTRING (149.2362432 -36.9135867, 149.2343153 -36.9148701)",,,
"[1210696234, 23634766]",Maybe Street,primary,False,False,230.63400000000001,B23,"['60', '50']","LINESTRING (149.2362432 -36.9135867, 149.2363608 -36.9135084, 149.2374881 -36.9127529, 149.2376111 -36.9126705, 149.237853 -36.9125083, 149.2382316 -36.9122546)",,,
552561248,Cardwell Street,residential,False,False,16.623,,,"LINESTRING (149.2343577 -36.9150362, 149.2342319 -36.9149256)",,2,
23634766,Maybe Street,primary,False,False,9.647,B23,60,"LINESTRING (149.2342319 -36.9149256, 149.2343153 -36.9148701)",,,
23634766,Maybe Street,primary,False,True,5.959,B23,60,"LINESTRING (149.2342319 -36.9149256, 149.2341804 -36.9149599)",,,
552561248,Cardwell Street,residential,False,True,16.623,,,"LINESTRING (149.2342319 -36.9149256, 149.2343577 -36.9150362)",,2,
23634766,Maybe Street,primary,False,False,5.959,B23,60,"LINESTRING (149.2341804 -36.9149599, 149.2342319 -36.9149256)",,,
1210696236,Cardwell Street,residential,True,False,75.108,,,"LINESTRING (149.2341804 -36.9149599, 149.2336373 -36.9144425)",,,
23634646,,unclassified,False,False,16.007,,,"LINESTRING (149.2336373 -36.9144425, 149.2337795 -36.9143542)",,,
1210696236,Cardwell Street,residential,True,False,43.45,,,"LINESTRING (149.2336373 -36.9144425, 149.2333231 -36.9141432)",,,
23634645,,unclassified,False,False,16.243,,,"LINESTRING (149.2333231 -36.9141432, 149.2334587 -36.9140453)",,,
23634642,Cardwell Street,residential,True,False,44.645,,,"LINESTRING (149.2334587 -36.9140453, 149.2337795 -36.9143542)",,,
23634645,,unclassified,False,True,16.243,,,"LINESTRING (149.2334587 -36.9140453, 149.2333231 -36.9141432)",,,
23634642,Cardwell Street,residential,True,False,74.565,,,"LINESTRING (149.2337795 -36.9143542, 149.2343153 -36.9148701)",,,
23634646,,unclassified,False,True,16.007,,,"LINESTRING (149.2337795 -36.9143542, 149.2336373 -36.9144425)",,,
23634766,Maybe Street,primary,False,False,223.032,B23,60,"LINESTRING (149.2343153 -36.9148701, 149.2362432 -36.9135867)",,,
23634766,Maybe Street,primary,False,True,9.647,B23,60,"LINESTRING (149.2343153 -36.9148701, 149.2342319 -36.9149256)",,,
23634908,High Street,residential,False,False,235.574,,,"LINESTRING (149.2359409 -36.9084412, 149.2379428 -36.9070534)",,,
