osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,ref,junction,access
3633352,False,1,Ross Street,residential,50,False,26.054,"LINESTRING (151.1748451 -33.8918073, 151.1748601 -33.891761, 151.1749183 -33.891581)",,,,
286360948,True,,Salisbury Road,secondary,50,False,64.838,"LINESTRING (151.1748451 -33.8918073, 151.1749635 -33.891823, 151.1750956 -33.8918473, 151.1755362 -33.8919111)",,,,
3633495,False,,Federation Road,unclassified,50,False,73.833,"LINESTRING (151.1772085 -33.8939463, 151.1772961 -33.8939207, 151.1775652 -33.8938422, 151.177962 -33.8937234)",,,,
"[382412050, 382412051]",False,2,Australia Street,residential,50,True,73.743,"LINESTRING (151.1772085 -33.8939463, 151.1771756 -33.8938707, 151.1770554 -33.8936006, 151.1769323 -33.893324)",6.2,,,
3633352,False,1,Ross Street,residential,50,True,26.054,"LINESTRING (151.1749183 -33.891581, 151.1748601 -33.891761, 151.1748451 -33.8918073)",,,,
3633358,False,,Eton Street,residential,50,False,40.727,"LINESTRING (151.1749183 -33.891581, 151.1750147 -33.8915539, 151.1753363 -33.8914637)",,,,
3633358,False,,Eton Street,residential,50,False,68.042,"LINESTRING (151.1753363 -33.8914637, 151.1760343 -33.8912669)",,,,
3633358,False,,Eton Street,residential,50,True,40.727,"LINESTRING (151.1753363 -33.8914637, 151.1750147 -33.8915539, 151.1749183 -33.891581)",,,,
291753604,False,,Denison Street,residential,50,False,53.062,"LINESTRING (151.1753363 -33.8914637, 151.1754635 -33.8917541, 151.1755079 -33.89185, 151.1755362 -33.8919111)",,,,
3633358,False,,Eton Street,residential,50,True,68.042,"LINESTRING (151.1760343 -33.8912669, 151.1753363 -33.8914637)",,,,
907891729,False,2,Australia Street,residential,50,False,60.429,"LINESTRING (151.1760343 -33.8912669, 151.1761593 -33.8915533, 151.1762033 -33.8916528, 151.1762137 -33.8916762, 151.1762588 -33.8917774)",6.2,,,
907891729,False,2,Australia Street,residential,50,True,96.78299999999999,"LINESTRING (151.1760343 -33.8912669, 151.1759141 -33.8909917, 151.175851 -33.8908472, 151.1757018 -33.8905053, 151.175677 -33.8904486)",6.2,,,
