osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,access,width,junction
322166290,True,3,Campbell Street,tertiary,40,False,188.60699999999997,"LINESTRING (147.3298318 -42.8790109, 147.3299053 -42.8790606, 147.3299563 -42.8790966, 147.3307807 -42.879678, 147.33117 -42.8799526, 147.3313701 -42.8800846, 147.3314902 -42.8801926)",,,,
792320355,True,3,Liverpool Street,secondary,50,False,169.457,"LINESTRING (147.3298318 -42.8790109, 147.3292838 -42.8794432, 147.3288767 -42.8797656, 147.32842 -42.8801299)",,,,
"[885293400, 322167074, 601444523]",True,2,Liverpool Street,secondary,"['40', '50']",False,165.096,"LINESTRING (147.32842 -42.8801299, 147.3279887 -42.8805275, 147.3277313 -42.8807648, 147.3273716 -42.8810969, 147.3273254 -42.8811392, 147.3272133 -42.8812418, 147.3271587 -42.8812919)",,,,
322167076,True,3,Argyle Street,tertiary,40,False,102.979,"LINESTRING (147.32842 -42.8801299, 147.3283721 -42.8800958, 147.3283655 -42.8800911, 147.3280272 -42.8798501, 147.327944 -42.8797925, 147.327836 -42.8797177, 147.3275138 -42.8794844)",,,,
322166288,False,2,Elizabeth Street,secondary,40,True,126.46799999999999,"LINESTRING (147.3271587 -42.8812919, 147.3270534 -42.8812458, 147.3270485 -42.8812437, 147.3266538 -42.881071, 147.3262569 -42.8808942, 147.3259201 -42.8807431, 147.3258306 -42.8807033)",,,,
554465333,True,,Liverpool Street,secondary,40,False,63.001,"LINESTRING (147.3271587 -42.8812919, 147.3271083 -42.881337, 147.3266694 -42.8817306)",,,,
322167078,True,,Liverpool Street,tertiary,40,False,110.65,"LINESTRING (147.3257257 -42.882601, 147.3256571 -42.882664, 147.3254731 -42.8828305, 147.3252272 -42.8830539, 147.3248732 -42.8833756)",,,,
554465331,True,3,Murray Street,secondary,40,False,153.547,"LINESTRING (147.3257257 -42.882601, 147.3265223 -42.8829901, 147.3272053 -42.883336, 147.327285 -42.8833764)",,,,
482756278,True,3,Harrington Street,secondary,40,False,82.323,"LINESTRING (147.3241903 -42.8839961, 147.3238973 -42.8837965, 147.3234493 -42.8834928)",,,,
671191130,False,2,Liverpool Street,tertiary,,True,227.515,"LINESTRING (147.3241903 -42.8839961, 147.3241342 -42.8840494, 147.3236271 -42.8845314, 147.3231331 -42.8849885, 147.3227968 -42.8853014, 147.3224514 -42.8855966)",,,,
