osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,ref,junction,bridge
"[1022567841, 1022567839]",True,Gawler Street,tertiary,False,26.832,"LINESTRING (138.8571424 -35.0679191, 138.8572562 -35.0678649, 138.8573972 -35.0677977)",,,,,
1022567840,True,Gawler Street,residential,False,91.848,"LINESTRING (138.8582058 -35.0674121, 138.8591087 -35.0670431)",1,40,,,
14522698,False,Walker Street,tertiary,False,159.723,"LINESTRING (138.8582058 -35.0674121, 138.8578954 -35.0669626, 138.8576169 -35.0665731, 138.8573488 -35.0662147, 138.8573178 -35.0661733)",2,,,,
14522698,False,Walker Street,tertiary,True,140.368,"LINESTRING (138.8582058 -35.0674121, 138.8584286 -35.0677195, 138.8585329 -35.0678633, 138.8589927 -35.0684978)",2,,,,
19662425,False,Gawler Street,tertiary,False,95.61,"LINESTRING (138.8600711 -35.0666031, 138.8609888 -35.0661846)",2,50,,,
822761624,False,Hutchinson Street,tertiary,False,34.408,"LINESTRING (138.8600711 -35.0666031, 138.8602527 -35.0668745)",2,40,,,
"[1237103320, 1040179823]",False,Hutchinson Street,tertiary,False,72.535,"LINESTRING (138.8600711 -35.0666031, 138.8597573 -35.0661709, 138.8596678 -35.0660405)",2,40,,,
14522698,False,Walker Street,tertiary,False,140.368,"LINESTRING (138.8589927 -35.0684978, 138.8585329 -35.0678633, 138.8584286 -35.0677195, 138.8582058 -35.0674121)",2,,,,
29863311,False,Mann Street,residential,False,89.247,"LINESTRING (138.8589927 -35.0684978, 138.8596728 -35.0681982, 138.8598562 -35.0681174)",2,50,,,
737245234,True,Dumas Street,residential,False,9.518,"LINESTRING (138.8563224 -35.0666398, 138.856229 -35.0666783)",,,,,
822761634,True,Adelaide Road,primary,False,124.963,"LINESTRING (138.8563224 -35.0666398, 138.8563728 -35.0667179, 138.8569635 -35.0676336)",2,60,B37,,
711866133,True,Adelaide Road,primary,False,190.275,"LINESTRING (138.8552729 -35.0653734, 138.8542814 -35.0638669)",2,60,B37,,
740843175,True,Druids Avenue,tertiary,False,9.975,"LINESTRING (138.8552729 -35.0653734, 138.8553402 -35.0653026)",2,,,,
27630304,False,Druids Avenue,residential,True,71.239,"LINESTRING (138.8608255 -35.0628429, 138.8607196 -35.0628882, 138.860185 -35.0631171, 138.8601319 -35.0631398)",,,,,
1237103327,False,Druids Avenue,tertiary,True,95.735,"LINESTRING (138.8582305 -35.0640597, 138.8572995 -35.0644604)",2,50,,,
15091466,False,Hutchinson Street,tertiary,False,162.751,"LINESTRING (138.8582305 -35.0640597, 138.8589734 -35.0650311, 138.8590762 -35.0652529, 138.8590773 -35.0653279, 138.8590774 -35.0653333)",2,50,,,
27578654,False,Druids Avenue,tertiary,False,98.018,"LINESTRING (138.8582305 -35.0640597, 138.8584088 -35.063975, 138.859162 -35.0636173)",2,,,,
27578666,False,Hutchinson Street,residential,True,27.586,"LINESTRING (138.8582305 -35.0640597, 138.8581283 -35.0639059, 138.8580816 -35.0638437)",2,,,,
713182451,True,Hutchinson Street,tertiary,False,12.361,"LINESTRING (138.8590774 -35.0653333, 138.8592034 -35.0653748)",1,40,,,
1040179825,False,Hutchinson Street,tertiary,False,7.847,"LINESTRING (138.8590774 -35.0653333, 138.8590735 -35.0654038)",2,40,,,
15091466,False,Hutchinson Street,tertiary,True,162.751,"LINESTRING (138.8590774 -35.0653333, 138.8590773 -35.0653279, 138.8590762 -35.0652529, 138.8589734 -35.0650311, 138.8582305 -35.0640597)",2,50,,,
29863311,False,Mann Street,residential,False,87.699,"LINESTRING (138.8598562 -35.0681174, 138.8599954 -35.0680541, 138.8606985 -35.0677343)",2,50,,,
29863311,False,Mann Street,residential,True,89.247,"LINESTRING (138.8598562 -35.0681174, 138.8596728 -35.0681982, 138.8589927 -35.0684978)",2,50,,,
629314218,False,Stephen Street,tertiary,False,83.465,"LINESTRING (138.8598562 -35.0681174, 138.8595587 -35.0676792, 138.8594656 -35.0675422, 138.8594107 -35.0674613)",2,40,,,
629314217,True,Stephen Street,tertiary,False,26.411,"LINESTRING (138.8591087 -35.0670431, 138.8592497 -35.0672507)",,,,,
1022567840,True,Gawler Street,residential,False,100.328,"LINESTRING (138.8591087 -35.0670431, 138.8600711 -35.0666031)",1,40,,,
14522549,False,Stephen Street,tertiary,False,166.992,"LINESTRING (138.8591087 -35.0670431, 138.858807 -35.0666178, 138.8587764 -35.0665735, 138.8585172 -35.0662317, 138.8584616 -35.0661601, 138.8583997 -35.0660805, 138.8583617 -35.0660271, 138.8581698 -35.0657531)",,40,,,
14424652,True,Morphett Street,residential,False,95.928,"LINESTRING (138.8581698 -35.0657531, 138.8584541 -35.0655738, 138.858718 -35.0654544, 138.8589651 -35.0653464, 138.8590774 -35.0653333)",1,40,,,
